"stock_code","numeric_part","trailing_letter"
"10002R",10002,"R"
"10123C",10123,"C"
"10123G",10123,"G"
"10124A",10124,"A"
"10124C",10124,"C"
"10124G",10124,"G"
"15044A",15044,"A"
"15044B",15044,"B"
"15044C",15044,"C"
"15044D",15044,"D"
"15056bl",15056,"bl"
"15056BL",15056,"BL"
"15056n",15056,"n"
"15056N",15056,"N"
"15056p",15056,"p"
"15056P",15056,"P"
"15058A",15058,"A"
"15058B",15058,"B"
"15058C",15058,"C"
"15059A",15059,"A"
"15060A",15060,"A"
"15060b",15060,"b"
"15060B",15060,"B"
"16020C",16020,"C"
"16065A",16065,"A"
"16151A",16151,"A"
"16155H",16155,"H"
"16156A",16156,"A"
"16156L",16156,"L"
"16156N",16156,"N"
"16156S",16156,"S"
"16161C",16161,"C"
"16161E",16161,"E"
"16161G",16161,"G"
"16161M",16161,"M"
"16161N",16161,"N"
"16161P",16161,"P"
"16161U",16161,"U"
"16162L",16162,"L"
"16162M",16162,"M"
"16168M",16168,"M"
"16168S",16168,"S"
"16169A",16169,"A"
"16169C",16169,"C"
"16169D",16169,"D"
"16169E",16169,"E"
"16169F",16169,"F"
"16169G",16169,"G"
"16169H",16169,"H"
"16169K",16169,"K"
"16169M",16169,"M"
"16169N",16169,"N"
"16169P",16169,"P"
"16200A",16200,"A"
"16201A",16201,"A"
"16201B",16201,"B"
"16201C",16201,"C"
"16202A",16202,"A"
"16202B",16202,"B"
"16202C",16202,"C"
"16202E",16202,"E"
"16206B",16206,"B"
"16207A",16207,"A"
"16207B",16207,"B"
"16222B",16222,"B"
"16243A",16243,"A"
"16243B",16243,"B"
"16244A",16244,"A"
"16244B",16244,"B"
"16245A",16245,"A"
"16245B",16245,"B"
"16248A",16248,"A"
"16248B",16248,"B"
"16249B",16249,"B"
"16256B",16256,"B"
"16256C",16256,"C"
"16258A",16258,"A"
"16258B",16258,"B"
"17007B",17007,"B"
"17010S",17010,"S"
"17011A",17011,"A"
"17011B",17011,"B"
"17011C",17011,"C"
