"normalized_code","case_variants","variant_count"
"15056BL","{15056bl,15056BL}",2
"15056N","{15056n,15056N}",2
"15056P","{15056p,15056P}",2
"15060B","{15060b,15060B}",2
"18096C","{18096c,18096C}",2
"18098C","{18098c,18098C}",2
"35004C","{35004c,35004C}",2
"35004P","{35004p,35004P}",2
"35004S","{35004s,35004S}",2
"35809A","{35809a,35809A}",2
"37482B","{37482b,37482B}",2
"37482P","{37482p,37482P}",2
"37494A","{37494a,37494A}",2
"46776A","{46776a,46776A}",2
"46776B","{46776b,46776B}",2
"46776E","{46776e,46776E}",2
"46776F","{46776f,46776F}",2
"47518F","{47518f,47518F}",2
"47556B","{47556b,47556B}",2
"47559B","{47559b,47559B}",2
"47566B","{47566b,47566B}",2
"47567B","{47567b,47567B}",2
"47570B","{47570b,47570B}",2
"47590A","{47590a,47590A}",2
"47590B","{47590b,47590B}",2
"47591B","{47591b,47591B}",2
"47591C","{47591c,47591C}",2
"47591D","{47591d,47591D}",2
"47593A","{47593a,47593A}",2
"47593B","{47593b,47593B}",2
"47594A","{47594a,47594A}",2
"48173C","{48173c,48173C}",2
"51014C","{51014c,51014C}",2
"72349B","{72349b,72349B}",2
"72351A","{72351a,72351A}",2
"72529W","{72529w,72529W}",2
"72801C","{72801c,72801C}",2
"72801D","{72801d,72801D}",2
"72801E","{72801e,72801E}",2
"72801G","{72801g,72801G}",2
"72802A","{72802a,72802A}",2
"72802C","{72802c,72802C}",2
"72803B","{72803b,72803B}",2
"72807A","{72807a,72807A}",2
"72807B","{72807b,72807B}",2
"72807C","{72807c,72807C}",2
"79051A","{79051a,79051A}",2
"79066K","{79066k,79066K}",2
"79070B","{79070b,79070B}",2
"79302M","{79302m,79302M}",2
"79342B","{79342b,79342B}",2
"82001S","{82001s,82001S}",2
"82494L","{82494l,82494L}",2
"82613A","{82613a,82613A}",2
"82613B","{82613b,82613B}",2
"82613C","{82613c,82613C}",2
"84029C","{84029c,84029C}",2
"84030B","{84030b,84030B}",2
"84030C","{84030c,84030C}",2
"84030E","{84030e,84030E}",2
"84031A","{84031a,84031A}",2
"84031B","{84031b,84031B}",2
"84406B","{84406b,84406B}",2
"84509A","{84509a,84509A}",2
"84509B","{84509b,84509B}",2
"84509C","{84509c,84509C}",2
"84509E","{84509e,84509E}",2
"84509G","{84509g,84509G}",2
"84510A","{84510a,84510A}",2
"84510B","{84510b,84510B}",2
"84510C","{84510c,84510C}",2
"84510E","{84510e,84510E}",2
"84520B","{84520b,84520B}",2
"84534B","{84534b,84534B}",2
"84536A","{84536a,84536A}",2
"84536B","{84536b,84536B}",2
"84558A","{84558a,84558A}",2
"84559A","{84559a,84559A}",2
"84559B","{84559b,84559B}",2
"84559D","{84559d,84559D}",2
"84596B","{84596b,84596B}",2
"84596E","{84596e,84596E}",2
"84596F","{84596f,84596F}",2
"84596G","{84596g,84596G}",2
"84596J","{84596j,84596J}",2
"84596L","{84596l,84596L}",2
"84660A","{84660a,84660A}",2
"84660B","{84660b,84660B}",2
"84660C","{84660c,84660C}",2
"84661A","{84661a,84661A}",2
"84661B","{84661b,84661B}",2
"84661C","{84661c,84661C}",2
"84705B","{84705b,84705B}",2
"84795B","{84795b,84795B}",2
"84796A","{84796a,84796A}",2
"84796B","{84796b,84796B}",2
"84797A","{84797a,84797A}",2
"84797B","{84797b,84797B}",2
"84867A","{84867a,84867A}",2
"84867B","{84867b,84867B}",2
"84872A","{84872a,84872A}",2
"84873A","{84873a,84873A}",2
"84884A","{84884a,84884A}",2
"84912A","{84912a,84912A}",2
"84951B","{84951b,84951B}",2
"84968A","{84968a,84968A}",2
"84968B","{84968b,84968B}",2
"84968D","{84968d,84968D}",2
"84968E","{84968e,84968E}",2
"84968F","{84968f,84968F}",2
"84970L","{84970l,84970L}",2
"84970S","{84970s,84970S}",2
"84971L","{84971l,84971L}",2
"84971S","{84971s,84971S}",2
"84985A","{84985a,84985A}",2
"84985B","{84985b,84985B}",2
"84986B","{84986b,84986B}",2
"84989A","{84989a,84989A}",2
"84989B","{84989b,84989B}",2
"84993A","{84993a,84993A}",2
"84993B","{84993b,84993B}",2
"84997A","{84997a,84997A}",2
"84997B","{84997b,84997B}",2
"84997C","{84997c,84997C}",2
"84997D","{84997d,84997D}",2
"85014A","{85014a,85014A}",2
"85014B","{85014b,85014B}",2
"85034A","{85034a,85034A}",2
"85034B","{85034b,85034B}",2
"85035A","{85035a,85035A}",2
"85035B","{85035b,85035B}",2
"85035C","{85035c,85035C}",2
"85036A","{85036a,85036A}",2
"85036B","{85036b,85036B}",2
"85039A","{85039a,85039A}",2
"85039B","{85039b,85039B}",2
"85040A","{85040a,85040A}",2
"85040B","{85040b,85040B}",2
"85049A","{85049a,85049A}",2
"85049B","{85049b,85049B}",2
"85049C","{85049c,85049C}",2
"85049D","{85049d,85049D}",2
"85049E","{85049e,85049E}",2
"85049G","{85049g,85049G}",2
"85099B","{85099b,85099B}",2
"85099C","{85099c,85099C}",2
"85099F","{85099f,85099F}",2
"85114A","{85114a,85114A}",2
"85114B","{85114b,85114B}",2
"85114C","{85114c,85114C}",2
"85123A","{85123a,85123A}",2
"85124A","{85124a,85124A}",2
"85124B","{85124b,85124B}",2
"85124C","{85124c,85124C}",2
"85132A","{85132a,85132A}",2
"85132B","{85132b,85132B}",2
"85132C","{85132c,85132C}",2
"85159B","{85159b,85159B}",2
"85160A","{85160a,85160A}",2
"85160B","{85160b,85160B}",2
"85164B","{85164b,85164B}",2
"85179A","{85179a,85179A}",2
"85184C","{85184c,85184C}",2
"85184D","{85184d,85184D}",2
"85231B","{85231b,85231B}",2
"85231E","{85231e,85231E}",2
"85231G","{85231g,85231G}",2
"85232A","{85232a,85232A}",2
"85232B","{85232b,85232B}",2
"85232D","{85232d,85232D}",2
"90183C","{90183c,90183C}",2
"90184C","{90184c,90184C}",2
