"numeric_part","stock_code","description","total_qty_variant","total_qty_family"
10002,"10002R","ROBOT PENCIL SHARPNER",4,4
10123,"10123C","",-128,1568
10123,"10123C","HEARTS WRAPPING TAPE ",504,1568
10123,"10123G","",45,1568
10123,"10123G","ARMY CAMO WRAPPING TAPE",1147,1568
10124,"10124A","",76,171
10124,"10124A","SPOTS ON RED BOOKCOVER TAPE",62,171
10124,"10124C","",-5,171
10124,"10124G","ARMY CAMO BOOKCOVER TAPE",38,171
15044,"15044A","PINK PAPER PARASOL ",4967,9169
15044,"15044B","",-27,9169
15044,"15044B","BLUE PAPER PARASOL ",1672,9169
15044,"15044C","PURPLE PAPER PARASOL",968,9169
15044,"15044D","RED PAPER PARASOL",1589,9169
15056,"15056bl","EDWARDIAN PARASOL BLACK",126,22635
15056,"15056BL","",90,22635
15056,"15056BL","EDWARDIAN PARASOL BLACK",9433,22635
15056,"15056n","EDWARDIAN PARASOL NATURAL",180,22635
15056,"15056N","EDWARDIAN PARASOL NATURAL",11215,22635
15056,"15056N","wedding co returns?",-700,22635
15056,"15056p","EDWARDIAN PARASOL PINK",50,22635
15056,"15056P","",25,22635
15056,"15056P","EDWARDIAN PARASOL PINK",2216,22635
15058,"15058A","",20,1253
15058,"15058A","BLUE POLKADOT GARDEN PARASOL",195,1253
15058,"15058A","BLUE WHITE SPOTS GARDEN PARASOL",264,1253
15058,"15058A","wet/rusty",-30,1253
15058,"15058B","",-61,1253
15058,"15058B","PINK POLKADOT GARDEN PARASOL",229,1253
15058,"15058B","PINK WHITE SPOTS GARDEN PARASOL",200,1253
15058,"15058C","ICE CREAM DESIGN GARDEN PARASOL",466,1253
15058,"15058C","wet/rusty",-30,1253
15059,"15059A","",-126,383
15059,"15059A","ENGLISH ROSE EDWARDIAN PARASOL",509,383
15060,"15060A","",-8,1382
15060,"15060b","FAIRY CAKE DESIGN UMBRELLA",5,1382
15060,"15060B","",-43,1382
15060,"15060B","FAIRY CAKE DESIGN UMBRELLA",1428,1382
16020,"16020C","",-40,120
16020,"16020C","CLEAR STATIONERY BOX SET ",160,120
16065,"16065A","",-2,-2
16151,"16151A","",-57,45
16151,"16151A","FLOWER DES BLUE HANDBAG/ORANG HANDL",3,45
16151,"16151A","FLOWERS HANDBAG blue and orange",49,45
16151,"16151A","found",50,45
16155,"16155H","",-5,-5
16156,"16156A","",-12,18815
16156,"16156L","WRAP CAROUSEL",375,18815
16156,"16156L","WRAP, CAROUSEL",575,18815
16156,"16156N","",-103,18815
16156,"16156N","WRAP, FRIENDSHIP ON GREEN",1475,18815
16156,"16156S","",-110,18815
16156,"16156S","WRAP PINK FAIRY CAKES ",16615,18815
16161,"16161C","",-66,25618
16161,"16161C","WRAP SPEED DEMONS ",450,25618
16161,"16161E","",-245,25618
16161,"16161E","WRAP BOUDOIR ",750,25618
16161,"16161G","WRAP BAD HAIR DAY",975,25618
16161,"16161M","",-327,25618
16161,"16161M","WRAP  PINK FLOCK",1050,25618
16161,"16161N","",-23,25618
16161,"16161P","",-220,25618
16161,"16161P","WRAP ENGLISH ROSE ",13273,25618
16161,"16161U","WRAP SUKI AND FRIENDS",6651,25618
16161,"16161U","WRAP,SUKI AND FRIENDS",3350,25618
16162,"16162L","",99,4634
16162,"16162L","THE KING GIFT BAG",4357,4634
16162,"16162M","",60,4634
16162,"16162M","alan hodge cant mamage this section",30,4634
16162,"16162M","THE KING GIFT BAG 25x24x12cm",88,4634
16168,"16168M","found",44,2609
16168,"16168M","FUNKY MONKEY GIFT BAG MEDIUM",1713,2609
16168,"16168S","",29,2609
16168,"16168S","FUNKY MONKEY GIFT BAG SMALL",1283,2609
16168,"16168S","missing",-460,2609
16169,"16169A","",-23,13800
16169,"16169A","WRAP CHRISTMAS DECOUPAGE",25,13800
16169,"16169C","damages",-200,13800
16169,"16169C","WRAP BLUE REINDEER",1350,13800
16169,"16169D","",-174,13800
16169,"16169D","WRAP WINTER FOREST",250,13800
16169,"16169E","check",-313,13800
16169,"16169E","WRAP 50'S  CHRISTMAS",4438,13800
16169,"16169F","",-196,13800
16169,"16169F","WRAP BLIZZARD",975,13800
16169,"16169G","",-75,13800
16169,"16169G","WRAP ROMANTIC DECOUPAGE",25,13800
16169,"16169H","",-64,13800
16169,"16169K","",-25,13800
16169,"16169K","WRAP FOLK ART",2100,13800
16169,"16169M","WRAP DAISY CARPET ",2060,13800
16169,"16169N","",-42,13800
16169,"16169N","WRAP BLUE RUSSIAN FOLKART",2050,13800
16169,"16169P","",-86,13800
16169,"16169P","WRAP GREEN RUSSIAN FOLKART ",1725,13800
16200,"16200A","",-3,-3
16201,"16201A","",-18,80
16201,"16201A","PASTEL PINK PHOTO ALBUM",99,80
16201,"16201B","",-12,80
16201,"16201B","PASTEL BLUE PHOTO ALBUM",34,80
16201,"16201C","",-23,80
16202,"16202A","",-99,848
16202,"16202A","PASTEL PINK PHOTO ALBUM ",339,848
16202,"16202B","",-69,848
16202,"16202B","PASTEL BLUE PHOTO ALBUM ",567,848
16202,"16202C","",-33,848
16202,"16202C","BEIGE PHOTO ALBUM",97,848
16202,"16202E","",-34,848
16202,"16202E","BLACK PHOTO ALBUM ",80,848
16206,"16206B","",96,192
16206,"16206B","RED PURSE WITH PINK HEART",96,192
16207,"16207A","",131,546
16207,"16207A","check",2,546
16207,"16207A","PINK STRAWBERRY HANDBAG ",143,546
16207,"16207B","",5,546
16207,"16207B","PINK HEART RED HANDBAG",265,546
16222,"16222B","",-2,-2
16243,"16243A","",-26,186
16243,"16243B","BROWN COZY SQUARE PHOTO ALBUM",212,186
16244,"16244A","",7,529
16244,"16244A","MAXWELL 2 TONE PINK 60 PAGE PHOTO A",186,529
16244,"16244B","",-9,529
16244,"16244B","MAXWELL 2 TONE BLUE 60 PAGE PHOTO A",345,529
16245,"16245A","",-14,-6
16245,"16245A","damaged",-1,-6
16245,"16245A","PINK MINI STATIONERY SET W CASE",11,-6
16245,"16245B","",-2,-6
16248,"16248A","",-3,124
16248,"16248B","",45,124
16248,"16248B","BLUE HOLE PUNCH",82,124
16249,"16249B","",-12,-12
16256,"16256B","",32,306
16256,"16256B","FLOWER PENCIL/RUBBER+5 MINI PENCILS",524,306
16256,"16256C","",-405,306
16256,"16256C","HEARTS PENCIL/RUBBER+5 MINI PENCILS",155,306
16258,"16258A","SWIRLY CIRCULAR RUBBERS IN BAG",1079,1889
16258,"16258B","",-207,1889
16258,"16258B","DAISY ERASERS IN BAG",1017,1889
17007,"17007B","",-4,42
17007,"17007B","S/3 POT POURI CUSHIONS BLUE COLOURS",46,42
17010,"17010S","",-146,-146
17011,"17011A","",-61,1127
17011,"17011A","ORIGAMI VANILLA INCENSE+FLOWER ",261,1127
17011,"17011B","",-37,1127
17011,"17011B","ORIGAMI JASMINE INCENSE+FLOWER ",19,1127
17011,"17011C","",-47,1127
