"invoice_no","stock_code","description","quantity","unit_price","customer_id","invoice_date"
"489661","15044B","BLUE PAPER PARASOL ",1,2.95,"17246.0","2009-12-01 17:45:00"
"490612","15044B","BLUE PAPER PARASOL ",6,2.95,"17508.0","2009-12-07 11:46:00"
"490741","15044B","BLUE PAPER PARASOL ",1,6.04,"","2009-12-07 17:56:00"
"490745","15044B","BLUE PAPER PARASOL ",1,6.04,"","2009-12-07 18:02:00"
"491803","15044B","BLUE PAPER PARASOL ",1,2.95,"16327.0","2009-12-14 13:06:00"
"491971","15044B","BLUE PAPER PARASOL ",1,6.04,"","2009-12-14 18:37:00"
"492813","15044B","BLUE PAPER PARASOL ",1,2.95,"17920.0","2009-12-20 13:14:00"
"493882","15044B","BLUE PAPER PARASOL ",6,2.95,"15586.0","2010-01-08 10:02:00"
"494387","15044B","BLUE PAPER PARASOL ",1,5.91,"","2010-01-14 09:46:00"
"494931","15044B","BLUE PAPER PARASOL ",1,2.95,"17920.0","2010-01-20 10:42:00"
"495239","15044B","BLUE PAPER PARASOL ",1,5.91,"","2010-01-22 10:01:00"
"495406","15044B","BLUE PAPER PARASOL ",1,5.91,"","2010-01-25 09:54:00"
"498301","15044B","BLUE PAPER PARASOL ",6,2.95,"13767.0","2010-02-18 09:20:00"
"498328","15044B","BLUE PAPER PARASOL ",12,2.95,"15586.0","2010-02-18 10:27:00"
"498736","15044B","BLUE PAPER PARASOL ",2,2.95,"12748.0","2010-02-22 16:04:00"
"500356","15044B","BLUE PAPER PARASOL ",1,2.95,"16984.0","2010-03-07 15:34:00"
"501121","15044B","BLUE PAPER PARASOL ",6,2.95,"15428.0","2010-03-12 15:13:00"
"501305","15044B","BLUE PAPER PARASOL ",2,2.95,"13600.0","2010-03-15 17:16:00"
"501883","15044B","BLUE PAPER PARASOL ",6,2.95,"13466.0","2010-03-21 13:50:00"
"503151","15044B","BLUE PAPER PARASOL ",12,2.55,"14298.0","2010-03-30 12:26:00"
"503823","15044B","BLUE PAPER PARASOL ",1,5.91,"","2010-04-07 14:59:00"
"503852","15044B","BLUE PAPER PARASOL ",50,2.55,"14145.0","2010-04-08 09:47:00"
"503945","15044B","BLUE PAPER PARASOL ",5,2.95,"13668.0","2010-04-08 15:30:00"
"504163","15044B","BLUE PAPER PARASOL ",12,2.95,"14430.0","2010-04-11 15:59:00"
"504698","15044B","BLUE PAPER PARASOL ",6,2.95,"13591.0","2010-04-15 17:24:00"
"505466","15044B","BLUE PAPER PARASOL ",12,2.95,"14000.0","2010-04-22 11:59:00"
"505702","15044B","BLUE PAPER PARASOL ",2,2.95,"14549.0","2010-04-25 11:43:00"
"505729","15044B","BLUE PAPER PARASOL ",6,2.95,"12877.0","2010-04-25 14:19:00"
"505747","15044B","BLUE PAPER PARASOL ",100,2.55,"16684.0","2010-04-26 07:20:00"
