"invoice_no","stock_code","description","quantity","unit_price","customer_id","invoice_date"
"489521","21646","",-50,0.00,"","2009-12-01 11:44:00"
"489655","20683","",-44,0.00,"","2009-12-01 17:26:00"
"489806","18010","",-770,0.00,"","2009-12-02 12:42:00"
"489821","85049G","",-240,0.00,"","2009-12-02 13:25:00"
"489901","21098","",-200,0.00,"","2009-12-03 09:47:00"
"490016","21982","",-1012,0.00,"","2009-12-03 12:30:00"
"490055","20620","",-25,0.00,"","2009-12-03 13:22:00"
"490084","85064","",-89,0.00,"","2009-12-03 15:37:00"
"490146","21558","",-169,0.00,"","2009-12-04 09:29:00"
"490165","21493","",-106,0.00,"","2009-12-04 11:32:00"
"490354","21489","",-23,0.00,"","2009-12-04 16:39:00"
"490379","21490","",-44,0.00,"","2009-12-05 13:26:00"
"490384","84721","",-42,0.00,"","2009-12-05 14:00:00"
"490540","37446","",-725,0.00,"","2009-12-07 09:24:00"
"490713","84347","",-20,0.00,"","2009-12-07 15:26:00"
"490715","22158","",-30,0.00,"","2009-12-07 15:27:00"
"490735","35976B","",-60,0.00,"","2009-12-07 17:12:00"
"490736","35983","",-200,0.00,"","2009-12-07 17:13:00"
"490975","15059A","",-126,0.00,"","2009-12-08 16:41:00"
"490976","84571","",-120,0.00,"","2009-12-08 16:42:00"
"491046","20987","",-100,0.00,"","2009-12-09 10:03:00"
"491047","21982","",-50,0.00,"","2009-12-09 10:04:00"
"491066","35949","",-67,0.00,"","2009-12-09 12:17:00"
"491108","84922","",-360,0.00,"","2009-12-09 14:29:00"
"491128","21490","",-20,0.00,"","2009-12-09 16:00:00"
"491137","21489","",-8,0.00,"","2009-12-09 16:25:00"
"491141","22174","",-58,0.00,"","2009-12-09 16:43:00"
"491167","17013A","",-45,0.00,"","2009-12-10 11:09:00"
"491206","84841","",-54,0.00,"","2009-12-10 14:10:00"
"491355","17014C","",-96,0.00,"","2009-12-10 15:52:00"
"491451","20940","",-46,0.00,"","2009-12-11 11:09:00"
"491638","21353","",-136,0.00,"","2009-12-11 15:59:00"
"491639","20668","",-1395,0.00,"","2009-12-11 16:02:00"
"491817","72487","",-322,0.00,"","2009-12-14 13:37:00"
"491974","72752B","",-21,0.00,"","2009-12-14 18:44:00"
"491975","72752C","",-24,0.00,"","2009-12-14 18:44:00"
"491973","72752A","",-18,0.00,"","2009-12-14 18:44:00"
"491978","72755C","",-60,0.00,"","2009-12-14 18:45:00"
"491977","72755B","",-23,0.00,"","2009-12-14 18:45:00"
"491976","72752D","",-46,0.00,"","2009-12-14 18:45:00"
"492000","21719","",-81,0.00,"","2009-12-15 11:22:00"
"492001","21724","",-99,0.00,"","2009-12-15 11:22:00"
"492002","10138","",-36,0.00,"","2009-12-15 11:23:00"
"492006","71477","",-100,0.00,"","2009-12-15 11:25:00"
"492105","22113","",-100,0.00,"","2009-12-15 14:07:00"
"492171","22170","",-30,0.00,"","2009-12-15 14:53:00"
"492182","20870","",-29,0.00,"","2009-12-15 15:41:00"
"492183","20879","",-46,0.00,"","2009-12-15 15:42:00"
"492215","16169D","",-150,0.00,"","2009-12-15 17:19:00"
"492217","35815B","",-10,0.00,"","2009-12-15 17:28:00"
"492219","46775B","",-17,0.00,"","2009-12-15 17:44:00"
"492365","17011C","",-47,0.00,"","2009-12-16 13:56:00"
"492364","17011E","",-39,0.00,"","2009-12-16 13:56:00"
"492366","17013B","",-45,0.00,"","2009-12-16 13:57:00"
"492464","22187","",-96,0.00,"","2009-12-17 11:33:00"
"492523","72756","",-396,0.00,"","2009-12-17 12:30:00"
"492595","21543","",-152,0.00,"","2009-12-17 15:53:00"
"492748","47504J","",-70,0.00,"","2009-12-18 13:09:00"
"492786","46000M","",-60,0.00,"","2009-12-18 17:45:00"
"492791","84029G","",-30,0.00,"","2009-12-18 17:47:00"
"493093","21479","",-91,0.00,"","2009-12-22 10:55:00"
"493201","20884","",-5,0.00,"","2009-12-22 13:23:00"
"493226","84558B","",-2,0.00,"","2009-12-22 13:43:00"
"493229","37399","",-113,0.00,"","2009-12-22 13:44:00"
"493232","16258B","",-207,0.00,"","2009-12-22 13:44:00"
"493237","16161C","",-632,0.00,"","2009-12-22 13:46:00"
"493328","37492A","",-38,0.00,"","2009-12-23 09:44:00"
"493327","84705B","",-11,0.00,"","2009-12-23 09:44:00"
"493370","35004S","",-292,0.00,"","2009-12-23 10:29:00"
"493405","37452B","",-15,0.00,"","2009-12-23 16:01:00"
"493406","37452A","",-25,0.00,"","2009-12-23 16:02:00"
"493494","21231","",-84,0.00,"","2010-01-04 14:56:00"
"493567","72754D","",-104,0.00,"","2010-01-05 09:16:00"
"493668","72740A","",-43,0.00,"","2010-01-05 12:16:00"
"493669","85166A","",-36,0.00,"","2010-01-05 12:17:00"
"493698","21981","",-200,0.00,"","2010-01-05 13:42:00"
"493845","84718","",-95,0.00,"","2010-01-07 15:02:00"
"493858","20753","",-260,0.00,"","2010-01-07 16:12:00"
"493879","21322","",-17,0.00,"","2010-01-08 09:20:00"
"493928","21649","",-18,0.00,"","2010-01-08 11:53:00"
"494025","21779","",-2,0.00,"","2010-01-11 10:11:00"
"494031","82484","",-6,0.00,"","2010-01-11 10:39:00"
"494038","84671B","",-2,0.00,"","2010-01-11 11:49:00"
"494039","20913","",-159,0.00,"","2010-01-11 11:51:00"
"494114","21502","",-275,0.00,"","2010-01-11 12:30:00"
"494152","21914","",-71,0.00,"","2010-01-11 15:07:00"
"494155","21118","",-22,0.00,"","2010-01-11 15:34:00"
"494158","16169G","",-75,0.00,"","2010-01-11 16:01:00"
"494162","20968","",-116,0.00,"","2010-01-11 17:18:00"
"494168","21430","",-90,0.00,"","2010-01-12 09:55:00"
"494186","20688","",-514,0.00,"","2010-01-12 10:48:00"
"494248","21553","",-36,0.00,"","2010-01-12 16:39:00"
"494251","21552","",-23,0.00,"","2010-01-12 16:40:00"
"494249","21554","",-24,0.00,"","2010-01-12 16:40:00"
"494250","21551","",-11,0.00,"","2010-01-12 16:40:00"
"494252","21893","",-24,0.00,"","2010-01-12 16:43:00"
"494253","85128","",-11,0.00,"","2010-01-12 16:43:00"
"494254","84925A","",-38,0.00,"","2010-01-12 16:43:00"
"494257","84925E","",-17,0.00,"","2010-01-12 16:44:00"
"494256","84925D","",-428,0.00,"","2010-01-12 16:44:00"
"494259","84838","",-5,0.00,"","2010-01-12 16:45:00"
"494258","84767","",-12,0.00,"","2010-01-12 16:45:00"
"494260","84830","",-5,0.00,"","2010-01-12 16:46:00"
"494262","85120","",-24,0.00,"","2010-01-12 16:47:00"
"494261","21309","",-21,0.00,"","2010-01-12 16:47:00"
"494263","21340","",-14,0.00,"","2010-01-12 16:47:00"
"494265","37345","",-68,0.00,"","2010-01-12 16:55:00"
"494273","21364","",-39,0.00,"","2010-01-13 10:04:00"
"494279","84029C","",-44,0.00,"","2010-01-13 10:41:00"
"494340","84997A","",-290,0.00,"","2010-01-13 13:06:00"
"494341","84997D","",-300,0.00,"","2010-01-13 13:07:00"
"494377","84572","",-1,0.00,"","2010-01-13 16:41:00"
"494388","35918B","",-12,0.00,"","2010-01-14 09:58:00"
"494393","21480","",-23,0.00,"","2010-01-14 10:25:00"
