"invoice_no","invoice_date","stock_code","description","quantity","unit_price","line_total"
"489606","2009-12-01 14:48:00","20753","RETRO PINK SPOT WASHING UP GLOVES",1,2.10,2.10
"490312","2009-12-04 15:16:00","10120","DOGGY RUBBER",30,0.21,6.30
"490312","2009-12-04 15:16:00","10138","ASSORTED COLOUR JUMBO PEN",12,0.42,5.04
"490312","2009-12-04 15:16:00","16216","LETTER SHAPE PENCIL SHARPENER",10,0.16,1.60
"490312","2009-12-04 15:16:00","16237","SLEEPING CAT ERASERS",10,0.21,2.10
"490312","2009-12-04 15:16:00","17033","BROCADE PURSE,SMALL ARCH BUTTON",5,0.29,1.45
"490312","2009-12-04 15:16:00","18097C","WHITE TALL PORCELAIN T-LIGHT HOLDER",4,2.55,10.20
"490312","2009-12-04 15:16:00","20871","OPULENT VELVET SET/3 CANDLES",3,2.10,6.30
"490312","2009-12-04 15:16:00","20971","PINK BLUE FELT CRAFT TRINKET BOX",1,1.25,1.25
"490312","2009-12-04 15:16:00","20972","PINK CREAM FELT CRAFT TRINKET BOX ",1,1.25,1.25
"490312","2009-12-04 15:16:00","20982","12 PENCILS TALL TUBE SKULLS",7,0.85,5.95
"490312","2009-12-04 15:16:00","20983","12 PENCILS TALL TUBE RED SPOTTY",7,0.85,5.95
"490312","2009-12-04 15:16:00","21214","SET OF 72 IVORY PAPER DOILIES",1,1.45,1.45
"490312","2009-12-04 15:16:00","21249","WOODLAND  HEIGHT CHART STICKERS ",1,2.95,2.95
"490312","2009-12-04 15:16:00","21251","DINOSAUR HEIGHT CHART STICKER SET",1,2.95,2.95
"490312","2009-12-04 15:16:00","21326","AGED GLASS SILVER T-LIGHT HOLDER",12,0.65,7.80
"490312","2009-12-04 15:16:00","21327","SKULLS WRITING SET ",10,1.65,16.50
"490312","2009-12-04 15:16:00","21329","DINOSAURS  WRITING SET ",5,1.65,8.25
"490312","2009-12-04 15:16:00","21373","MIRRORED WALL ART SNOWFLAKES",3,2.55,7.65
"490312","2009-12-04 15:16:00","21543","BUTTERFLY WATER TRANSFER TATTOOS ",5,0.85,4.25
"490312","2009-12-04 15:16:00","21544","SKULLS  WATER TRANSFER TATTOOS ",5,0.85,4.25
"490312","2009-12-04 15:16:00","21556","CERAMIC STRAWBERRY MONEY BOX",3,2.55,7.65
"490312","2009-12-04 15:16:00","21829","DINOSAUR KEYRINGS ASSORTED",36,0.21,7.56
"490312","2009-12-04 15:16:00","21914","BLUE HARMONICA IN BOX ",1,1.25,1.25
"490312","2009-12-04 15:16:00","21915","RED  HARMONICA IN BOX ",1,1.25,1.25
"490312","2009-12-04 15:16:00","22086","PAPER CHAIN KIT 50'S CHRISTMAS ",10,2.95,29.50
"490312","2009-12-04 15:16:00","22121","NOEL WOODEN BLOCK LETTERS ",1,5.95,5.95
"490312","2009-12-04 15:16:00","22138","BAKING SET 9 PIECE RETROSPOT ",3,4.95,14.85
"490312","2009-12-04 15:16:00","22139","RETRO SPOT TEA SET CERAMIC 11 PC ",4,4.95,19.80
"490312","2009-12-04 15:16:00","22155","STAR DECORATION RUSTIC",5,0.42,2.10
"490312","2009-12-04 15:16:00","22335","HEART DECORATION PAINTED ZINC ",5,0.65,3.25
"490312","2009-12-04 15:16:00","22336","DOVE DECORATION PAINTED ZINC ",5,0.65,3.25
"490312","2009-12-04 15:16:00","22337","ANGEL DECORATION PAINTED ZINC ",5,0.65,3.25
"490312","2009-12-04 15:16:00","47013C","WINE BOTTLE DRESSING DARK BLUE",5,0.29,1.45
"490312","2009-12-04 15:16:00","47563A","RETRO LONGBOARD IRONING BOARD COVER",1,3.75,3.75
"490312","2009-12-04 15:16:00","72349B","SET/6 PURPLE BUTTERFLY T-LIGHTS",3,2.10,6.30
"490312","2009-12-04 15:16:00","72724","SET/6 CHRISTMAS ICICLE T-LIGHTS",2,1.25,2.50
"490312","2009-12-04 15:16:00","72800E","4 IVORY DINNER CANDLES SILVER FLOCK",2,2.55,5.10
"490312","2009-12-04 15:16:00","72800F","4 IVORY DINNER CANDLES GOLD FLOCK",2,2.55,5.10
"490312","2009-12-04 15:16:00","72817","SET/2 CHRISTMAS DECOUPAGE CANDLES",6,1.25,7.50
"490312","2009-12-04 15:16:00","72818","CHRISTMAS DECOUPAGE CANDLE",6,0.85,5.10
"490312","2009-12-04 15:16:00","82615","PINK MARSHMALLOW SCARF KNITTING KIT",1,2.95,2.95
"490312","2009-12-04 15:16:00","82616C","MIDNIGHT GLAMOUR SCARF KNITTING KIT",2,2.95,5.90
"490312","2009-12-04 15:16:00","84077","WORLD WAR 2 GLIDERS ASSTD DESIGNS",48,0.21,10.08
"490312","2009-12-04 15:16:00","84199","GLOW IN DARK DOLPHINS",5,0.21,1.05
"490312","2009-12-04 15:16:00","84270","ASSTD DESIGN BUBBLE GUM RING",30,0.21,6.30
"490312","2009-12-04 15:16:00","84466","TOP SECRET PEN SET",5,1.25,6.25
"490312","2009-12-04 15:16:00","84509A","ENGLISH ROSE PLACEMATS",1,3.75,3.75
"490312","2009-12-04 15:16:00","84509C","DOTTY PLACEMATS ",1,3.75,3.75
"490312","2009-12-04 15:16:00","84509F","NEW ENGLAND PLACEMATS",1,3.75,3.75
"490312","2009-12-04 15:16:00","84510A","SET OF 4 ENGLISH ROSE COASTERS",1,1.25,1.25
"490312","2009-12-04 15:16:00","84510C","SET OF 4 POLKADOTS COASTERS",1,1.25,1.25
"490312","2009-12-04 15:16:00","84510F","SET OF 4 NEW ENGLAND COASTERS ",1,1.25,1.25
"490312","2009-12-04 15:16:00","84754","S/15 SILVER GLASS BAUBLES IN BAG",3,1.25,3.75
"490312","2009-12-04 15:16:00","84899E","YELLOW + BROWN BEAR FELT PURSE KIT",2,1.25,2.50
"490312","2009-12-04 15:16:00","84899F","YELLOW PURPLE DAISY FELT PURSE KIT",2,1.25,2.50
"490312","2009-12-04 15:16:00","84986B","SET OF 36 SILVER PAPER DOILIES",1,1.45,1.45
"490312","2009-12-04 15:16:00","85023A","CRYSTAL LARGE JEWELLED PHOTO FRAME",3,2.55,7.65
"490312","2009-12-04 15:16:00","85024A","CRYSTAL SMALL JEWELLED PHOTOFRAME",1,1.65,1.65
