"customer_id","recency_days","frequency_completed","cancellation_count","monetary_gross","monetary_net","avg_interval_whole_day","avg_interval_fractional_day","distinct_variants_purchased","distinct_families_purchased","order_return_rate_pct","line_item_return_rate_pct"
"12346",325,3,1,77352.96,169.36,160.5,160.94,25,23,25.0,3.8
"12347",1,8,0,4921.53,4921.53,57.0,57.44,126,119,0.0,0.0
"12348",74,5,0,1658.40,1658.40,90.5,90.73,24,24,0.0,0.0
"12349",18,3,1,3678.69,3654.54,285.0,285.43,137,136,25.0,2.8
"12350",309,1,0,294.40,294.40,NULL,NULL,16,16,0.0,0.0
"12351",374,1,0,300.93,300.93,NULL,NULL,21,21,0.0,0.0
"12352",35,9,1,1729.54,1609.21,44.1,44.52,68,68,10.0,6.9
"12353",203,2,0,406.76,406.76,204.0,204.21,23,23,0.0,0.0
"12354",231,1,0,1079.40,1079.40,NULL,NULL,58,58,0.0,0.0
"12355",213,2,0,947.61,947.61,353.0,353.08,35,29,0.0,0.0
"12356",22,6,0,5611.73,5611.73,79.8,80.39,103,102,0.0,0.0
"12357",32,2,0,17437.66,17437.66,355.0,355.25,260,252,0.0,0.0
"12358",1,5,0,3447.07,3447.07,182.0,182.53,55,52,0.0,0.0
"12359",7,10,4,8873.39,8652.34,74.9,75.22,305,300,28.6,2.7
"12360",51,6,0,3612.89,3612.89,120.4,120.65,159,154,0.0,0.0
"12361",286,4,0,451.25,451.25,131.0,131.66,17,17,0.0,0.0
"12362",2,10,3,4737.23,4665.58,31.9,32.47,200,198,23.1,3.0
"12363",109,2,0,552.00,552.00,132.0,132.87,23,23,0.0,0.0
"12364",7,4,0,1208.10,1208.10,34.3,34.93,69,67,0.0,0.0
"12365",290,1,0,320.69,320.69,NULL,NULL,21,21,0.0,0.0
"12366",633,1,0,500.24,500.24,NULL,NULL,3,3,0.0,0.0
"12367",3,1,0,150.90,150.90,NULL,NULL,10,10,0.0,0.0
"12368",627,1,0,917.70,917.70,NULL,NULL,18,18,0.0,0.0
"12369",412,3,0,1511.15,1511.15,113.5,114.11,89,88,0.0,0.0
"12370",50,7,0,3956.56,3956.56,102.7,102.87,167,165,0.0,0.0
"12371",59,4,0,3347.38,3347.38,194.7,195.23,133,116,0.0,0.0
"12372",71,3,0,1196.04,1196.04,112.0,112.49,33,32,0.0,0.0
"12373",310,3,0,927.65,927.65,180.5,181.02,35,35,0.0,0.0
"12374",24,3,0,2669.22,2669.22,281.0,281.53,78,75,0.0,0.0
"12375",2,2,1,377.50,375.42,87.0,87.84,13,12,33.3,6.3
"12376",389,2,0,383.15,383.15,28.0,28.15,10,10,0.0,0.0
"12377",314,4,0,3266.32,3266.32,91.0,91.34,128,123,0.0,0.0
"12378",129,2,0,5416.32,5416.32,432.0,432.85,281,278,0.0,0.0
"12379",81,4,1,1470.22,1468.27,150.7,150.96,57,57,20.0,1.3
"12380",21,8,2,7210.65,7171.00,91.0,91.57,154,149,20.0,1.5
"12381",4,3,1,1474.81,1433.46,57.0,57.56,69,69,25.0,4.7
"12383",184,5,1,1628.56,1617.31,41.3,41.93,83,80,16.7,1.1
"12384",28,2,1,425.27,406.16,92.0,92.89,25,25,33.3,10.7
"12385",378,1,0,1668.40,1668.40,NULL,NULL,64,64,0.0,0.0
"12386",337,2,0,401.90,401.90,29.0,29.11,10,10,0.0,0.0
"12387",414,1,0,143.94,143.94,NULL,NULL,9,9,0.0,0.0
"12388",15,8,0,3901.11,3901.11,80.4,81.00,83,81,0.0,0.0
"12389",402,3,0,1433.33,1433.33,126.0,126.53,41,41,0.0,0.0
"12390",79,1,0,504.84,504.84,NULL,NULL,31,31,0.0,0.0
"12391",21,6,1,2724.84,2699.24,128.0,128.22,241,227,14.3,2.2
"12392",590,1,0,234.75,234.75,NULL,NULL,7,7,0.0,0.0
"12393",71,6,1,2399.45,2376.75,70.8,71.22,63,62,14.3,4.5
"12394",63,2,0,1080.48,1080.48,153.0,153.75,25,25,0.0,0.0
"12395",15,15,3,4241.17,4220.82,41.2,41.66,144,140,16.7,1.3
"12396",673,1,0,931.43,931.43,NULL,NULL,65,58,0.0,0.0
"12397",35,2,0,2214.90,2214.90,99.0,99.81,109,109,0.0,0.0
"12398",45,1,0,1435.66,1435.66,NULL,NULL,84,83,0.0,0.0
"12399",118,7,0,1842.30,1842.30,87.3,87.53,66,66,0.0,0.0
"12400",413,1,0,205.25,205.25,NULL,NULL,11,11,0.0,0.0
"12401",302,1,0,69.30,69.30,NULL,NULL,4,4,0.0,0.0
"12402",322,6,1,1136.90,1124.15,69.0,69.41,42,42,14.3,1.5
"12403",49,2,0,947.36,947.36,471.0,471.97,4,2,0.0,0.0
"12405",148,1,0,1390.39,1390.39,NULL,NULL,53,52,0.0,0.0
"12406",21,5,2,6390.36,6072.21,168.3,168.81,114,111,28.6,2.4
"12407",49,5,0,1507.12,1507.12,53.0,53.72,56,53,0.0,0.0
"12408",32,8,5,3905.77,3859.64,66.1,66.57,103,100,38.5,6.2
"12409",78,7,6,23419.29,23090.47,80.7,81.13,177,171,46.2,2.9
"12410",300,3,1,773.71,761.46,96.5,96.94,35,35,25.0,5.0
"12411",409,1,0,346.90,346.90,NULL,NULL,22,22,0.0,0.0
"12412",74,6,2,2404.93,2389.03,92.4,92.97,81,80,25.0,3.2
"12413",66,4,1,871.45,861.50,111.3,111.94,40,40,20.0,2.0
"12414",216,4,1,532.41,442.41,81.7,82.03,19,17,20.0,24.1
"12415",23,24,4,144033.37,143107.02,21.3,21.88,496,486,14.3,6.2
"12416",656,1,0,202.56,202.56,NULL,NULL,11,11,0.0,0.0
"12417",2,20,7,5998.41,5889.71,37.9,38.43,269,265,25.9,2.8
"12418",112,4,1,2021.20,2016.95,172.0,172.62,90,89,20.0,1.0
"12419",385,2,0,391.01,391.01,27.0,27.98,22,20,0.0,0.0
"12420",63,1,0,600.39,600.39,NULL,NULL,29,29,0.0,0.0
