"customer_id","recency_days","frequency_completed","cancellation_count","monetary_gross","monetary_net","order_return_rate_pct","line_item_return_rate_pct","distinct_variants_purchased","distinct_families_purchased"
"16118",392,1,4,4376.25,4255.43,80.0,12.8,41,41
"13768",563,2,6,875.97,758.07,75.0,23.3,30,30
"14777",3,1,3,307.56,239.26,75.0,23.8,16,16
"12590",189,1,3,9341.26,9330.48,75.0,5.6,67,64
"12770",210,2,5,3246.45,2981.45,71.4,22.2,19,19
"13257",427,1,2,149.75,117.95,66.7,22.2,7,7
"13281",436,1,2,350.85,306.45,66.7,15.4,22,21
"16297",249,1,2,301.90,278.55,66.7,9.1,20,20
"16061",268,1,2,89.65,44.95,66.7,40.0,3,3
"13112",540,1,2,20.60,-5.44,66.7,60.0,2,2
"17693",135,1,2,200.47,187.02,66.7,11.1,16,16
"16262",360,1,2,755.15,677.78,66.7,8.0,46,45
"14586",226,1,2,237.36,134.16,66.7,29.6,19,17
"16396",472,1,2,137.80,102.70,66.7,33.3,8,8
"13905",570,1,2,312.65,244.45,66.7,20.0,12,12
"16476",416,1,2,350.35,337.00,66.7,7.7,24,23
"16481",659,1,2,453.38,430.93,66.7,15.8,16,16
"17599",464,1,2,52.05,44.55,66.7,40.0,3,3
"18207",493,1,2,544.47,505.12,66.7,8.8,31,31
"12797",359,2,4,468.08,387.43,66.7,17.6,26,25
"12533",618,2,4,1223.89,1005.99,66.7,20.5,62,58
"14267",150,3,6,1516.24,1259.19,66.7,19.1,25,25
"12746",527,1,2,254.55,230.85,66.7,15.0,17,17
"18183",217,2,4,632.07,600.52,66.7,15.9,36,35
"14149",212,1,2,446.62,259.43,66.7,30.0,28,25
"16822",663,1,2,181.39,144.84,66.7,15.4,11,11
"12479",3,1,2,473.20,423.30,66.7,11.8,30,29
"14627",311,1,2,462.75,406.40,66.7,25.6,29,29
"17820",190,1,2,180.61,156.56,66.7,10.9,39,39
"18187",622,1,2,724.89,682.19,66.7,11.1,48,48
"12809",167,3,5,1384.34,1333.74,62.5,9.3,74,72
"12525",490,3,5,883.73,745.18,62.5,22.4,55,54
"17531",189,3,5,1266.82,1194.47,62.5,9.4,54,54
"14339",234,2,3,620.27,604.48,60.0,11.5,21,21
"13020",547,2,3,618.96,606.96,60.0,7.1,38,37
"15137",520,2,3,823.40,747.55,60.0,15.0,34,34
"14245",175,2,3,1693.45,1677.48,60.0,3.6,107,105
"14564",426,2,3,2605.62,2519.32,60.0,5.3,107,105
"16576",409,2,3,540.87,513.17,60.0,8.3,32,31
"16240",7,2,3,3718.80,3693.81,60.0,4.9,126,126
"15823",336,2,3,3867.17,3047.76,60.0,10.5,154,151
"15309",610,4,6,797.96,715.53,60.0,11.5,49,49
"16602",30,2,3,763.33,711.63,60.0,14.9,37,37
"17477",612,2,3,1144.30,1079.00,60.0,6.4,44,44
"13091",20,2,3,1108.80,-1343.24,60.0,63.6,40,38
"13287",582,3,4,781.59,519.67,57.1,28.4,46,46
"16278",22,3,4,1117.84,1056.59,57.1,8.3,50,50
"15468",34,3,4,1430.48,1387.48,57.1,9.1,80,79
"13008",322,3,4,612.13,543.28,57.1,10.3,31,30
"13109",2,3,4,1134.03,1107.58,57.1,5.4,57,56
"16163",224,6,8,2407.98,1822.03,57.1,15.0,59,58
"12616",84,3,4,1023.10,937.35,57.1,8.9,31,31
"14831",573,3,4,1676.57,1623.97,57.1,8.9,67,63
"16732",31,4,5,4387.64,3966.79,55.6,3.9,199,198
"16554",2,8,10,2841.72,2407.17,55.6,22.0,108,105
"13295",359,4,5,1101.97,1061.27,55.6,10.7,56,53
"13338",153,4,5,2345.62,2173.62,55.6,11.9,112,110
"12679",51,4,5,951.02,896.67,55.6,15.4,42,39
"14389",8,5,6,1898.01,1821.07,54.5,26.3,48,46
"14175",50,8,9,7678.88,7350.44,52.9,10.3,237,232
"12982",239,8,9,2744.81,2562.12,52.9,16.8,139,137
"17747",99,1,1,71.40,64.65,50.0,50.0,1,1
"12801",477,1,1,871.82,831.87,50.0,2.0,49,49
"12807",382,1,1,250.35,229.95,50.0,6.3,15,15
"12818",177,1,1,1182.08,1157.88,50.0,13.3,13,13
"17743",441,1,1,229.20,208.85,50.0,40.0,3,3
"12852",289,1,1,311.55,299.75,50.0,15.0,17,17
"17727",8,1,1,1060.25,1042.55,50.0,1.5,66,66
"17688",374,1,1,304.20,286.50,50.0,5.0,19,19
"12888",213,2,2,354.12,313.77,50.0,28.6,4,4
"17636",8,1,1,285.56,265.93,50.0,16.7,20,20
"17627",478,1,1,296.36,285.11,50.0,9.1,10,10
"17617",558,1,1,385.19,227.14,50.0,10.0,18,18
"17603",49,4,4,1788.38,1671.18,50.0,5.4,104,100
"12915",148,4,4,975.10,885.20,50.0,11.8,46,42
"12929",121,1,1,117.85,105.10,50.0,11.1,8,8
"12930",77,2,2,415.80,409.90,50.0,7.4,20,19
"12940",45,2,2,899.69,862.44,50.0,4.0,87,84
"12943",300,2,2,496.50,489.00,50.0,7.4,22,22
"18256",354,1,1,110.70,60.60,50.0,28.6,10,10
"17592",738,1,1,148.30,0.00,50.0,50.0,13,5
"12979",728,1,1,517.70,479.54,50.0,1.8,56,51
"17563",577,2,2,392.38,313.78,50.0,14.7,27,27
"18274",17,1,1,175.92,0.00,50.0,50.0,11,11
"12995",77,1,1,211.32,200.72,50.0,40.0,3,3
"12997",21,8,8,2110.91,2065.11,50.0,11.6,65,65
"17547",371,2,2,727.85,692.35,50.0,13.9,22,21
"17506",69,1,1,302.20,294.29,50.0,12.5,14,14
"13043",253,1,1,516.42,471.57,50.0,7.1,13,13
"17476",392,2,2,489.86,446.51,50.0,8.8,29,29
"13084",487,1,1,122.40,116.45,50.0,50.0,2,1
"17378",373,1,1,10.95,0.00,50.0,50.0,1,1
"18269",357,1,1,168.60,138.90,50.0,12.5,7,7
"13116",116,1,1,501.14,485.19,50.0,3.2,30,30
"13121",268,1,1,283.73,254.73,50.0,5.7,50,50
"13143",581,1,1,405.10,399.20,50.0,4.2,23,23
"18250",300,1,1,349.27,342.92,50.0,4.5,21,21
"13163",609,1,1,17.65,0.00,50.0,50.0,2,2
"18248",113,2,2,804.02,783.02,50.0,4.1,39,39
"13175",553,2,2,831.45,793.10,50.0,9.8,40,39
"18247",409,3,3,839.73,721.43,50.0,21.3,28,28
"17313",17,1,1,2328.84,2288.13,50.0,14.3,24,24
"17276",399,1,1,501.24,444.19,50.0,5.5,49,49
"17169",49,3,3,1156.73,1129.88,50.0,11.8,64,62
"17156",483,1,1,591.87,572.07,50.0,4.9,39,39
"13271",36,1,1,211.49,172.37,50.0,5.4,79,73
"13279",63,1,1,137.75,126.30,50.0,18.2,9,9
"13284",322,1,1,201.19,196.15,50.0,7.1,13,13
"17053",128,1,1,498.48,496.38,50.0,7.1,13,13
"13337",518,1,1,1575.26,1550.06,50.0,2.2,87,85
"13343",172,1,1,303.43,253.93,50.0,14.3,18,18
"13345",276,1,1,339.50,327.60,50.0,9.5,19,19
"17037",77,1,1,1267.32,1253.22,50.0,2.6,75,75
"13352",7,1,1,347.98,339.28,50.0,11.5,23,23
"13359",58,2,2,943.31,901.96,50.0,8.5,51,51
"17010",16,1,1,195.36,185.46,50.0,8.3,11,11
"13364",66,1,1,134.96,0.00,50.0,50.0,10,10
"13365",8,2,2,2225.37,2164.32,50.0,4.5,122,122
"13369",353,1,1,258.28,213.75,50.0,27.8,13,13
"13370",365,1,1,754.87,721.32,50.0,11.4,39,39
"13371",498,2,2,2297.66,2271.46,50.0,3.2,75,75
"16984",77,9,9,10350.53,10206.40,50.0,2.3,669,603
"16961",115,3,3,794.56,773.01,50.0,5.5,52,52
"16956",8,1,1,308.74,292.34,50.0,11.1,16,16
"13396",21,2,2,1360.99,1325.29,50.0,8.5,42,42
"13400",573,1,1,310.83,300.93,50.0,4.2,23,23
"13407",578,3,3,2244.70,2111.89,50.0,7.6,85,84
"13420",134,2,2,159.85,140.35,50.0,20.0,8,8
"13422",50,1,1,2626.30,2601.55,50.0,0.8,127,127
"13424",443,1,1,572.77,557.92,50.0,2.4,40,39
"16909",63,1,1,379.14,364.14,50.0,5.3,18,18
"13430",18,2,2,679.45,652.07,50.0,7.5,48,48
"12462",1,2,2,937.59,872.01,50.0,14.3,50,50
"13457",688,2,2,148.22,143.27,50.0,18.2,9,9
"16908",721,1,1,252.59,153.59,50.0,4.8,20,14
"13505",67,4,4,3633.63,3522.88,50.0,5.4,181,174
"16886",444,1,1,134.00,0.00,50.0,50.0,8,8
"13511",483,1,1,282.76,244.61,50.0,16.7,5,5
"16878",24,1,1,13.30,0.00,50.0,50.0,3,3
"13526",737,2,2,1182.00,942.60,50.0,18.5,29,26
"14142",372,2,2,671.34,655.94,50.0,8.3,42,41
"14860",8,1,1,170.32,168.62,50.0,8.3,11,11
"15469",42,3,3,874.25,834.40,50.0,8.5,38,38
"14875",8,3,3,2862.40,2850.50,50.0,3.3,88,88
"12558",1,1,1,269.96,0.00,50.0,50.0,11,11
"18163",560,1,1,728.84,639.34,50.0,13.2,33,33
"18142",150,2,2,1019.52,1014.90,50.0,16.7,9,9
"14903",20,5,5,2795.33,2729.18,50.0,2.5,227,221
"12565",281,1,1,145.92,131.17,50.0,10.0,9,9
"15432",22,2,2,320.76,301.26,50.0,11.1,16,16
"14928",618,1,1,223.91,204.46,50.0,12.5,21,20
"15409",701,1,1,131.25,117.20,50.0,25.0,9,7
"15391",570,1,1,289.87,282.92,50.0,7.7,12,12
"14938",501,2,2,2322.43,2289.43,50.0,6.6,71,64
"15345",34,1,1,393.54,367.69,50.0,13.0,20,20
"14950",8,1,1,371.20,361.25,50.0,5.0,19,19
"15342",115,1,1,406.09,391.76,50.0,7.7,24,24
"15029",617,1,1,365.10,362.15,50.0,9.1,10,10
"15337",402,1,1,373.02,344.72,50.0,12.5,21,21
"15066",31,1,1,893.59,760.59,50.0,20.8,42,42
"12566",72,1,1,297.65,292.70,50.0,5.3,18,18
