"recency_bucket_start","recency_bucket_end","customer_count","max_monetary_gross","avg_monetary_gross"
0,49,2198,580987.04,5544.9996269335759782
50,99,798,26278.86,2027.0636215538847118
100,149,310,26259.11,1883.5574516129032258
150,199,304,39916.50,1459.2477302631578947
200,249,246,44534.30,1253.2954878048780488
250,299,223,54144.25,1164.1304484304932735
300,349,152,77352.96,1888.5235526315789474
350,399,410,65500.07,979.3825490196078431
400,449,358,11880.84,767.5419662921348315
450,499,180,4057.90,623.4987777777777778
500,549,171,14448.67,716.0921052631578947
550,599,170,21941.72,729.7166863905325444
600,649,142,34023.26,749.6931159420289855
650,699,111,9530.08,494.2485585585585586
700,749,102,1182.00,260.8526136363636364
