"recency_bucket_start","recency_bucket_end","customer_count","max_frequency_completed","avg_frequency_completed"
0,49,2198,373,10.9485896269335760
50,99,798,30,5.1065162907268170
100,149,310,34,4.9096774193548387
150,199,304,34,4.3750000000000000
200,249,246,18,3.3455284552845528
250,299,223,55,2.8520179372197309
300,349,152,155,4.2828947368421053
350,399,410,36,2.7990196078431373
400,449,358,41,2.2808988764044944
450,499,180,11,2.2277777777777778
500,549,171,41,2.2456140350877193
550,599,170,27,1.7810650887573964
600,649,142,8,1.5507246376811594
650,699,111,7,1.3153153153153153
700,749,102,3,1.0568181818181818
