"customer_id","recency_days","frequency_completed","monetary_gross","recency_quartile","monetary_quartile","lapsed_whale_flag"
"17850",301,155,51208.87,3,4,NULL
"15808",305,21,17180.25,3,4,NULL
"13963",307,17,2860.57,3,4,NULL
"17406",329,13,4186.95,3,4,NULL
"16351",332,13,3330.03,3,4,NULL
"16725",301,13,1686.81,3,3,NULL
"12872",326,12,3283.96,3,4,NULL
"15222",318,11,3550.91,3,4,NULL
"13693",324,9,2011.82,3,3,NULL
"15607",336,9,1708.97,3,3,NULL
"15107",310,9,824.35,3,2,NULL
"13615",312,8,6272.53,3,4,NULL
"15661",316,8,1215.95,3,3,NULL
"14496",311,7,2363.89,3,4,NULL
"15100",329,7,2193.90,3,3,NULL
"14850",311,7,1770.96,3,3,NULL
"15422",322,7,1619.97,3,3,NULL
"13819",301,6,2642.35,3,4,NULL
"15638",300,6,2265.20,3,4,NULL
"18106",329,6,1441.06,3,3,NULL
"12402",322,6,1136.90,3,3,NULL
"17062",313,6,884.71,3,3,NULL
"17912",309,6,371.60,3,2,NULL
"14439",319,5,9443.04,3,4,NULL
"18095",312,5,2303.09,3,4,NULL
"15326",333,5,1700.52,3,3,NULL
"15167",320,5,1627.62,3,3,NULL
"17714",320,5,1410.18,3,3,NULL
"13506",311,5,1338.08,3,3,NULL
"17356",311,5,946.47,3,3,NULL
"16387",322,5,882.46,3,3,NULL
"17358",302,5,861.01,3,3,NULL
"15266",337,5,852.21,3,2,NULL
"15881",311,5,501.39,3,2,NULL
"15447",330,5,492.88,3,2,NULL
"12377",314,4,3266.32,3,4,NULL
"14130",318,4,1858.77,3,3,NULL
"16124",315,4,1772.49,3,3,NULL
"15649",335,4,1660.35,3,3,NULL
"14068",319,4,1516.72,3,3,NULL
"18085",329,4,1341.85,3,3,NULL
"17862",323,4,1254.89,3,3,NULL
"17239",312,4,1189.45,3,3,NULL
"14549",310,4,913.60,3,3,NULL
"12956",305,4,521.89,3,2,NULL
"12651",334,4,377.75,3,2,NULL
"13187",336,4,328.36,3,1,NULL
"12346",325,3,77352.96,3,4,NULL
"13800",309,3,1679.56,3,3,NULL
"16714",316,3,1482.33,3,3,NULL
"16282",339,3,1307.58,3,3,NULL
"12591",316,3,1114.95,3,3,NULL
"14248",317,3,1032.95,3,3,NULL
"12373",310,3,927.65,3,3,NULL
"17226",308,3,895.47,3,3,NULL
"12410",300,3,773.71,3,2,NULL
"12793",334,3,745.53,3,2,NULL
"13809",304,3,679.70,3,2,NULL
"17334",300,3,635.15,3,2,NULL
"13008",322,3,612.13,3,2,NULL
"15346",332,3,596.12,3,2,NULL
"17392",306,3,579.92,3,2,NULL
"17223",309,3,523.04,3,2,NULL
"14238",325,3,434.23,3,2,NULL
"13672",300,3,419.92,3,2,NULL
"15262",323,3,418.82,3,2,NULL
"13002",317,3,414.13,3,2,NULL
"13584",306,3,385.70,3,2,NULL
"12829",321,3,385.30,3,2,NULL
"12665",324,3,259.60,3,1,NULL
"15823",336,2,3867.17,3,4,NULL
"16222",317,2,1272.05,3,3,NULL
"15970",303,2,1017.32,3,3,NULL
"12652",321,2,891.03,3,3,NULL
"14600",305,2,865.17,3,3,NULL
"15448",312,2,788.81,3,2,NULL
"14497",300,2,697.06,3,2,NULL
"12735",314,2,689.57,3,2,NULL
"13898",325,2,686.40,3,2,NULL
"13706",302,2,631.17,3,2,NULL
"17890",322,2,586.89,3,2,NULL
"12559",310,2,525.71,3,2,NULL
"13600",311,2,518.42,3,2,NULL
"13859",325,2,515.86,3,2,NULL
"18212",325,2,514.37,3,2,NULL
"12943",300,2,496.50,3,2,NULL
"15174",322,2,481.46,3,2,NULL
"13161",312,2,472.13,3,2,NULL
"13703",317,2,425.56,3,2,NULL
"12672",329,2,407.05,3,2,NULL
"16315",330,2,402.71,3,2,NULL
"17094",317,2,402.20,3,2,NULL
"12386",337,2,401.90,3,2,NULL
"15213",318,2,328.35,3,1,NULL
"17843",302,2,312.65,3,1,NULL
"13581",308,2,280.53,3,1,NULL
"16757",318,2,270.48,3,1,NULL
"13551",318,2,244.20,3,1,NULL
"16405",301,2,167.25,3,1,NULL
"13144",332,2,135.35,3,1,NULL
"12501",314,1,2025.39,3,3,NULL
"12764",316,1,1693.88,3,3,NULL
"13328",315,1,1308.48,3,3,NULL
"15171",324,1,1289.50,3,3,NULL
"14411",310,1,1063.00,3,3,NULL
"15464",337,1,1044.65,3,3,NULL
"15415",312,1,559.61,3,2,NULL
"17291",307,1,550.80,3,2,NULL
"13385",329,1,534.57,3,2,NULL
"18159",300,1,530.15,3,2,NULL
"14270",331,1,492.65,3,2,NULL
"14627",311,1,462.75,3,2,NULL
"18233",325,1,440.00,3,2,NULL
"17431",312,1,403.30,3,2,NULL
"15090",307,1,381.32,3,2,NULL
"18250",300,1,349.27,3,2,NULL
"17569",331,1,344.14,3,2,NULL
"16850",333,1,332.41,3,1,NULL
"16030",309,1,331.24,3,1,NULL
"13494",311,1,316.26,3,1,NULL
"16425",301,1,302.70,3,1,NULL
"12489",335,1,298.93,3,1,NULL
"12350",309,1,294.40,3,1,NULL
"15510",330,1,250.00,3,1,NULL
"12561",302,1,238.85,3,1,NULL
"17619",311,1,214.37,3,1,NULL
"15052",318,1,207.73,3,1,NULL
"15820",319,1,206.98,3,1,NULL
"13284",322,1,201.19,3,1,NULL
"14782",319,1,200.10,3,1,NULL
"14185",330,1,197.65,3,1,NULL
"12574",315,1,182.45,3,1,NULL
"16403",301,1,177.50,3,1,NULL
"15316",326,1,165.00,3,1,NULL
"17128",334,1,157.09,3,1,NULL
"17118",317,1,157.02,3,1,NULL
"14368",319,1,155.00,3,1,NULL
"15226",310,1,154.41,3,1,NULL
"17517",308,1,153.94,3,1,NULL
"12736",332,1,144.00,3,1,NULL
