"customer_id","recency_days","monetary_gross","frequency_completed","cancellation_count","order_return_rate_pct"
"17961",20,2866.74,100,2,2.0
"17888",18,1807.44,25,5,16.7
"18283",3,2658.95,22,0,0.0
"17790",26,2779.41,20,0,0.0
"17969",165,2354.29,20,7,25.9
"17884",3,2693.47,20,3,13.0
"16883",186,2246.06,19,1,5.0
"14397",0,2612.96,19,4,17.4
"17894",71,2304.16,18,2,10.0
"13117",21,2255.66,18,1,5.3
"13963",307,2860.57,17,1,5.6
"15860",40,2358.80,17,0,0.0
"13695",30,2770.73,16,0,0.0
"16359",6,2697.75,16,4,20.0
"17460",78,2157.97,16,5,23.8
"13728",36,2855.17,16,0,0.0
"16775",9,2820.84,16,1,5.9
"15235",217,2772.76,16,0,0.0
"16638",22,2380.13,15,1,6.3
"16027",91,2048.36,15,2,11.8
"15910",0,2661.17,15,0,0.0
"16794",0,2050.68,15,2,11.8
"16225",44,2859.31,15,3,16.7
"15660",24,2603.69,15,3,16.7
"14541",58,2491.38,14,0,0.0
"16407",12,2761.65,14,0,0.0
"13610",11,2102.46,14,3,17.6
"17368",22,2758.29,14,2,12.5
"15015",500,2344.47,13,7,35.0
"13700",25,2596.97,13,1,7.1
"15862",7,2507.14,13,0,0.0
"16206",54,2577.12,13,1,7.1
"16817",2,2560.70,13,5,27.8
"16742",46,2334.97,13,1,7.1
"16600",3,2153.41,13,3,18.8
"18116",67,2130.89,13,0,0.0
"14573",179,2163.12,13,4,23.5
"14810",40,2354.03,13,0,0.0
"17905",70,2168.37,13,1,7.1
"14177",84,2209.69,13,1,7.1
"13094",20,2209.44,13,4,23.5
"15965",16,2771.94,13,1,7.1
"17228",15,2820.03,13,0,0.0
"17870",1,2753.29,13,1,7.1
"14404",33,2724.13,13,2,13.3
"12599",28,2026.72,13,0,0.0
"14710",13,1899.79,13,0,0.0
"16764",3,2790.95,13,5,27.8
"15885",92,1921.82,13,5,27.8
"17236",12,1929.26,12,0,0.0
"13092",70,2140.28,12,3,20.0
"16434",28,2673.69,12,1,7.7
"15021",8,2500.59,12,5,29.4
"17227",18,1878.93,12,0,0.0
"14462",63,2237.81,12,3,20.0
"15081",21,1854.57,12,1,7.7
"12826",2,2800.75,12,2,14.3
"13984",26,1893.80,12,1,7.7
"16085",22,2324.71,12,1,7.7
"17324",17,2171.07,12,1,7.7
"17241",384,2736.64,12,0,0.0
"14901",10,1919.00,12,1,7.7
"16115",9,2553.80,12,0,0.0
"17351",35,1964.38,12,0,0.0
"14745",112,2551.41,12,5,29.4
"18236",29,1795.35,12,0,0.0
"17552",59,2786.77,12,3,20.0
"12924",87,2461.45,12,2,14.3
"17530",0,2787.10,12,1,7.7
"14467",17,2203.24,12,0,0.0
"15550",3,2211.05,12,2,14.3
"14915",85,1811.25,11,2,15.4
"14410",15,2630.90,11,6,35.3
"17470",44,2626.47,11,0,0.0
"13719",14,2782.10,11,0,0.0
"13477",37,2819.17,11,2,15.4
"16987",2,2499.45,11,1,8.3
"17288",8,2468.43,11,0,0.0
"16016",2,2083.40,11,3,21.4
"13173",3,2389.82,11,2,15.4
"16470",51,2416.85,11,1,8.3
"13077",0,2740.65,11,3,21.4
"17705",2,2083.90,11,1,8.3
"17609",40,1875.36,11,3,21.4
"13662",85,2233.61,11,6,35.3
"16332",27,1997.49,11,2,15.4
"14502",19,2426.79,11,3,21.4
"13561",215,1803.40,11,0,0.0
"14711",9,2839.62,11,1,8.3
"17742",112,2098.48,11,0,0.0
"14723",9,1801.36,11,0,0.0
"17994",121,2264.03,11,3,21.4
"12820",2,2689.52,11,2,15.4
"16531",21,2298.33,11,1,8.3
"17180",55,2236.77,11,3,21.4
"17388",77,2675.37,11,0,0.0
"15716",145,2482.74,11,0,0.0
"15434",7,2567.06,11,2,15.4
"17262",51,2488.76,11,0,0.0
"13059",249,2291.77,10,2,16.7
"17075",17,2236.63,10,1,9.1
"16076",2,2234.73,10,1,9.1
"13643",30,2156.77,10,5,33.3
"12986",402,2729.84,10,2,16.7
"16426",1,1863.76,10,0,0.0
"16086",58,2687.73,10,1,9.1
"14748",28,2681.90,10,6,37.5
"17720",25,2666.91,10,2,16.7
"13203",9,2648.25,10,1,9.1
"13211",9,2618.77,10,2,16.7
"14794",2,1953.90,10,3,23.1
"15033",4,2553.88,10,1,9.1
"17966",37,1963.92,10,0,0.0
"13623",30,2533.06,10,5,33.3
"15906",19,2530.19,10,2,16.7
"14790",16,2526.62,10,0,0.0
"14623",31,2012.30,10,2,16.7
"17629",5,2455.52,10,1,9.1
"17676",3,2448.64,10,2,16.7
"17921",63,2394.36,10,2,16.7
"16005",11,2365.07,10,1,9.1
"13884",6,1825.03,10,4,28.6
"15456",282,2091.52,10,0,0.0
"12676",24,2333.09,10,0,0.0
"12423",0,2301.39,10,1,9.1
"14035",28,2794.75,9,2,18.2
"14659",8,2529.93,9,3,25.0
"12948",15,2317.43,9,1,10.0
"14129",1,2591.34,9,0,0.0
"17550",196,2506.64,9,1,10.0
"16202",360,2501.99,9,2,18.2
"15747",12,2499.81,9,1,10.0
"16233",70,1818.31,9,3,25.0
"17126",151,2008.93,9,2,18.2
"13693",324,2011.82,9,3,25.0
"17193",35,2310.04,9,3,25.0
"16979",3,2859.74,9,3,25.0
"16197",468,2016.71,9,0,0.0
"16221",36,2018.47,9,1,10.0
"15227",36,2488.49,9,0,0.0
"14651",66,2025.52,9,0,0.0
"16942",12,1904.99,9,1,10.0
"13588",15,2478.95,9,3,25.0
"17560",94,1895.80,9,0,0.0
"15164",68,2028.11,9,1,10.0
"13704",4,2308.06,9,1,10.0
"14553",18,1818.60,9,1,10.0
"18171",58,2437.31,9,2,18.2
"17289",31,2041.80,9,2,18.2
"17348",14,2430.99,9,0,0.0
"15596",100,2727.72,9,7,43.8
"16711",2,2868.48,9,1,10.0
"15841",63,2742.41,9,3,25.0
"13118",19,2415.41,9,3,25.0
"17897",172,2053.04,9,1,10.0
"14205",16,2414.20,9,2,18.2
"14738",38,1821.90,9,3,25.0
"12584",3,2254.15,9,9,50.0
"17490",0,2750.50,9,4,30.8
"13748",95,2064.35,9,0,0.0
"14224",109,1841.71,9,0,0.0
"16104",61,2774.46,9,2,18.2
"14472",103,2118.72,9,0,0.0
"13410",8,2201.96,9,3,25.0
"17634",35,2358.59,9,0,0.0
"16996",29,2123.61,9,4,30.8
"18177",30,2216.32,9,1,10.0
"13032",38,2815.96,9,2,18.2
"15426",18,2156.35,9,2,18.2
"13799",116,2803.57,9,4,30.8
"13862",17,2556.09,9,2,18.2
"16350",20,2253.89,9,3,25.0
"13755",3,2108.06,9,1,10.0
"14147",48,2590.20,9,3,25.0
"18170",32,2878.00,9,0,0.0
"14548",150,2541.29,9,0,0.0
"14595",19,2164.45,8,0,0.0
"14449",18,2230.96,8,0,0.0
"14905",153,1971.39,8,2,20.0
"16043",37,1856.59,8,0,0.0
"15795",149,1979.87,8,0,0.0
"15030",71,1979.91,8,1,11.1
"12997",21,2110.91,8,8,50.0
"13725",49,1980.56,8,3,27.3
"17591",72,2339.32,8,1,11.1
"12649",106,2096.65,8,2,20.0
"16960",38,1988.93,8,1,11.1
"15062",70,2585.62,8,0,0.0
"15253",15,2055.09,8,4,33.3
"16065",364,1992.13,8,2,20.0
"16042",21,2245.32,8,3,27.3
"17043",31,2593.65,8,0,0.0
"15561",11,1934.39,8,1,11.1
"14262",7,2618.23,8,0,0.0
"16554",2,2841.72,8,10,55.6
"15793",8,2399.57,8,1,11.1
"14715",24,1809.55,8,0,0.0
"14414",91,2399.33,8,1,11.1
"18009",234,2144.23,8,6,42.9
"15932",3,2495.87,8,3,27.3
"12982",239,2744.81,8,9,52.9
"13813",39,2387.47,8,4,33.3
"12576",35,2062.72,8,3,27.3
"15549",76,2330.41,8,1,11.1
"14896",204,1826.00,8,2,20.0
"13473",60,2657.76,8,2,20.0
"16062",9,2863.45,8,0,0.0
"15117",14,2485.97,8,1,11.1
"16177",49,2247.31,8,4,33.3
"17797",21,1971.87,8,0,0.0
"13208",58,1951.82,8,0,0.0
"14730",0,1897.57,8,0,0.0
"14696",3,2473.28,8,2,20.0
"16880",30,1813.21,8,0,0.0
"18179",8,2547.55,8,0,0.0
"16172",94,1884.55,8,0,0.0
"15073",9,2788.02,8,1,11.1
"15658",189,2117.27,8,5,38.5
"16499",359,2578.34,8,5,38.5
"17997",73,1962.46,8,4,33.3
"15623",140,2437.05,8,0,0.0
"14808",39,2718.60,8,6,42.9
"17732",372,2166.42,8,2,20.0
"16235",40,2043.71,8,2,20.0
"12868",185,2043.76,8,0,0.0
"15473",13,2046.00,8,3,27.3
"13085",157,2433.28,8,1,11.1
"14399",393,2108.21,8,1,11.1
"16190",39,2723.55,8,0,0.0
"15489",22,2419.61,8,4,33.3
"17434",1,2373.82,7,2,22.2
"16474",6,1810.49,7,4,36.4
"16205",30,1813.51,7,0,0.0
"15339",65,1821.02,7,4,36.4
"16175",93,1836.44,7,0,0.0
"12399",118,1842.30,7,0,0.0
"15201",78,1842.95,7,7,50.0
"16660",15,1879.55,7,1,12.5
"16631",481,1892.52,7,1,12.5
"17350",7,1893.70,7,1,12.5
"16650",71,1916.11,7,0,0.0
"16681",72,1921.84,7,0,0.0
"14492",429,1921.91,7,3,30.0
"16859",105,1932.41,7,3,30.0
"18016",31,1954.56,7,0,0.0
"14396",64,1969.38,7,0,0.0
"14477",19,1969.60,7,3,30.0
"14152",74,1997.34,7,2,22.2
"15990",43,1997.75,7,0,0.0
"13888",119,2001.59,7,0,0.0
"13630",4,2031.78,7,4,36.4
"14988",211,2038.65,7,0,0.0
"13874",357,2049.15,7,3,30.0
"17633",30,2057.39,7,2,22.2
"16726",25,2063.88,7,0,0.0
"17585",108,2064.71,7,0,0.0
"17048",114,2071.68,7,4,36.4
"12724",4,2083.52,7,0,0.0
"13591",64,2093.94,7,1,12.5
"14499",25,2101.79,7,3,30.0
"14276",87,2102.68,7,5,41.7
"16493",72,2132.09,7,2,22.2
"17029",110,2137.30,7,0,0.0
"13152",416,2146.38,7,2,22.2
"16966",7,2154.97,7,2,22.2
"15864",21,2180.76,7,2,22.2
"15100",329,2193.90,7,7,50.0
"14006",115,2196.67,7,0,0.0
"14834",17,2206.16,7,2,22.2
"14321",10,2218.06,7,1,12.5
"16551",95,2237.12,7,0,0.0
"16823",226,2243.09,7,1,12.5
"13627",58,2245.90,7,3,30.0
"16174",125,2246.75,7,0,0.0
"14644",8,2247.72,7,5,41.7
"18051",633,2282.28,7,1,12.5
"13280",121,2293.33,7,1,12.5
"16628",29,2318.10,7,1,12.5
"14496",311,2363.89,7,3,30.0
"17623",32,2365.77,7,0,0.0
"15366",74,2389.08,7,0,0.0
"16040",64,2416.90,7,1,12.5
"15215",44,2422.43,7,4,36.4
"17164",32,2467.35,7,1,12.5
"17101",9,2507.05,7,0,0.0
"17463",15,2535.26,7,2,22.2
"17465",425,2542.79,7,2,22.2
"12457",57,2555.91,7,6,46.2
"17284",59,2558.60,7,1,12.5
