"recency_bucket_start","recency_bucket_end","customer_count","max_monetary_net","avg_monetary_net"
0,49,2198,578408.64,5404.0839490445859873
50,99,798,26278.86,1976.2283709273182957
100,149,310,25491.56,1850.8615161290322581
150,199,304,39619.50,1431.4595065789473684
200,249,246,21535.90,1119.5567073170731707
250,299,223,53283.30,1142.2054708520179372
300,349,152,50407.77,1344.8758552631578947
350,399,410,54692.82,927.6439215686274510
400,449,358,11880.84,749.8248314606741573
450,499,180,3969.10,610.1011111111111111
500,549,171,14375.01,655.8457894736842105
550,599,170,21941.72,704.2972189349112426
600,649,142,30375.26,711.1869565217391304
650,699,111,9530.08,490.9505405405405405
700,749,102,966.66,253.2900000000000000
