"customer_id","recency_days","monetary_gross","monetary_net","gross_net_gap","frequency_completed","cancellation_count"
"15749",234,44534.30,21535.90,22998.40,3,1
"12755",249,5236.26,2629.50,2606.76,11,10
"16163",224,2407.98,1822.03,585.95,6,8
"16634",222,1649.81,1198.30,451.51,6,4
"15935",238,108.04,-200.78,308.82,1,1
"13762",203,2472.48,2165.76,306.72,5,1
"15223",225,1417.95,1117.10,300.85,5,1
"18227",217,388.75,93.75,295.00,2,1
"12770",210,3246.45,2981.45,265.00,2,5
"17504",205,9490.17,9238.42,251.75,18,1
"17548",217,731.26,486.48,244.78,4,2
"14195",201,2615.60,2401.40,214.20,6,4
"15973",235,665.62,457.57,208.05,2,2
"14304",222,1725.01,1523.81,201.20,3,2
"14154",238,6460.70,6263.60,197.10,8,2
"14149",212,446.62,259.43,187.19,1,2
"12982",239,2744.81,2562.12,182.69,8,9
"14199",217,1091.70,916.50,175.20,4,2
"14000",205,2046.34,1877.59,168.75,5,3
"13711",218,1792.26,1632.61,159.65,9,6
"18220",219,1921.76,1771.70,150.06,6,5
"14320",206,1346.75,1204.12,142.63,5,2
"14586",226,237.36,134.16,103.20,1,2
"14896",204,1826.00,1727.30,98.70,8,2
"12733",233,2424.02,2325.97,98.05,4,2
"12414",216,532.41,442.41,90.00,4,1
"14311",224,516.45,435.90,80.55,2,1
"18009",234,2144.23,2065.48,78.75,8,6
"15079",212,3625.40,3546.75,78.65,11,6
"16227",218,1027.22,948.82,78.40,3,3
"13151",202,2454.71,2385.66,69.05,3,2
"13485",232,3015.22,2953.92,61.30,11,4
"14981",245,372.92,313.52,59.40,2,1
"17597",213,3484.09,3425.29,58.80,5,2
"12585",233,1824.10,1766.81,57.29,2,2
"17646",218,3898.79,3843.16,55.63,12,4
"15648",203,639.50,584.75,54.75,2,2
"17718",231,439.18,386.98,52.20,2,1
"12625",211,4678.88,4627.38,51.50,4,1
"15655",232,560.67,511.32,49.35,1,1
"17035",245,613.59,568.39,45.20,4,1
"13501",242,2885.11,2840.26,44.85,3,2
"15732",211,1543.97,1499.42,44.55,10,2
"16947",235,946.71,906.31,40.40,4,3
"12888",213,354.12,313.77,40.35,2,2
"14206",238,1185.01,1145.21,39.80,3,2
"16217",234,304.25,266.45,37.80,2,1
"18218",205,1121.84,1086.14,35.70,4,2
"14747",247,328.20,294.30,33.90,1,1
"13952",210,12823.52,12790.89,32.63,14,3
"18183",217,632.07,600.52,31.55,2,4
"17746",234,904.18,873.43,30.75,4,3
"13059",249,2291.77,2261.22,30.55,10,2
"15777",240,1762.61,1732.16,30.45,7,2
"16306",213,1124.72,1094.72,30.00,7,3
"16756",214,1312.37,1287.42,24.95,7,2
"13484",240,790.72,767.32,23.40,3,1
"16297",249,301.90,278.55,23.35,1,2
"13863",244,1239.55,1217.63,21.92,4,2
"15109",240,983.10,961.90,21.20,3,1
"15759",217,830.93,810.98,19.95,7,3
"16116",205,612.78,592.88,19.90,1,1
"14620",203,412.78,393.28,19.50,2,1
"13405",203,1198.81,1181.56,17.25,5,3
"17582",235,1446.95,1429.95,17.00,5,1
"14326",234,940.98,923.98,17.00,3,1
"16109",218,939.48,923.58,15.90,3,1
"17374",218,727.11,711.21,15.90,3,1
"14339",234,620.27,604.48,15.79,2,3
"14619",238,1291.24,1276.31,14.93,2,1
"15147",218,623.50,608.65,14.85,1,1
"17362",238,1024.04,1010.54,13.50,7,1
"15212",238,208.28,195.43,12.85,2,1
"14770",231,3637.64,3624.89,12.75,8,1
"14288",211,426.60,413.85,12.75,1,1
"14532",235,3845.78,3833.03,12.75,11,1
"13642",215,472.20,459.45,12.75,4,1
"16623",245,1015.24,1002.49,12.75,4,1
"15135",232,305.68,293.78,11.90,2,1
"15724",200,310.85,299.80,11.05,3,2
"17438",246,1422.77,1412.62,10.15,5,1
"15363",240,678.11,670.16,7.95,2,1
"16643",245,923.11,915.56,7.55,2,1
"16823",226,2243.09,2236.14,6.95,7,1
"18108",248,848.81,842.46,6.35,3,1
"17990",236,1527.61,1522.57,5.04,6,1
"12857",210,3688.00,3684.25,3.75,6,1
"15092",214,776.46,773.16,3.30,3,1
"15381",213,1890.57,1887.62,2.95,5,1
"16010",245,1694.86,1692.91,1.95,11,1
"14423",217,916.61,914.96,1.65,3,1
"16142",249,535.34,535.34,0.00,1,0
"16144",246,175.20,175.20,0.00,1,0
"16193",236,630.43,630.43,0.00,2,0
"16226",202,672.17,672.17,0.00,5,0
"16244",211,1522.75,1522.75,0.00,2,0
"16319",217,404.40,404.40,0.00,1,0
"16378",246,362.95,362.95,0.00,3,0
"16431",212,623.28,623.28,0.00,3,0
"16446",205,2.90,2.90,0.00,1,0
"16457",217,208.36,208.36,0.00,1,0
"16552",242,379.73,379.73,0.00,2,0
"16586",248,1462.78,1462.78,0.00,3,0
"16587",231,225.15,225.15,0.00,1,0
"16610",218,75.66,75.66,0.00,1,0
"16617",235,151.85,151.85,0.00,1,0
"16697",240,112.75,112.75,0.00,1,0
"16698",226,1998.00,1998.00,0.00,2,0
"16834",227,898.96,898.96,0.00,2,0
"16943",211,816.73,816.73,0.00,3,0
"16957",238,416.64,416.64,0.00,2,0
"16965",226,192.07,192.07,0.00,1,0
"16990",218,344.00,344.00,0.00,2,0
"17120",232,307.46,307.46,0.00,1,0
"17140",246,454.12,454.12,0.00,1,0
"17142",238,1275.25,1275.25,0.00,4,0
"17174",217,59.90,59.90,0.00,1,0
"17176",201,902.32,902.32,0.00,3,0
