"invoice_no","invoice_date","stock_code","description","quantity","unit_price","line_total"
"C490807","2009-12-08 12:25:00","85217","ASSORTED ICE CREAM FRIDGE MAGNETS",-24,0.65,-15.60
"C490807","2009-12-08 12:25:00","21866","UNION JACK FLAG LUGGAGE TAG",-12,1.25,-15.00
"C490807","2009-12-08 12:25:00","21870","I CAN ONLY PLEASE ONE PERSON MUG",-12,1.25,-15.00
"C490807","2009-12-08 12:25:00","21871","SAVE THE PLANET MUG",-12,1.25,-15.00
"C490807","2009-12-08 12:25:00","21901","KEY FOB , BACK DOOR ",-48,0.65,-31.20
"C490807","2009-12-08 12:25:00","22030","SWALLOWS GREETING CARD",-48,0.42,-20.16
"C490807","2009-12-08 12:25:00","22064","PINK DOUGHNUT TRINKET POT ",-24,1.65,-39.60
"C490807","2009-12-08 12:25:00","22095","LADS ONLY TISSUE BOX",-36,1.06,-38.16
"C490807","2009-12-08 12:25:00","22107","PIZZA PLATE IN BOX",-32,3.39,-108.48
"C490807","2009-12-08 12:25:00","22123","PING MICROWAVE APRON",-12,5.95,-71.40
"C490807","2009-12-08 12:25:00","22174","PHOTO CUBE",-24,1.65,-39.60
"C490807","2009-12-08 12:25:00","35004B","SET OF 3 BLACK FLYING DUCKS",-12,4.65,-55.80
"C490807","2009-12-08 12:25:00","51014A","FEATHER PEN,HOT PINK",-60,0.85,-51.00
"C490807","2009-12-08 12:25:00","51014C","FEATHER PEN,COAL BLACK",-60,0.85,-51.00
"C490807","2009-12-08 12:25:00","51014L","FEATHER PEN,LIGHT PINK",-60,0.85,-51.00
"C490807","2009-12-08 12:25:00","84029E","RED WOOLLY HOTTIE WHITE HEART.",-4,3.75,-15.00
"C490807","2009-12-08 12:25:00","84029G","KNITTED UNION FLAG HOT WATER BOTTLE",-4,3.75,-15.00
"C490807","2009-12-08 12:25:00","84030C","KNITTED RAINBOW HOT WATER BOTTLE",-4,3.75,-15.00
"C490807","2009-12-08 12:25:00","84077","WORLD WAR 2 GLIDERS ASSTD DESIGNS",-96,0.21,-20.16
