"customer_id","total_orders","cancelled_orders","order_level_return_rate"
"",8752,391,0.0447
"12346.0",17,5,0.2941
"12347.0",8,0,0.0000
"12348.0",5,0,0.0000
"12349.0",5,1,0.2000
"12350.0",1,0,0.0000
"12351.0",1,0,0.0000
"12352.0",13,3,0.2308
"12353.0",2,0,0.0000
"12354.0",1,0,0.0000
"12355.0",2,0,0.0000
"12356.0",6,0,0.0000
"12357.0",3,0,0.0000
"12358.0",5,0,0.0000
"12359.0",14,4,0.2857
"12360.0",9,1,0.1111
"12361.0",4,0,0.0000
"12362.0",14,3,0.2143
"12363.0",2,0,0.0000
"12364.0",4,0,0.0000
"12365.0",3,1,0.3333
"12366.0",1,0,0.0000
"12367.0",1,0,0.0000
"12368.0",1,0,0.0000
"12369.0",3,0,0.0000
"12370.0",7,0,0.0000
"12371.0",5,0,0.0000
"12372.0",3,0,0.0000
"12373.0",3,0,0.0000
"12374.0",4,0,0.0000
"12375.0",3,1,0.3333
"12376.0",2,0,0.0000
"12377.0",4,0,0.0000
"12378.0",2,0,0.0000
"12379.0",5,1,0.2000
"12380.0",15,4,0.2667
"12381.0",6,1,0.1667
"12382.0",1,1,1.0000
"12383.0",6,1,0.1667
"12384.0",3,1,0.3333
"12385.0",2,1,0.5000
"12386.0",2,0,0.0000
"12387.0",1,0,0.0000
"12388.0",8,0,0.0000
"12389.0",3,0,0.0000
"12390.0",1,0,0.0000
"12391.0",7,1,0.1429
"12392.0",1,0,0.0000
"12393.0",7,1,0.1429
"12394.0",2,0,0.0000
"12395.0",18,3,0.1667
"12396.0",1,0,0.0000
"12397.0",2,0,0.0000
"12398.0",1,0,0.0000
"12399.0",7,0,0.0000
"12400.0",1,0,0.0000
"12401.0",1,0,0.0000
"12402.0",7,1,0.1429
"12403.0",3,1,0.3333
"12404.0",1,0,0.0000
"12405.0",1,0,0.0000
"12406.0",7,2,0.2857
"12407.0",5,0,0.0000
"12408.0",14,6,0.4286
"12409.0",13,6,0.4615
"12410.0",4,1,0.2500
"12411.0",1,0,0.0000
"12412.0",8,2,0.2500
"12413.0",6,2,0.3333
"12414.0",8,2,0.2500
"12415.0",33,5,0.1515
"12416.0",1,0,0.0000
"12417.0",27,7,0.2593
"12418.0",5,1,0.2000
"12419.0",2,0,0.0000
"12420.0",1,0,0.0000
"12421.0",8,2,0.2500
"12422.0",21,4,0.1905
"12423.0",11,1,0.0909
"12424.0",7,3,0.4286
"12425.0",3,1,0.3333
"12426.0",3,1,0.3333
"12427.0",5,2,0.4000
"12428.0",12,3,0.2500
"12429.0",9,1,0.1111
"12430.0",1,0,0.0000
"12431.0",33,6,0.1818
"12432.0",5,0,0.0000
"12433.0",11,1,0.0909
"12434.0",5,2,0.4000
"12435.0",6,0,0.0000
"12436.0",1,0,0.0000
"12437.0",47,8,0.1702
"12438.0",2,0,0.0000
"12439.0",3,1,0.3333
"12440.0",3,1,0.3333
"12441.0",1,0,0.0000
"12442.0",1,0,0.0000
"12443.0",1,0,0.0000
"12444.0",5,0,0.0000
"12445.0",3,1,0.3333
"12446.0",1,0,0.0000
"12447.0",1,0,0.0000
"12448.0",1,0,0.0000
"12449.0",6,0,0.0000
"12450.0",7,2,0.2857
"12451.0",10,2,0.2000
"12452.0",3,1,0.3333
"12453.0",1,0,0.0000
"12454.0",9,4,0.4444
"12455.0",10,0,0.0000
"12456.0",4,1,0.2500
"12457.0",14,6,0.4286
"12458.0",4,0,0.0000
"12459.0",1,0,0.0000
"12460.0",1,0,0.0000
"12461.0",2,0,0.0000
"12462.0",4,2,0.5000
"12463.0",7,3,0.4286
"12464.0",8,0,0.0000
"12465.0",3,1,0.3333
"12466.0",1,0,0.0000
"12467.0",2,1,0.5000
"12468.0",10,5,0.5000
