"customer_id","recency_days","frequency_completed","monetary_gross","monetary_net"
"18102",0,145,580987.04,578408.64
"14646",1,146,526751.52,523202.74
"14156",9,144,303069.88,297775.01
"14911",0,373,272252.79,258522.43
"17450",7,51,244784.25,233643.91
"13694",3,143,195640.69,190391.50
"17511",2,60,172132.87,168504.44
"16684",3,55,147142.77,141530.29
"12415",23,24,144033.37,143107.02
"15061",3,127,126387.57,124982.13
"15311",0,207,114671.42,111444.36
"13089",2,203,113416.91,109893.24
"16029",38,106,109620.87,97066.71
"17949",0,116,107833.48,98469.06
"12931",21,57,92347.34,71546.97
"14298",2,82,91194.49,90489.31
"15769",6,46,88612.52,84183.52
"12346",325,3,77352.96,169.36
"13798",0,110,75428.87,73177.50
"15838",10,34,73205.50,72738.93
