"customer_id","recency_days","monetary_gross","monetary_net","gross_net_gap","frequency_completed","cancellation_count"
"16995",371,NULL,NULL,NULL,NULL,NULL
"13353",388,NULL,NULL,NULL,NULL,NULL
"16754",371,65500.07,54692.82,10807.25,29,5
"13564",353,15880.22,15613.10,267.12,36,13
"14134",382,11123.35,11123.35,0.00,15,0
"13206",399,8308.19,8308.19,0.00,13,0
"15369",374,6251.26,3346.43,2904.83,11,1
"15332",365,4892.68,4892.68,0.00,6,0
"13958",371,4709.23,4504.78,204.45,8,4
"17308",392,4511.76,4511.76,0.00,2,0
"16118",392,4376.25,4255.43,120.82,1,4
"16858",365,4292.59,4085.74,206.85,10,6
"16125",366,4292.35,4292.35,0.00,14,0
"17307",364,3999.89,3378.31,621.58,11,4
"13542",376,3959.49,3924.09,35.40,17,1
"17876",399,3424.02,3424.02,0.00,3,0
"13786",366,3127.99,3112.99,15.00,6,1
"16718",368,3006.08,3006.08,0.00,5,0
"17241",384,2736.64,2736.64,0.00,12,0
"16499",359,2578.34,2509.64,68.70,8,5
"12978",384,2502.82,2496.07,6.75,5,1
"16202",360,2501.99,2467.04,34.95,9,2
"16812",360,2392.00,2216.80,175.20,4,1
"15476",379,2209.98,2180.28,29.70,4,1
"17732",372,2166.42,2144.17,22.25,8,2
"14399",393,2108.21,2093.21,15.00,8,1
"16795",364,2062.41,2035.21,27.20,3,2
"15221",365,2062.20,1702.00,360.20,4,3
"13874",357,2049.15,1989.20,59.95,7,3
"16065",364,1992.13,1975.13,17.00,8,2
"15789",357,1962.01,1932.01,30.00,6,1
"15425",399,1941.12,1941.12,0.00,4,0
"12725",370,1906.76,1906.76,0.00,3,0
"16797",392,1802.02,1761.02,41.00,5,4
"13648",399,1759.07,1681.12,77.95,8,3
"16510",371,1757.25,1757.25,0.00,6,0
"16087",388,1739.92,1739.92,0.00,5,0
"13665",385,1711.66,1711.66,0.00,3,0
"12870",365,1676.95,1662.05,14.90,3,1
"12385",378,1668.40,1668.40,0.00,1,0
"13554",379,1629.35,1547.46,81.89,7,3
"13154",398,1624.84,1609.29,15.55,3,1
"17814",374,1609.37,1609.37,0.00,2,0
"13156",384,1586.54,1586.54,0.00,3,0
"15279",354,1580.54,1554.84,25.70,5,2
"13202",378,1580.30,1571.35,8.95,7,1
"15590",381,1496.60,1496.60,0.00,5,0
"15173",380,1494.60,1399.26,95.34,7,1
"16314",389,1491.40,1491.40,0.00,3,0
"13377",396,1452.88,1445.43,7.45,2,1
"17496",358,1412.89,1385.89,27.00,4,1
"16727",363,1377.77,1377.77,0.00,4,0
"15580",376,1375.39,1216.15,159.24,8,6
"16588",385,1361.28,1361.28,0.00,4,0
"17150",376,1357.95,1357.95,0.00,6,0
"14899",394,1331.38,1331.38,0.00,1,0
"14679",371,1289.44,1272.95,16.49,3,2
"14478",381,1276.66,1276.66,0.00,4,0
"17343",354,1259.94,1259.94,0.00,6,0
"15441",395,1254.21,1254.21,0.00,3,0
"12666",358,1248.42,1020.98,227.44,1,1
"12805",381,1230.95,1230.95,0.00,4,0
"14821",366,1230.15,1230.15,0.00,7,0
"13019",378,1229.95,1212.95,17.00,6,2
"17342",373,1227.54,1155.84,71.70,4,3
"16946",382,1222.04,1199.54,22.50,5,1
"13304",350,1217.99,1120.79,97.20,4,3
"15390",395,1216.66,1216.66,0.00,2,0
"15377",382,1211.75,1179.95,31.80,4,1
"12629",385,1198.22,1198.22,0.00,2,0
"17713",381,1198.09,1198.09,0.00,4,0
"13293",391,1192.94,1180.34,12.60,6,1
"14213",371,1192.20,0.00,1192.20,1,1
"16501",382,1191.23,1191.23,0.00,1,0
"14275",395,1189.38,1189.38,0.00,6,0
"18025",379,1177.72,1177.72,0.00,6,0
"16926",370,1169.61,1158.66,10.95,5,1
"18057",392,1168.14,1168.14,0.00,3,0
"15347",365,1162.00,1132.30,29.70,4,2
"17525",359,1161.90,1161.90,0.00,3,0
"17978",364,1159.99,1159.99,0.00,4,0
"17908",373,1142.47,1088.82,53.65,5,2
"16270",352,1141.24,1141.24,0.00,1,0
"12605",364,1124.95,1117.45,7.50,3,1
"15828",374,1108.82,1108.82,0.00,1,0
"13295",359,1101.97,1061.27,40.70,4,5
"17726",394,1092.06,1089.56,2.50,7,1
"16223",374,1087.05,1087.05,0.00,2,0
"17366",391,1077.24,1075.59,1.65,2,1
"16231",378,1074.47,1074.47,0.00,4,0
"17421",385,1059.41,1059.41,0.00,3,0
"13065",372,1055.05,1050.10,4.95,5,1
"17310",386,1025.10,1025.10,0.00,2,0
"18074",373,1019.44,1019.44,0.00,2,0
"12803",392,1017.81,1017.81,0.00,1,0
"16787",397,1017.53,1017.53,0.00,4,0
"13857",392,1000.91,997.01,3.90,6,1
"16699",379,994.60,964.90,29.70,7,1
"14510",375,979.85,964.55,15.30,3,1
"14454",375,977.30,970.70,6.60,5,1
"17456",364,975.56,975.56,0.00,2,0
"16254",377,967.44,967.44,0.00,3,0
"15084",379,965.20,965.20,0.00,2,0
"14615",393,951.76,934.26,17.50,5,1
"12767",375,949.82,949.82,0.00,1,0
"17544",389,944.82,944.82,0.00,3,0
"14994",381,942.77,886.64,56.13,5,2
"16199",391,942.75,942.75,0.00,7,0
"15792",399,933.84,933.84,0.00,2,0
"15723",364,930.70,930.70,0.00,4,0
"17322",375,922.59,900.64,21.95,5,2
"14605",373,920.71,920.71,0.00,4,0
"17363",394,920.46,920.46,0.00,3,0
"16138",367,910.35,902.40,7.95,3,1
"14065",388,891.02,889.37,1.65,3,1
"14813",369,888.91,888.91,0.00,4,0
"16228",373,885.71,881.06,4.65,3,1
"18141",360,882.47,838.57,43.90,2,2
"16677",392,880.62,849.77,30.85,2,1
"12874",384,873.42,858.42,15.00,2,1
"14437",365,873.34,850.84,22.50,5,1
"15224",357,871.36,837.26,34.10,5,3
"17167",379,867.11,867.11,0.00,3,0
"13922",351,865.20,826.65,38.55,3,2
"13891",377,859.21,859.21,0.00,3,0
"13945",394,854.15,854.15,0.00,2,0
"14202",380,847.76,847.76,0.00,3,0
"13970",385,846.55,846.55,0.00,2,0
"13996",385,845.76,845.76,0.00,2,0
"14922",393,843.74,843.74,0.00,2,0
"14355",365,840.05,840.05,0.00,3,0
"13795",387,836.30,836.30,0.00,4,0
"15617",395,828.55,828.55,0.00,3,0
"17880",364,824.92,824.92,0.00,3,0
"17683",385,819.01,819.01,0.00,3,0
"15180",366,816.93,816.93,0.00,3,0
"17251",362,798.98,790.28,8.70,3,1
"17281",373,797.85,797.85,0.00,6,0
"16155",381,796.90,781.05,15.85,5,1
"17952",377,788.46,788.46,0.00,4,0
"12505",392,787.20,744.50,42.70,1,1
"17194",360,776.66,776.66,0.00,2,0
"16565",363,773.05,700.45,72.60,4,1
"16262",360,755.15,677.78,77.37,1,2
"13370",365,754.87,721.32,33.55,1,1
"16972",382,749.00,749.00,0.00,2,0
"13108",372,748.46,748.46,0.00,2,0
"15070",372,737.05,737.05,0.00,3,0
"13921",398,730.70,720.75,9.95,4,1
"17756",375,728.75,728.75,0.00,3,0
"17547",371,727.85,692.35,35.50,2,2
"17860",368,717.39,717.39,0.00,4,0
"15361",361,689.07,689.07,0.00,4,0
"13987",379,682.54,682.54,0.00,2,0
"16658",367,680.83,563.48,117.35,5,3
"17782",382,679.02,679.02,0.00,2,0
"15562",351,671.43,671.43,0.00,3,0
"14142",372,671.34,655.94,15.40,2,2
"16679",365,663.31,663.31,0.00,3,0
"13864",386,662.40,662.40,0.00,1,0
"12791",373,656.83,656.83,0.00,5,0
"15945",364,646.27,646.27,0.00,4,0
"13237",387,643.00,643.00,0.00,1,0
"12880",381,640.13,640.13,0.00,2,0
"17998",379,639.24,601.74,37.50,3,1
"17691",357,637.55,627.35,10.20,4,1
"14365",394,634.68,634.68,0.00,2,0
"16781",364,623.00,606.40,16.60,2,1
"13836",398,620.37,602.52,17.85,2,1
"13444",373,619.08,619.08,0.00,2,0
"12855",372,612.84,612.84,0.00,4,0
"16590",380,605.90,563.60,42.30,2,1
"12734",352,603.65,603.65,0.00,3,0
"17815",392,591.96,591.96,0.00,1,0
"17098",381,591.07,591.07,0.00,3,0
"17968",373,590.44,590.44,0.00,4,0
"13270",365,590.00,590.00,0.00,1,0
"15160",356,589.27,589.27,0.00,4,0
"14729",373,586.24,586.24,0.00,3,0
"16001",380,583.39,519.06,64.33,1,1
"14170",374,570.18,570.18,0.00,3,0
"15169",381,569.22,569.22,0.00,2,0
"14932",365,566.13,566.13,0.00,2,0
"14986",375,563.10,563.10,0.00,2,0
"15842",387,548.80,528.75,20.05,2,1
