"customer_id","recency_days","monetary_net"
"12469",522,3070.54
"12482",575,21941.72
"12511",414,3065.77
"12671",605,2622.48
"12806",571,2558.96
"12835",417,5972.19
"12978",384,2496.07
"13031",406,3292.84
"13205",442,2803.20
"13206",399,8308.19
"13214",417,3264.23
"13371",498,2271.46
"13446",419,3613.27
"13687",437,11880.84
"13734",508,3445.34
"13902",631,30375.26
"13935",596,6116.92
"14025",464,3969.10
"14028",549,6786.00
"14063",686,9471.50
"14091",653,9530.08
"14134",382,11123.35
"14160",609,8421.47
"14249",410,5400.46
"14564",426,2519.32
"14590",424,2871.04
"14648",403,4374.74
"14685",575,4241.16
"14938",501,2289.43
"15015",500,2255.27
"15077",455,2423.88
"15413",691,6798.72
"15476",379,2180.28
"15538",537,3036.10
"15614",427,3008.86
"15629",449,2240.90
"15633",508,4156.91
"15817",420,2766.40
"15934",417,2190.66
"15946",502,2304.18
"16067",562,2900.01
"16118",392,4255.43
"16335",551,2726.52
"16336",420,3517.69
"16467",508,2862.40
"16636",437,3802.04
"16736",505,2904.51
"16749",590,4157.88
"16772",416,2760.10
"17032",602,2816.69
"17145",464,3014.64
"17241",384,2736.64
"17308",392,4511.76
"17448",528,14375.01
"17465",425,2533.64
"17876",399,3424.02
"18051",633,2275.98
"18052",564,10877.18
