"customer_id","recency_days","frequency_completed","monetary_net","whale_flag"
"18102",0,145,578408.64,"Other"
"14646",1,146,523202.74,"Other"
"14156",9,144,297775.01,"Other"
"14911",0,373,258522.43,"Other"
"17450",7,51,233643.91,"Other"
"13694",3,143,190391.50,"Other"
"17511",2,60,168504.44,"Other"
"12415",23,24,143107.02,"Other"
"16684",3,55,141530.29,"Other"
"15061",3,127,124982.13,"Other"
"15311",0,207,111444.36,"Other"
"13089",2,203,109893.24,"Other"
"17949",0,116,98469.06,"Other"
"16029",38,106,97066.71,"Other"
"14298",2,82,90489.31,"Other"
"15769",6,46,84183.52,"Other"
"13798",0,110,73177.50,"Other"
"15838",10,34,72738.93,"Other"
"12931",21,57,71546.97,"Other"
"17841",1,211,67275.26,"Other"
"14088",9,16,63731.63,"Other"
"16422",16,107,59939.52,"Other"
"13081",0,28,55968.97,"Other"
"17389",0,61,54945.68,"Other"
"16754",371,29,54692.82,"Other"
"13093",266,55,53283.30,"Other"
"14096",3,17,53258.43,"Other"
"14680",24,58,53080.02,"Other"
"16013",3,84,51615.64,"Other"
"17850",301,155,50407.77,"Other"
"13408",1,106,49751.36,"Other"
"13777",0,61,49228.16,"Other"
"12748",0,322,46671.23,"Other"
"17404",3,21,45863.82,"Other"
"13881",3,43,44392.50,"Other"
"16705",0,42,42653.14,"Other"
"15098",181,3,39619.50,"Other"
"15039",9,93,38853.04,"Other"
"17675",0,70,37067.02,"Other"
"17381",8,38,36395.47,"Other"
"14031",6,44,36112.53,"Other"
"17677",1,54,34233.35,"Other"
"12921",3,74,33951.65,"Other"
"16210",1,33,33545.52,"Other"
"13767",1,73,33480.82,"Other"
"12471",1,71,33294.92,"Other"
"16779",1,53,32522.40,"Other"
"12678",41,15,32165.13,"Other"
"15856",3,52,31871.79,"Other"
"14258",8,25,31027.35,"Other"
"17428",0,45,30885.06,"Other"
"14606",0,184,28913.22,"Other"
"12709",2,32,28708.10,"Other"
"13098",0,28,28658.88,"Other"
"17940",48,14,28389.58,"Other"
"13078",0,57,28369.44,"Other"
"12681",14,44,26679.24,"Other"
"16333",7,22,26626.80,"Other"
"14527",2,121,26359.18,"Other"
"18251",86,9,26278.86,"Other"
"15513",30,35,25959.16,"Other"
"17857",2,23,25653.84,"Other"
"17865",30,46,25584.75,"Other"
"12731",23,17,25540.21,"Other"
"13802",137,19,25491.56,"Other"
"14062",9,24,25416.28,"Other"
"12939",63,20,25264.80,"Other"
"15498",2,44,24739.06,"Other"
"14895",7,38,24488.82,"Other"
"13001",3,33,24006.60,"Other"
"17920",3,54,23563.33,"Other"
"15640",3,29,23340.29,"Other"
"12409",78,7,23090.47,"Other"
"16525",1,48,22919.40,"Other"
"16133",3,56,22228.88,"Other"
"13340",44,12,22100.56,"Other"
"15159",1,34,22049.40,"Other"
"12621",1,35,21900.70,"Other"
"15749",234,3,21535.90,"Other"
"14051",0,37,21441.48,"Other"
"15615",9,47,21282.07,"Other"
"12753",3,6,21024.01,"Other"
"13319",4,58,20974.96,"Other"
"12682",3,51,20648.12,"Other"
"14866",10,17,20507.59,"Other"
"16839",8,44,20420.53,"Other"
"12477",22,9,20173.64,"Other"
"14667",10,54,20153.04,"Other"
"15251",8,21,20118.92,"Other"
"17243",0,69,20004.03,"Other"
"18008",69,23,19759.08,"Other"
