"customer_id","total_line_items","cancelled_line_items","line_item_return_rate"
"14920.0",97,0,0.0000
"13192.0",165,3,0.0182
"16165.0",1,0,0.0000
"17799.0",933,7,0.0075
"16696.0",10,0,0.0000
"17423.0",45,2,0.0444
"17881.0",8,0,0.0000
"12882.0",13,0,0.0000
"13945.0",51,0,0.0000
"17617.0",21,2,0.0952
"13445.0",7,0,0.0000
"15110.0",58,5,0.0862
"12815.0",47,0,0.0000
"15708.0",408,13,0.0319
"15456.0",230,0,0.0000
"16567.0",35,0,0.0000
"16796.0",18,0,0.0000
"16700.0",535,6,0.0112
"18060.0",75,0,0.0000
"13734.0",30,2,0.0667
"14391.0",14,0,0.0000
"14545.0",23,0,0.0000
"14443.0",161,8,0.0497
"15829.0",51,0,0.0000
"13075.0",22,0,0.0000
"18277.0",68,4,0.0588
"13900.0",96,1,0.0104
"12803.0",55,0,0.0000
"13847.0",19,0,0.0000
"13910.0",1,1,1.0000
"13833.0",45,0,0.0000
"12358.0",77,0,0.0000
"14380.0",2,1,0.5000
"13380.0",3,0,0.0000
"13829.0",2,1,0.5000
"12357.0",296,0,0.0000
"13296.0",53,0,0.0000
"13007.0",11,0,0.0000
"13979.0",412,6,0.0146
"16300.0",249,0,0.0000
"15418.0",69,0,0.0000
"13045.0",45,0,0.0000
"17047.0",142,0,0.0000
"14114.0",74,0,0.0000
"14408.0",129,0,0.0000
"14084.0",7,0,0.0000
"16807.0",144,2,0.0139
"14698.0",210,0,0.0000
"14013.0",72,4,0.0556
"12969.0",5,0,0.0000
"12893.0",34,0,0.0000
"16843.0",599,3,0.0050
"16471.0",64,2,0.0313
"12413.0",53,2,0.0377
"14068.0",112,1,0.0089
"17130.0",1,1,1.0000
"16573.0",46,4,0.0870
"14810.0",325,0,0.0000
"16377.0",10,0,0.0000
"13539.0",88,2,0.0227
"18125.0",197,1,0.0051
"12367.0",11,0,0.0000
"12370.0",202,0,0.0000
"16673.0",20,0,0.0000
"16576.0",36,3,0.0833
"13047.0",442,44,0.0995
"13312.0",5,0,0.0000
"15485.0",165,4,0.0242
"16753.0",34,0,0.0000
"18019.0",5,0,0.0000
"13663.0",101,2,0.0198
"14644.0",72,10,0.1389
"16113.0",30,0,0.0000
"17308.0",7,0,0.0000
"13796.0",22,0,0.0000
"17733.0",35,0,0.0000
"14214.0",70,3,0.0429
"12927.0",11,0,0.0000
"14592.0",164,0,0.0000
"16347.0",357,3,0.0084
"13550.0",44,0,0.0000
"16150.0",273,35,0.1282
"15113.0",101,1,0.0099
"17921.0",370,2,0.0054
"14108.0",55,1,0.0182
"16455.0",228,3,0.0132
"16766.0",34,0,0.0000
"18213.0",15,0,0.0000
"15727.0",694,0,0.0000
"13151.0",182,6,0.0330
"17027.0",188,2,0.0106
"18110.0",87,3,0.0345
"15248.0",111,5,0.0450
"13578.0",9,0,0.0000
"17826.0",34,0,0.0000
"16738.0",1,0,0.0000
"15106.0",102,2,0.0196
"17624.0",97,0,0.0000
"14405.0",2,0,0.0000
"18167.0",43,6,0.1395
"15699.0",18,0,0.0000
"16246.0",89,0,0.0000
"16207.0",19,0,0.0000
"15748.0",37,0,0.0000
"17400.0",481,0,0.0000
"14419.0",229,0,0.0000
"14151.0",45,1,0.0222
"12460.0",18,0,0.0000
"16070.0",33,0,0.0000
"13264.0",38,0,0.0000
"14776.0",211,21,0.0995
"16400.0",281,0,0.0000
"17842.0",18,0,0.0000
"13622.0",34,2,0.0588
"17569.0",29,0,0.0000
"16540.0",37,0,0.0000
"15137.0",40,6,0.1500
"15662.0",12,0,0.0000
"17065.0",13,1,0.0769
"14924.0",31,0,0.0000
"13693.0",112,6,0.0536
"13415.0",116,12,0.1034
"15640.0",784,19,0.0242
"12353.0",24,0,0.0000
"12399.0",110,0,0.0000
"15813.0",40,0,0.0000
"13240.0",232,1,0.0043
"16357.0",47,0,0.0000
"12517.0",286,2,0.0070
"17599.0",5,2,0.4000
"13650.0",184,12,0.0652
"12895.0",24,2,0.0833
"14028.0",13,4,0.3077
"14543.0",275,58,0.2109
"13243.0",220,0,0.0000
"15977.0",65,0,0.0000
"14024.0",34,0,0.0000
"14052.0",125,0,0.0000
"15025.0",146,0,0.0000
"17464.0",45,3,0.0667
"15843.0",8,0,0.0000
"13735.0",683,27,0.0395
"17295.0",69,0,0.0000
"12849.0",148,0,0.0000
"16974.0",8,0,0.0000
"17801.0",86,1,0.0116
"16592.0",446,18,0.0404
"16510.0",131,0,0.0000
"16919.0",645,5,0.0078
"13472.0",28,0,0.0000
"16292.0",67,5,0.0746
"15519.0",37,0,0.0000
"12767.0",43,0,0.0000
"12780.0",20,0,0.0000
"16343.0",86,0,0.0000
"16608.0",122,0,0.0000
"12985.0",78,2,0.0256
"17814.0",146,0,0.0000
"13258.0",46,0,0.0000
"17857.0",62,2,0.0323
"15019.0",70,0,0.0000
"14601.0",7,0,0.0000
"17405.0",94,12,0.1277
"17804.0",93,1,0.0108
"13707.0",155,0,0.0000
"15100.0",26,8,0.3077
"14384.0",3,0,0.0000
"17665.0",19,0,0.0000
"17050.0",358,1,0.0028
"15852.0",33,0,0.0000
"15908.0",41,0,0.0000
"14606.0",6709,143,0.0213
"14065.0",50,1,0.0200
"16014.0",294,3,0.0102
"17114.0",135,8,0.0593
"18114.0",28,0,0.0000
"14741.0",85,0,0.0000
"15582.0",44,0,0.0000
"16397.0",11,0,0.0000
"12570.0",1,0,0.0000
"17884.0",489,7,0.0143
"16680.0",29,0,0.0000
"17628.0",5,0,0.0000
"16653.0",76,7,0.0921
"14616.0",5,0,0.0000
"15400.0",28,1,0.0357
"16666.0",50,0,0.0000
"17788.0",5,0,0.0000
"17487.0",8,0,0.0000
"13275.0",50,0,0.0000
"13988.0",300,5,0.0167
"15231.0",17,3,0.1765
"15048.0",121,1,0.0083
"16191.0",256,23,0.0898
"12365.0",23,1,0.0435
"13630.0",80,9,0.1125
"15280.0",61,0,0.0000
"17888.0",206,43,0.2087
"12679.0",56,8,0.1429
"12603.0",3,0,0.0000
"12770.0",37,9,0.2432
"16257.0",2,0,0.0000
"17001.0",275,0,0.0000
"18157.0",26,0,0.0000
"16981.0",1,1,1.0000
"14470.0",60,0,0.0000
"13827.0",93,0,0.0000
"12364.0",85,0,0.0000
"17176.0",42,0,0.0000
"15401.0",14,0,0.0000
