"customer_id","total_orders","cancelled_orders","order_level_rate","total_line_items","cancelled_line_items","line_item_rate","rate_gap"
"16118.0",5,4,0.8000,47,6,0.1277,0.6723
"16297.0",4,3,0.7500,23,3,0.1304,0.6196
"12579.0",3,2,0.6667,31,2,0.0645,0.6022
"16476.0",3,2,0.6667,26,2,0.0769,0.5898
"16262.0",3,2,0.6667,50,4,0.0800,0.5867
"18207.0",3,2,0.6667,34,3,0.0882,0.5785
"14245.0",5,3,0.6000,112,4,0.0357,0.5643
"17820.0",3,2,0.6667,47,5,0.1064,0.5603
"12505.0",3,2,0.6667,47,5,0.1064,0.5603
"17531.0",9,6,0.6667,65,7,0.1077,0.5590
"17603.0",11,7,0.6364,116,9,0.0776,0.5588
"18187.0",3,2,0.6667,54,6,0.1111,0.5556
"17693.0",3,2,0.6667,18,2,0.1111,0.5556
"12807.0",3,2,0.6667,18,2,0.1111,0.5556
"12479.0",3,2,0.6667,35,4,0.1143,0.5524
"16240.0",5,3,0.6000,142,7,0.0493,0.5507
"14564.0",5,3,0.6000,113,6,0.0531,0.5469
"12590.0",5,3,0.6000,72,4,0.0556,0.5444
"12797.0",6,4,0.6667,49,6,0.1224,0.5443
"17477.0",5,3,0.6000,47,3,0.0638,0.5362
"12809.0",8,5,0.6250,89,8,0.0899,0.5351
"13020.0",5,3,0.6000,42,3,0.0714,0.5286
"14875.0",7,4,0.5714,93,4,0.0430,0.5284
"13768.0",8,6,0.7500,43,10,0.2326,0.5174
"13109.0",7,4,0.5714,74,4,0.0541,0.5173
"16576.0",5,3,0.6000,36,3,0.0833,0.5167
"12746.0",3,2,0.6667,20,3,0.1500,0.5167
"16732.0",9,5,0.5556,230,9,0.0391,0.5165
"13115.0",23,13,0.5652,331,17,0.0514,0.5138
"13281.0",3,2,0.6667,26,4,0.1538,0.5129
"16822.0",3,2,0.6667,13,2,0.1538,0.5129
"14777.0",4,3,0.7500,21,5,0.2381,0.5119
"18183.0",6,4,0.6667,44,7,0.1591,0.5076
"16984.0",19,10,0.5263,1160,27,0.0233,0.5030
"14096.0",34,17,0.5000,5128,17,0.0033,0.4967
"13422.0",2,1,0.5000,128,1,0.0078,0.4922
"15880.0",2,1,0.5000,212,2,0.0094,0.4906
"13850.0",2,1,0.5000,94,1,0.0106,0.4894
"16278.0",7,4,0.5714,60,5,0.0833,0.4881
"12616.0",7,4,0.5714,59,5,0.0847,0.4867
"12742.0",2,1,0.5000,68,1,0.0147,0.4853
"15309.0",10,6,0.6000,61,7,0.1148,0.4852
"17727.0",2,1,0.5000,67,1,0.0149,0.4851
"12385.0",2,1,0.5000,66,1,0.0152,0.4848
"13235.0",2,1,0.5000,59,1,0.0169,0.4831
"12675.0",4,2,0.5000,115,2,0.0174,0.4826
"14831.0",7,4,0.5714,90,8,0.0889,0.4825
"12979.0",2,1,0.5000,57,1,0.0175,0.4825
"16536.0",2,1,0.5000,56,1,0.0179,0.4821
"16269.0",2,1,0.5000,54,1,0.0185,0.4815
"15176.0",2,1,0.5000,53,1,0.0189,0.4811
"15468.0",7,4,0.5714,88,8,0.0909,0.4805
"12801.0",2,1,0.5000,51,1,0.0196,0.4804
"12858.0",2,1,0.5000,50,1,0.0200,0.4800
"12511.0",2,1,0.5000,194,4,0.0206,0.4794
"14568.0",2,1,0.5000,48,1,0.0208,0.4792
"14094.0",2,1,0.5000,48,1,0.0208,0.4792
"13338.0",10,6,0.6000,146,18,0.1233,0.4767
"15275.0",2,1,0.5000,42,1,0.0238,0.4762
"16971.0",2,1,0.5000,42,1,0.0238,0.4762
"13660.0",2,1,0.5000,42,1,0.0238,0.4762
"13424.0",2,1,0.5000,41,1,0.0244,0.4756
"14267.0",9,6,0.6667,68,13,0.1912,0.4755
"14903.0",10,5,0.5000,364,9,0.0247,0.4753
"16541.0",2,1,0.5000,39,1,0.0256,0.4744
"17904.0",2,1,0.5000,39,1,0.0256,0.4744
"17037.0",2,1,0.5000,77,2,0.0260,0.4740
"12513.0",2,1,0.5000,36,1,0.0278,0.4722
"16116.0",2,1,0.5000,35,1,0.0286,0.4714
"12770.0",7,5,0.7143,37,9,0.2432,0.4711
"14008.0",2,1,0.5000,33,1,0.0303,0.4697
"13008.0",7,4,0.5714,39,4,0.1026,0.4688
"13371.0",4,2,0.5000,95,3,0.0316,0.4684
"13116.0",2,1,0.5000,31,1,0.0323,0.4677
