"customer_id","invoice_no","invoice_date","stock_code","cancelled_qty","total_purchased","excess_qty"
"15749","C550456","2011-04-18 13:08:00","47566B",1300,0,1300
"14277","C524235","2010-09-28 11:02:00","84925D",372,0,372
"13694","C504840","2010-04-16 15:30:00","85017C",288,0,288
"15291","C523402","2010-09-21 20:24:00","84568",288,0,288
"18041","C522818","2010-09-16 19:58:00","84568",288,0,288
"16742","C572410","2011-10-24 11:58:00","22699",168,0,168
"16546","C536812","2010-12-02 16:58:00","22588",192,30,162
"12755","C489713","2009-12-02 10:55:00","21094",150,0,150
"17307","C494907","2010-01-19 16:36:00","20772",144,0,144
"13091","C490807","2009-12-08 12:25:00","10138",96,0,96
"13091","C490946","2009-12-08 14:28:00","10138",96,0,96
"17681","C491593","2009-12-11 13:11:00","20879",96,0,96
"14258","C493168","2009-12-22 11:50:00","21904",96,0,96
"16900","C579092","2011-11-28 10:50:00","16054",108,36,72
"14337","C490942","2009-12-08 14:04:00","84270",60,0,60
"17107","C574748","2011-11-07 08:41:00","22382",100,40,60
"16570","C490117","2009-12-03 17:38:00","22258",48,0,48
"13694","C517818","2010-08-02 12:18:00","20804",48,0,48
"15935","C490996","2009-12-08 17:23:00","21984",48,0,48
"15181","C491027","2009-12-08 19:04:00","22125",48,0,48
"14030","C489577","2009-12-01 13:38:00","22127",48,0,48
"13725","C568830","2011-09-29 11:34:00","23287",43,0,43
"13725","C568830","2011-09-29 11:34:00","23286",40,0,40
"15823","C540307","2011-01-06 12:58:00","21537",48,8,40
"17193","C490306","2009-12-04 14:40:00","21989",36,0,36
"13091","C490807","2009-12-08 12:25:00","21098",36,0,36
"13091","C490946","2009-12-08 14:28:00","21098",36,0,36
"16898","C538081","2010-12-09 14:29:00","22630",33,0,33
"14337","C490942","2009-12-08 14:04:00","85175",32,0,32
"17954","C502849","2010-03-28 14:15:00","84270",30,0,30
"12487","C491036","2009-12-09 09:16:00","21680",30,0,30
"14970","C513587","2010-06-27 10:41:00","79323LP",30,0,30
"13694","C511814","2010-06-10 15:54:00","79323W",29,0,29
"17706","C511813","2010-06-10 15:51:00","79323S",29,0,29
"14970","C513587","2010-06-27 10:41:00","79323S",26,0,26
"12613","C494604","2010-01-15 12:22:00","21496",25,0,25
"13091","C490946","2009-12-08 14:28:00","85217",24,0,24
"13091","C490807","2009-12-08 12:25:00","21700",24,0,24
"13091","C490946","2009-12-08 14:28:00","21700",24,0,24
"13091","C490807","2009-12-08 12:25:00","21743",24,0,24
"13091","C490946","2009-12-08 14:28:00","21743",24,0,24
"13091","C490946","2009-12-08 14:28:00","22174",24,0,24
"13091","C490807","2009-12-08 12:25:00","22174",24,0,24
"15935","C490996","2009-12-08 17:23:00","21902",24,0,24
"15935","C490996","2009-12-08 17:23:00","21901",24,0,24
"15935","C490996","2009-12-08 17:23:00","21899",24,0,24
"13091","C490807","2009-12-08 12:25:00","85217",24,0,24
"14337","C490942","2009-12-08 14:04:00","21700",24,0,24
"14337","C490942","2009-12-08 14:04:00","85216",24,0,24
"14337","C490942","2009-12-08 14:04:00","85217",24,0,24
"14748","C540937","2011-01-12 12:09:00","22932",24,0,24
"12807","C533696","2010-11-18 13:20:00","84970S",24,0,24
"14970","C513587","2010-06-27 10:41:00","79323GR",24,0,24
"16858","C494486","2010-01-14 17:02:00","35603B",24,0,24
"15137","C491019","2009-12-08 18:47:00","21212",24,0,24
"16450","C491412","2009-12-10 19:05:00","20956",24,0,24
"15137","C497150","2010-02-05 15:56:00","22335",24,0,24
"12933","C491398","2009-12-10 16:45:00","16046",24,0,24
"12933","C491398","2009-12-10 16:45:00","21642",24,0,24
"15137","C497150","2010-02-05 15:56:00","22339",24,0,24
"16133","C562280","2011-08-04 10:31:00","84926F",24,0,24
"14258","C507451","2010-05-10 10:04:00","79323B",24,0,24
"13799","C524376","2010-09-28 17:40:00","21830",48,24,24
"16077","C508455","2010-05-14 16:38:00","79341",312,288,24
"15311","C507361","2010-05-07 15:55:00","79323W",24,0,24
"15935","C490996","2009-12-08 17:23:00","35594",24,0,24
"12560","C564913","2011-08-31 12:39:00","22998",24,0,24
"12755","C489713","2009-12-02 10:55:00","22070",23,0,23
"16742","C572410","2011-10-24 11:58:00","23170",20,0,20
"16258","C511653","2010-06-09 14:03:00","79323W",20,0,20
"17426","C510212","2010-05-28 08:12:00","79323S",20,0,20
"14290","C512768","2010-06-17 16:35:00","79323W",20,0,20
"15311","C507361","2010-05-07 15:55:00","79323B",19,0,19
"17617","C508727","2010-05-18 09:52:00","79323LP",19,0,19
"14113","C510208","2010-05-28 08:00:00","79323W",19,0,19
