"stock_code","recency_days"
"10002",234
"10002R",682
"10080",17
"10109",736
"10120",4
"10123C",252
"10123G",374
"10124A",32
"10124G",32
"10125",0
"10133",22
"10134",391
"10135",1
"10138",598
"11001",2
"15002",398
"15030",3
"15034",1
"15036",0
"15039",0
"15044A",3
"15044B",71
"15044C",2
"15044D",3
"15056BL",0
"15056N",0
"15056P",0
"15058A",16
"15058B",21
"15058C",0
"15059A",735
"15060B",18
"16008",0
"16010",255
"16011",2
"16012",3
"16014",0
"16015",21
"16016",0
"16020C",156
"16033",294
"16043",182
"16044",658
"16045",4
"16046",11
"16047",411
"16048",1
"16049",198
"16050",599
"16051",547
"16052",182
"16053",388
"16054",4
"16119",716
"16151A",198
"16156L",7
"16156N",535
"16156S",1
"16161C",717
"16161E",654
"16161G",15
"16161M",371
"16161P",2
"16161U",6
"16162L",87
"16162M",11
"16168M",0
"16168S",671
"16169A",588
"16169C",378
"16169D",726
"16169E",0
"16169F",417
"16169G",728
"16169K",71
"16169M",7
"16169N",368
"16169P",355
"16192",720
"16201A",423
"16201B",729
"16202A",235
"16202B",233
"16202C",582
"16202E",235
"16206B",317
"16207A",32
"16207B",101
"16212",391
"16215",735
"16216",2
"16218",0
"16219",0
"16225",0
"16235",0
"16236",1
"16237",0
"16238",1
"16239",647
"16243B",638
"16244A",633
"16244B",211
"16245A",416
"16248B",39
"16254",8
"16256B",546
"16256C",564
"16258A",1
"16258B",717
"16259",26
"17001",283
"17003",0
"17007B",183
"17011A",476
"17011B",476
"17011C",723
"17011D",476
"17011E",723
"17011F",204
"17012A",6
"17012B",8
"17012C",1
"17012D",0
"17012E",358
"17012F",0
"17013B",723
"17013C",646
"17013D",185
"17013F",476
"17014A",164
"17014C",729
"17014D",476
"17014E",476
"17014F",476
"17021",3
"17027A",639
"17028J",311
"17033",416
"17038",0
"17039",487
"17061",731
"17084A",86
"17084G",731
"17084J",86
"17084N",0
"17084P",0
"17084R",4
"17090A",15
"17090D",151
"17091A",205
"17091B",455
"17091F",698
"17091J",0
"17096",142
"17107D",3
"17108D",612
"17109A",622
"17109B",644
"17109C",646
"17109D",231
"17129C",584
"17129D",644
"17129F",3
"17136A",35
"17164B",316
"17164D",630
"17165B",425
"17165D",330
"17174",14
"17178",448
"17181",491
"17191A",5
"18007",141
"18010",679
"18094C",62
"18096C",653
"18097A",169
"18097B",690
"18097C",0
"18098A",721
"18098B",652
"18098C",122
"20615",0
"20616",0
"20617",0
"20618",2
"20619",3
"20620",673
"20621",462
"20622",3
"20652",0
"20653",3
"20654",0
"20655",4
"20657",28
"20658",73
"20659",0
"20660",495
"20661",7
"20662",45
"20663",52
"20664",101
"20665",0
"20666",141
"20667",101
"20668",0
"20669",0
"20670",23
"20671",364
"20672",643
"20673",736
"20674",0
"20675",0
"20676",0
"20677",0
"20678",76
"20679",0
"20680",685
"20681",248
"20682",1
"20683",728
"20684",140
"20685",0
"20686",0
"20688",631
"20689",512
"20692",456
"20693",635
"20694",16
"20695",21
"20696",27
"20697",16
"20698",16
"20699",3
"20700",71
"20701",161
"20702",43
"20703",189
"20704",0
"20705",3
"20707",3
"20711",7
"20712",0
"20713",0
"20714",696
"20715",688
"20716",163
"20717",0
"20718",0
"20719",0
"20721",731
"20723",0
"20724",0
"20725",0
"20726",0
"20727",0
"20728",0
"20729",541
"20730",460
"20731",171
"20733",0
"20734",247
"20735",2
"20736",634
"20737",736
"20738",375
"20739",737
"20747",566
"20748",10
"20749",0
"20750",0
"20751",5
"20752",11
"20753",682
"20754",18
"20755",2
"20756",16
"20757",12
"20758",1
"20759",1
"20760",14
"20761",2
"20762",2
"20763",3
"20764",1
"20765",3
"20766",4
"20767",2
"20768",2
"20769",2
"20770",12
"20771",2
"20772",0
"20773",87
"20774",65
"20775",3
"20776",447
"20777",0
"20778",226
"20779",651
"20780",0
"20781",1
"20782",0
"20783",479
"20784",414
"20785",247
"20786",381
"20787",381
"20791",651
"20793",92
"20794",2
"20795",3
"20796",29
"20798",317
"20799",416
"20800",618
"20801",197
"20802",3
"20803",206
"20804",494
"20812",679
"20814",652
"20816",224
"20818",218
"20819",9
"20820",282
"20821",15
"20822",675
"20823",182
"20825",390
"20826",205
"20827",232
"20828",1
"20829",0
"20830",67
"20831",0
"20832",0
"20833",630
"20835",28
"20836",15
"20837",19
"20838",3
"20839",0
"20840",0
"20845",114
"20846",2
"20847",14
"20848",32
"20849",382
"20850",392
"20851",225
"20852",398
"20854",292
"20855",450
"20856",87
"20857",294
"20858",724
"20860",360
"20861",364
"20862",527
"20863",480
"20864",410
"20865",444
"20866",0
"20867",3
"20868",0
"20869",0
"20870",716
"20871",359
"20877",721
"20878",368
"20879",717
"20881",722
"20882",722
"20884",721
"20885",716
"20886",32
"20887",716
"20888",622
"20889",622
"20890",599
"20891",599
"20892",352
"20893",1
"20894",8
"20895",675
"20896",477
"20897",101
"20898",46
"20899",572
"20901",24
"20902",120
"20903",46
"20905",679
"20906",249
"20910",358
"20913",690
"20914",0
"20931",0
"20932",0
"20933",1
"20934",34
"20935",22
"20936",0
"20939",727
"20940",726
"20941",155
"20942",716
"20943",413
"20950",375
"20952",380
"20953",374
"20954",356
"20956",2
"20957",372
"20958",375
"20960",277
"20961",0
"20963",0
"20964",217
"20966",107
"20967",43
"20968",696
"20969",0
"20970",0
"20971",0
"20972",0
"20973",0
"20974",0
"20975",0
"20976",430
"20977",31
"20978",0
"20979",0
"20980",122
"20981",0
"20982",0
"20983",0
"20984",45
"20985",0
"20986",0
"20987",716
"20988",648
"20989",631
"20990",458
"20991",658
"20992",0
"20993",640
"20994",682
"20996",0
"20997",1
"20998",55
"21000",0
"21001",1
"21002",47
"21003",1
"21004",399
"21007",442
"21008",676
"21009",356
"21010",410
"21011",353
"21012",0
"21014",15
"21015",0
"21016",378
"21017",384
"21018",17
"21025",2
"21026",0
"21027",18
"21028",0
"21030",18
"21031",23
"21032",9
"21033",91
"21034",0
"21035",0
"21036",725
"21038",218
"21039",2
"21040",268
"21041",15
"21042",1
"21043",184
"21051",1
"21053",730
"21054",25
"21055",0
"21056",1
"21058",1
"21059",1
"21060",3
"21061",4
"21062",6
"21063",3
"21064",0
"21065",0
"21066",8
"21067",65
"21068",0
"21069",113
"21070",0
"21071",38
"21076",632
"21077",455
"21078",56
"21080",0
"21081",677
"21082",163
"21084",2
"21085",515
"21086",2
"21087",233
"21088",0
"21089",77
"21090",2
"21091",631
"21092",582
"21094",1
"21095",175
"21096",1
"21097",535
"21098",0
"21099",581
"21100",240
"21102",636
"21106",6
"21107",2
"21108",0
"21109",0
"21110",13
"21111",0
"21112",4
"21114",4
"21115",0
"21116",3
"21117",15
"21118",696
"21119",437
"21120",364
"21121",0
"21122",0
"21123",0
"21124",0
"21125",0
"21126",0
"21127",546
"21128",1
"21129",10
"21130",470
"21131",2
"21132",0
"21133",451
"21134",387
"21135",1
"21136",0
"21137",0
"21143",108
"21144",338
"21145",22
"21146",402
"21147",3
"21153",442
"21154",0
"21155",0
"21156",0
"21157",44
"21158",0
"21159",0
"21160",359
"21161",184
"21162",0
"21163",42
"21164",0
"21165",2
"21166",0
"21167",0
"21169",0
"21171",120
"21172",0
"21173",617
"21174",0
"21175",0
"21179",83
"21181",0
"21185",522
"21186",359
"21187",126
"21188",128
"21189",0
"21190",14
"21191",1
"21192",11
"21193",610
"21194",0
"21195",205
"21196",2
"21197",7
"21198",2
"21199",7
"21200",0
"21201",0
"21202",22
"21203",478
"21204",2
"21205",6
"21206",15
"21207",3
"21208",0
"21209",0
"21210",0
"21211",10
"21212",0
"21213",0
"21214",426
"21215",1
"21216",0
"21217",0
"21218",0
"21219",1
"21220",0
"21221",1
"21222",0
"21223",610
"21224",0
"21225",717
"21226",14
"21228",274
"21231",0
"21232",0
"21238",0
"21239",0
"21240",1
"21241",422
"21242",0
"21243",0
"21244",3
"21245",2
"21246",83
"21247",409
"21248",0
"21249",1
"21250",8
"21251",8
"21252",683
"21253",0
"21254",738
"21255",600
"21256",659
"21257",0
"21258",0
"21259",0
"21260",0
"21261",3
"21262",1
"21263",2
"21264",2
"21265",1
"21266",723
"21267",720
"21268",371
"21269",16
"21270",4
"21272",120
"21274",399
"21275",28
"21276",609
"21277",15
"21278",146
"21279",4
"21280",29
"21281",29
"21282",390
"21283",380
"21284",0
"21285",0
"21286",0
"21287",3
"21288",1
"21289",1
"21290",715
"21291",10
"21292",2
"21293",3
"21294",43
"21298",633
