"stock_code","frequency_completed","frequency_all","cancellation_count"
"10002",362,369,7
"10002R",3,3,0
"10080",27,27,0
"10109",1,1,0
"10120",74,75,1
"10123C",63,65,2
"10123G",16,17,1
"10124A",18,18,0
"10124G",10,10,0
"10125",167,167,0
"10133",290,292,2
"10134",52,53,1
"10135",324,326,2
"10138",21,25,4
"11001",251,262,11
"15002",1,1,0
"15030",26,26,0
"15034",255,261,6
"15036",992,1006,14
"15039",306,310,4
"15044A",250,252,2
"15044B",189,190,1
"15044C",231,235,4
"15044D",227,231,4
"15056BL",944,956,12
"15056N",1150,1171,21
"15056P",382,391,9
"15058A",149,155,6
"15058B",156,161,5
"15058C",123,125,2
"15059A",4,4,0
"15060B",454,461,7
"16008",85,85,0
"16010",4,4,0
"16011",112,113,1
"16012",83,83,0
"16014",93,93,0
"16015",65,65,0
"16016",106,106,0
"16020C",39,39,0
"16033",50,54,4
"16043",13,15,2
"16044",3,3,0
"16045",74,74,0
"16046",59,61,2
"16047",31,32,1
"16048",105,105,0
"16049",32,32,0
"16050",8,8,0
"16051",4,4,0
"16052",35,36,1
"16053",10,11,1
"16054",39,40,1
"16119",8,8,0
"16151A",5,5,0
"16156L",36,36,0
"16156N",56,56,0
"16156S",419,422,3
"16161C",2,2,0
"16161E",9,9,0
"16161G",33,33,0
"16161M",39,40,1
"16161P",440,441,1
"16161U",318,321,3
"16162L",30,31,1
"16162M",14,14,0
"16168M",101,101,0
"16168S",11,11,0
"16169A",1,1,0
"16169C",44,44,0
"16169D",9,9,0
"16169E",149,151,2
"16169F",34,34,0
"16169G",1,1,0
"16169K",60,60,0
"16169M",59,59,0
"16169N",56,56,0
"16169P",48,49,1
"16192",1,1,0
"16201A",9,10,1
"16201B",5,5,0
"16202A",21,24,3
"16202B",22,26,4
"16202C",12,12,0
"16202E",14,15,1
"16206B",16,16,0
"16207A",76,76,0
"16207B",46,46,0
"16212",38,38,0
"16215",3,3,0
"16216",88,90,2
"16218",98,98,0
"16219",128,129,1
"16225",165,165,0
"16235",310,314,4
"16236",260,261,1
"16237",580,583,3
"16238",236,236,0
"16239",21,21,0
"16243B",8,8,0
"16244A",28,28,0
"16244B",28,28,0
"16245A",8,8,0
"16248B",12,12,0
"16254",40,40,0
"16256B",35,35,0
"16256C",10,11,1
"16258A",101,102,1
"16258B",15,15,0
"16259",55,59,4
"17001",23,25,2
"17003",457,463,6
"17007B",6,6,0
"17011A",12,12,0
"17011B",2,2,0
"17011C",2,2,0
"17011D",4,4,0
"17011E",1,1,0
"17011F",20,20,0
"17012A",95,95,0
"17012B",126,126,0
"17012C",113,113,0
"17012D",116,116,0
"17012E",29,29,0
"17012F",107,107,0
"17013B",3,3,0
"17013C",2,3,1
"17013D",31,32,1
"17013F",5,5,0
"17014A",16,16,0
"17014C",2,2,0
"17014D",8,8,0
"17014E",6,6,0
"17014F",4,4,0
"17021",76,79,3
"17027A",2,2,0
"17028J",1,1,0
"17033",71,72,1
"17038",55,55,0
"17039",43,43,0
"17061",1,1,0
"17084A",18,18,0
"17084G",2,2,0
"17084J",20,20,0
"17084N",187,187,0
"17084P",70,70,0
"17084R",66,66,0
"17090A",26,26,0
"17090D",28,28,0
"17091A",117,117,0
"17091B",51,51,0
"17091F",8,8,0
"17091J",178,178,0
"17096",76,76,0
"17107D",86,87,1
"17108D",24,24,0
"17109A",13,13,0
"17109B",17,17,0
"17109C",15,16,1
"17109D",39,40,1
"17129C",12,12,0
"17129D",40,40,0
"17129F",146,148,2
"17136A",34,34,0
"17164B",81,82,1
"17164D",28,28,0
"17165B",57,59,2
"17165D",89,92,3
"17174",7,7,0
"17178",24,24,0
"17181",65,65,0
"17191A",12,12,0
"18007",72,73,1
"18010",9,9,0
"18094C",98,99,1
"18096C",26,28,2
"18097A",12,12,0
"18097B",3,3,0
"18097C",211,213,2
"18098A",2,2,0
"18098B",3,3,0
"18098C",374,375,1
"20615",197,197,0
"20616",121,121,0
