"stock_code","monetary_gross","monetary_net"
"10002",7246.25,6362.70
"10002R",41.14,41.14
"10080",133.97,133.97
"10109",1.68,1.68
"10120",149.40,143.10
"10123C",282.06,269.52
"10123G",173.94,107.70
"10124A",24.36,24.36
"10124G",15.12,15.12
"10125",1868.86,1868.86
"10133",2835.73,2823.03
"10134",739.96,727.46
"10135",5084.28,5070.53
"10138",118.70,36.80
"11001",8208.49,7115.10
"15002",0.00,0.00
"15030",73.66,73.66
"15034",1676.40,1560.34
"15036",37167.74,36514.71
"15039",5842.34,5819.39
"15044A",13617.92,13609.87
"15044B",4911.86,4908.91
"15044C",3626.02,3612.07
"15044D",4866.46,4840.31
"15056BL",51562.47,50491.12
"15056N",65959.09,65047.14
"15056P",13740.71,12649.66
"15058A",3808.41,3687.66
"15058B",4734.39,4665.24
"15058C",3544.09,3520.29
"15059A",1619.00,1619.00
"15060B",8835.41,8784.72
"16008",422.96,422.96
"16010",3.84,3.84
"16011",799.32,794.28
"16012",613.05,613.05
"16014",9513.52,9513.52
"16015",711.38,711.38
"16016",1876.65,1876.65
"16020C",199.30,199.30
"16033",1558.92,1501.32
"16043",181.56,113.88
"16044",389.64,389.64
"16045",430.88,430.88
"16046",1403.47,1014.43
"16047",1093.81,679.09
"16048",575.46,575.46
"16049",578.08,578.08
"16050",62.40,62.40
"16051",87.18,87.18
"16052",313.29,303.21
"16053",188.88,128.88
"16054",161.10,148.14
"16119",133.21,133.21
"16151A",72.50,72.50
"16156L",399.00,399.00
"16156N",630.00,630.00
"16156S",6590.12,6528.80
"16161C",45.00,45.00
"16161E",75.00,75.00
"16161G",97.50,97.50
"16161M",439.00,428.50
"16161P",5435.40,5424.90
"16161U",4095.42,4063.92
"16162L",587.07,399.87
"16162M",37.80,37.80
"16168M",599.60,599.60
"16168S",131.80,131.80
"16169A",10.50,10.50
"16169C",567.00,567.00
"16169D",105.00,105.00
"16169E",1892.46,1839.96
"16169F",409.50,409.50
"16169G",10.50,10.50
"16169K",669.25,669.25
"16169M",640.95,640.95
"16169N",626.25,626.25
"16169P",533.75,523.25
"16192",25.80,25.80
"16201A",226.94,223.04
"16201B",115.40,115.40
"16202A",314.45,216.65
"16202B",587.91,443.43
"16202C",259.88,259.88
"16202E",174.86,169.31
"16206B",116.40,116.40
"16207A",684.81,684.81
"16207B",599.34,599.34
"16212",341.97,341.97
"16215",5.20,5.20
"16216",385.10,367.50
"16218",520.66,520.66
"16219",628.09,625.21
"16225",1464.68,1464.68
"16235",1636.32,1608.39
"16236",682.93,677.05
"16237",2507.00,2487.89
"16238",649.66,649.66
"16239",515.94,515.94
"16243B",483.79,483.79
"16244A",665.82,665.82
"16244B",917.19,917.19
"16245A",13.75,13.75
"16248B",101.25,101.25
"16254",352.96,352.96
"16256B",257.64,257.64
"16256C",70.98,65.10
"16258A",404.67,404.25
"16258B",222.78,222.78
"16259",766.09,751.99
"17001",299.35,297.61
"17003",14891.88,14675.68
"17007B",71.40,71.40
"17011A",209.12,209.12
"17011B",11.10,11.10
"17011C",225.70,225.70
"17011D",142.10,142.10
"17011E",80.60,80.60
"17011F",357.25,357.25
"17012A",1025.72,1025.72
"17012B",1144.05,1144.05
"17012C",1153.55,1153.55
"17012D",890.74,890.74
"17012E",357.18,357.18
"17012F",909.85,909.85
"17013B",224.46,224.46
"17013C",89.46,49.14
"17013D",629.34,627.77
"17013F",28.35,28.35
"17014A",228.45,228.45
"17014C",47.18,47.18
"17014D",214.44,214.44
"17014E",39.90,39.90
"17014F",23.70,23.70
"17021",986.04,962.64
"17027A",84.84,84.84
"17028J",2.52,2.52
"17033",868.13,857.69
"17038",283.62,283.62
"17039",862.67,862.67
"17061",2.08,2.08
"17084A",92.82,92.82
"17084G",10.50,10.50
"17084J",96.18,96.18
"17084N",794.66,794.66
"17084P",271.96,271.96
"17084R",1968.45,1968.45
"17090A",182.65,182.65
"17090D",105.20,105.20
"17091A",1316.13,1316.13
"17091B",347.16,347.16
"17091F",35.42,35.42
"17091J",2286.51,2286.51
"17096",1152.53,1152.53
"17107D",826.20,816.00
"17108D",149.10,149.10
"17109A",333.61,333.61
"17109B",899.77,899.77
"17109C",661.23,659.54
"17109D",611.75,610.06
"17129C",59.68,59.68
"17129D",2357.82,2357.82
"17129F",2742.66,2721.04
"17136A",61.78,61.78
"17164B",659.88,659.04
"17164D",449.52,449.52
"17165B",752.73,748.53
"17165D",682.32,676.02
"17174",15.12,15.12
"17178",156.65,156.65
"17181",943.62,943.62
"17191A",123.75,123.75
"18007",1069.26,949.26
"18010",36.80,36.80
"18094C",824.72,823.47
"18096C",438.18,407.58
"18097A",43.35,43.35
"18097B",17.85,17.85
"18097C",4556.14,3984.34
"18098A",5.90,5.90
"18098B",8.85,8.85
"18098C",6588.63,6517.83
"20615",1570.58,1570.58
"20616",662.34,662.34
"20617",1122.10,1122.10
"20618",896.70,896.70
"20619",1462.51,1462.51
"20620",121.42,121.42
"20621",485.44,485.44
"20622",1341.00,1341.00
"20652",1362.57,1362.57
"20653",628.65,628.65
"20654",596.19,596.19
"20655",895.94,895.94
"20657",918.80,918.80
"20658",2841.03,2781.03
"20659",686.21,686.21
"20660",88.75,88.75
"20661",1297.95,1087.65
"20662",548.39,497.39
"20663",461.63,367.78
"20664",219.37,219.37
"20665",5092.73,4998.33
"20666",484.25,416.25
"20667",155.43,155.43
"20668",2617.72,2617.36
"20669",1442.31,1442.31
"20670",461.22,374.82
"20671",1177.37,1177.37
"20672",257.00,257.00
"20673",6.25,6.25
"20674",4948.95,4930.39
"20675",9288.53,9238.72
"20676",15238.34,15081.53
"20677",11565.89,11548.58
"20678",6.60,6.60
"20679",31484.02,31376.92
"20680",19.50,19.50
"20681",5378.55,5278.80
"20682",11207.96,11029.21
"20683",3.25,3.25
"20684",2039.12,2002.62
"20685",72288.30,71655.77
"20686",2188.05,2163.05
"20688",358.90,358.90
"20689",792.20,768.80
"20692",3931.27,3922.77
"20693",213.28,209.03
"20694",836.18,821.18
"20695",877.16,860.16
"20696",774.63,774.63
"20697",101.70,101.70
"20698",124.65,124.65
"20699",1076.32,1076.32
"20700",1830.10,1822.60
"20701",1045.48,1045.48
"20702",3415.40,3368.65
"20703",2048.69,1925.44
"20704",1541.89,1514.09
"20705",1019.83,1017.88
"20707",1573.24,1564.49
"20711",31154.48,31084.17
"20712",45893.24,45445.63
"20713",46171.68,45722.70
"20714",713.39,713.39
"20715",424.00,0.00
"20716",2144.28,2130.53
"20717",9181.43,9029.18
"20718",20555.44,20469.95
"20719",40166.20,40059.38
"20721",0.85,0.85
"20723",29147.30,28989.52
"20724",49877.22,49624.39
"20725",82837.48,81415.78
"20726",44008.72,42510.77
"20727",51406.54,49611.09
"20728",47896.32,46216.67
"20729",2401.34,2373.84
"20730",1499.15,1485.40
"20731",1326.84,1268.54
"20733",1780.70,1564.70
"20734",1861.39,1860.54
"20735",2492.58,2492.58
"20736",236.90,236.90
"20737",3.40,3.40
"20738",1332.89,1332.89
"20739",17.30,17.30
"20747",14237.29,14181.89
"20748",25162.71,25162.71
"20749",23025.58,22923.83
"20750",27796.78,27652.18
"20751",6394.40,6388.10
"20752",3420.70,3414.40
"20753",626.90,622.70
"20754",11560.42,11494.12
"20755",1148.46,1148.46
"20756",886.37,886.37
"20757",925.17,925.17
"20758",985.94,985.09
"20759",918.76,918.76
"20760",1357.12,1357.12
"20761",1637.55,1622.55
"20762",1515.87,1500.87
"20763",798.86,783.86
"20764",2547.64,2532.64
"20765",1425.33,1406.58
"20766",1750.96,1735.96
"20767",1936.70,1918.85
"20768",1710.57,1710.57
"20769",909.15,909.15
"20770",2549.98,2529.88
"20771",1351.40,1336.10
"20772",1975.90,1655.65
"20773",1038.01,1036.36
"20774",1083.61,1081.96
"20775",1103.23,1103.23
"20776",966.77,966.77
"20777",1509.15,1504.20
"20778",996.97,992.02
"20780",1810.32,1804.83
"20781",786.69,753.75
"20782",1434.71,1396.28
"20783",1444.54,1423.42
"20784",6171.04,6131.09
"20785",5686.90,5646.95
"20786",6236.90,6157.00
"20787",4634.75,4634.75
"20791",63.75,0.00
"20793",634.25,600.50
"20794",701.14,655.24
"20795",388.56,373.86
"20796",219.12,219.12
"20798",1746.60,1606.35
"20799",495.16,440.44
"20800",349.72,349.72
"20801",1998.14,1974.14
"20802",2055.63,2007.51
"20803",1068.01,1029.55
"20804",720.47,650.87
"20812",12.75,12.75
"20814",211.39,195.14
"20816",123.60,89.85
"20818",325.75,325.75
"20819",719.27,719.27
"20820",54.45,54.45
"20821",444.14,374.84
"20822",9.30,0.00
"20823",554.22,535.62
"20825",1281.12,1258.62
"20826",290.72,290.72
"20827",209.36,209.36
"20828",11929.96,11853.46
"20829",10299.65,8497.69
"20830",1427.62,1391.88
"20831",1261.08,1248.48
"20832",1251.20,1244.40
"20833",811.80,761.85
"20835",109.06,109.06
"20836",250.00,204.64
"20837",188.07,188.07
"20838",744.31,734.11
"20839",1462.13,1462.13
"20840",1667.35,1301.50
"20845",540.99,540.99
"20846",2285.65,2285.65
"20847",402.45,387.21
"20848",115.05,115.05
"20849",619.96,619.96
"20850",713.80,713.80
"20851",441.44,429.54
"20852",0.00,0.00
"20854",841.59,816.84
"20855",234.30,232.65
"20856",800.38,782.23
"20857",412.50,386.10
"20858",6.60,6.60
"20860",44.10,44.10
"20861",98.70,98.70
"20862",729.75,727.65
"20863",639.87,637.77
"20864",512.95,510.85
"20865",515.49,370.02
"20866",1765.53,1638.33
"20867",1394.56,1394.56
"20868",598.48,598.48
"20869",364.75,364.75
"20870",65.10,63.00
"20871",2242.80,2238.60
"20877",5.88,5.88
"20878",1071.13,1071.13
"20879",103.10,-98.50
"20881",3.40,3.40
"20882",11.80,11.80
"20884",8.40,8.40
"20885",2.95,0.00
"20886",3919.04,3907.34
"20887",219.53,219.53
"20888",595.67,595.67
"20889",404.08,404.08
"20890",390.24,390.24
"20891",456.76,456.76
"20892",1491.00,1284.85
"20893",1406.83,1172.38
"20894",1004.15,987.25
"20895",47.20,47.20
"20896",118.00,118.00
"20897",1083.50,1048.10
"20898",767.79,750.09
"20899",129.80,129.80
"20901",1403.61,1390.91
"20902",2737.09,2737.09
"20903",1502.35,1496.00
"20905",88.90,88.90
"20906",509.33,509.33
"20910",1049.44,1049.44
"20913",1010.39,1010.39
"20914",54821.79,53752.99
"20931",2699.89,2608.59
"20932",1355.89,1300.14
"20933",1413.83,1413.83
"20934",1492.99,1385.49
"20935",613.41,595.71
"20936",982.45,956.70
"20939",10.20,10.20
"20940",372.95,266.75
"20941",1072.94,1031.59
"20942",7.50,6.25
"20943",665.42,664.17
"20950",423.81,423.81
"20952",166.62,47.46
"20953",77.55,77.55
"20954",51.18,51.18
"20956",3629.21,3591.71
"20957",272.07,270.62
"20958",90.30,90.30
"20960",2931.73,2931.73
"20961",5524.64,5409.64
"20963",5623.01,5610.51
"20964",51.00,51.00
"20966",5348.48,5347.23
"20967",4223.59,4148.59
"20968",231.47,231.47
"20969",12977.63,12485.72
"20970",9977.81,9966.56
"20971",33607.64,30868.32
"20972",25758.10,24204.71
"20973",7771.35,7766.80
"20974",9323.93,8926.13
"20975",12587.72,11729.37
"20976",415.98,415.98
"20977",5782.34,5687.34
"20978",6222.97,6200.47
"20979",11210.89,10727.71
"20980",350.87,339.62
"20981",4446.85,4349.10
"20982",4587.67,4552.82
"20983",5830.26,5803.91
"20984",1994.63,1949.87
"20985",3564.45,3510.02
"20986",1888.14,1888.14
"20987",348.55,348.55
"20988",46.80,46.80
"20989",820.21,812.41
"20990",1831.13,1829.18
"20991",918.22,918.22
"20992",3371.18,3371.18
"20993",1362.73,1362.73
"20994",39.95,39.95
"20996",1805.12,1799.24
"20997",1192.53,1192.53
"20998",1247.17,1247.17
"21000",1996.96,1996.96
"21001",1036.95,1036.95
"21002",2546.94,2546.94
"21003",1155.80,1155.80
"21004",803.89,803.89
"21007",978.11,978.11
"21008",5.02,5.02
"21009",1883.73,1864.98
"21010",1222.02,1207.02
"21011",1497.82,1493.47
"21012",6444.32,6433.82
"21014",1118.52,1117.80
"21015",1032.07,1030.91
"21016",626.78,625.10
"21017",713.50,713.50
"21018",189.47,189.47
"21025",513.74,513.74
"21026",939.84,939.84
"21027",527.92,527.92
"21028",550.16,550.16
"21030",309.43,309.43
"21031",198.49,195.99
"21032",293.84,290.09
"21033",13800.55,13769.26
"21034",3914.00,3887.40
"21035",21393.70,20823.05
"21036",2.55,2.55
"21038",391.16,385.26
"21039",3594.19,3553.39
"21040",1240.25,1240.25
"21041",11799.98,11761.63
"21042",9586.17,9480.37
"21043",2322.11,2304.26
"21051",1664.09,1651.49
"21054",3963.50,3945.60
"21055",4788.54,4725.89
"21056",5241.03,4547.13
"21058",2286.86,2276.66
"21059",1403.02,1382.62
"21060",1040.90,1040.90
"21061",1173.85,1163.65
"21062",918.21,918.21
"21063",1375.83,1372.43
"21064",5245.19,5191.64
"21065",1899.12,1855.00
"21066",1559.38,1544.38
"21067",4358.62,4318.86
"21068",4632.03,4533.70
"21069",5899.32,5128.43
"21070",2330.76,2297.44
"21071",5696.94,5683.27
"21076",844.43,843.58
"21077",2125.67,2125.67
"21078",7264.73,7261.33
"21080",28294.38,27860.71
"21081",3.40,3.40
"21082",2156.60,1632.66
"21084",1367.22,1362.66
"21085",1902.24,1902.24
"21086",12050.32,11627.68
"21087",212.94,212.94
"21088",1910.13,1337.61
"21089",124.10,124.10
"21090",2416.15,2402.11
"21091",1920.24,1920.24
"21092",1638.06,1617.66
"21094",17599.50,17104.26
"21095",343.44,343.44
"21096",2851.08,1940.04
"21097",27.20,27.20
"21098",18993.57,18747.18
"21099",1526.68,1448.68
"21100",4725.95,4717.70
"21102",276.41,118.31
"21106",2857.06,2857.06
"21107",7375.99,7375.99
"21108",27491.92,20877.55
"21109",5356.88,5343.38
"21110",10032.29,9993.39
"21111",3881.02,3860.37
"21112",5995.89,5488.59
"21114",7691.85,7616.85
"21115",9157.77,9151.02
"21116",11230.48,11225.53
"21117",502.08,502.08
"21118",104.25,104.25
"21119",82.02,82.02
"21120",33.96,33.96
"21121",18820.00,18577.50
"21122",15074.07,14982.82
"21123",3583.18,3523.18
"21124",12293.11,12231.86
"21125",2334.99,2316.24
"21126",2550.51,2533.01
"21127",1157.46,1151.51
"21128",1218.55,1218.55
"21129",1189.58,1168.73
"21130",1286.16,1282.71
"21131",1287.47,1287.47
"21132",653.22,653.22
"21133",734.61,734.61
"21134",713.73,713.73
"21135",8979.39,8789.83
"21136",17995.39,17666.02
"21137",67286.46,67204.17
"21143",4478.85,4441.80
"21144",354.15,349.59
"21145",1518.39,1502.14
"21146",1573.69,1569.79
"21147",1181.82,1177.62
"21153",4756.88,4735.58
"21154",15210.58,14969.83
"21155",20445.51,19882.82
"21156",17959.59,17813.34
"21157",1966.22,1953.62
"21158",1971.01,1932.84
"21159",1584.30,1549.69
"21160",629.75,599.49
"21161",2000.93,1951.82
"21162",1835.81,1791.05
"21163",1938.50,1892.49
"21164",17364.33,17299.43
