"stock_code","avg_interval_whole_day","avg_interval_fractional_day"
"10002",1.0,1.39
"10002R",27.0,27.06
"10080",27.2,27.66
"10120",9.6,10.04
"10123C",7.3,7.82
"10123G",23.7,24.20
"10124A",34.5,35.11
"10124G",59.6,60.20
"10125",4.0,4.44
"10133",2.1,2.47
"10134",6.3,6.74
"10135",1.8,2.28
"10138",6.4,6.95
"11001",2.5,2.94
"15030",28.4,28.92
"15034",2.4,2.90
"15036",0.4,0.74
"15039",2.0,2.41
"15044A",2.5,2.92
"15044B",3.1,3.54
"15044C",2.7,3.20
"15044D",2.8,3.25
"15056BL",0.4,0.78
"15056N",0.3,0.64
"15056P",1.5,1.93
"15058A",4.1,4.51
"15058B",3.9,4.34
"15058C",5.2,5.61
"15059A",0.3,0.65
"15060B",1.2,1.58
"16008",7.0,7.50
"16010",144.7,145.03
"16011",6.1,6.60
"16012",8.5,8.94
"16014",7.5,8.00
"16015",10.7,11.16
"16016",6.5,7.01
"16020C",14.7,15.14
"16033",8.4,8.86
"16043",44.4,45.02
"16044",20.5,20.98
"16045",9.1,9.55
"16046",12.0,12.48
"16047",10.5,10.90
"16048",6.5,7.03
"16049",16.9,17.32
"16050",8.3,8.82
"16051",59.7,60.30
"16052",15.4,15.89
"16053",34.2,34.77
"16054",17.9,18.32
"16119",1.1,1.70
"16151A",96.8,97.44
"16156L",19.3,19.74
"16156N",3.2,3.67
"16156S",1.3,1.76
"16161C",20.0,20.96
"16161E",9.3,9.64
"16161G",20.6,21.05
"16161M",9.1,9.59
"16161P",1.3,1.68
"16161U",1.9,2.31
"16162L",21.7,22.17
"16162M",40.3,40.85
"16168M",6.8,7.29
"16168S",5.3,5.71
"16169C",7.9,8.35
"16169D",1.1,1.50
"16169E",0.5,0.95
"16169F",9.2,9.70
"16169K",10.8,11.24
"16169M",12.1,12.57
"16169N",6.3,6.73
"16169P",7.7,8.09
"16201A",34.6,35.10
"16201B",1.5,1.93
"16202A",24.4,25.05
"16202B",23.4,23.95
"16202C",13.5,14.08
"16202E",38.0,38.53
"16206B",23.4,23.99
"16207A",8.9,9.40
"16207B",13.5,13.93
"16212",8.9,9.33
"16215",0.0,0.13
"16216",7.9,8.42
"16218",7.0,7.53
"16219",5.3,5.76
"16225",4.0,4.50
"16235",1.9,2.39
"16236",2.4,2.84
"16237",0.9,1.27
"16238",2.7,3.14
"16239",4.0,4.50
"16243B",13.6,14.12
"16244A",3.4,3.82
"16244B",18.9,19.41
"16245A",31.3,31.72
"16248B",36.4,36.83
"16254",17.3,17.65
"16256B",5.0,5.54
"16256C",17.3,17.88
"16258A",6.8,7.27
"16258B",0.9,1.43
"16259",12.6,13.07
"17001",20.0,20.50
"17003",1.2,1.62
"17007B",108.0,108.22
"17011A",21.4,21.91
"17011B",81.0,81.93
"17011C",1.0,1.78
"17011D",82.0,82.54
"17011F",26.8,27.31
"17012A",7.3,7.78
"17012B",5.2,5.78
"17012C",5.5,5.99
"17012D",5.1,5.53
"17012E",12.5,13.00
"17012F",5.7,6.09
"17013B",3.0,3.56
"17013C",76.0,76.97
"17013D",17.6,18.17
"17013F",59.5,60.42
"17014A",37.1,37.68
"17014C",4.0,4.79
"17014D",30.6,31.14
"17014E",19.8,20.39
"17014F",69.7,70.28
"17021",8.6,9.09
"17027A",33.0,33.90
"17033",4.1,4.59
"17038",12.9,13.42
"17039",5.4,5.95
"17084A",34.1,34.48
"17084G",4.0,4.91
"17084J",33.9,34.27
"17084N",3.5,3.96
