"stock_code","distinct_customers"
"10002",164
"10080",23
"10109",1
"10120",52
"10123C",39
"10123G",12
"10124A",18
"10124G",9
"10125",87
"10133",153
"10134",44
"10135",178
"10138",14
"11001",118
"15030",23
"15034",123
"15036",303
"15039",127
"15044A",116
"15044B",97
"15044C",100
"15044D",105
"15056BL",321
"15056N",347
"15056P",186
"15058A",76
"15058B",65
"15058C",56
"15059A",1
"15060B",174
"16008",64
"16010",4
"16011",83
"16012",67
"16014",46
"16015",40
"16016",57
"16020C",22
"16033",43
"16043",11
"16044",2
"16045",65
"16046",44
"16047",21
"16048",59
"16049",22
"16050",4
"16051",3
"16052",18
"16053",8
"16054",32
"16119",7
"16151A",5
"16156L",33
"16156N",51
"16156S",271
"16161C",2
"16161E",8
"16161G",31
"16161M",36
"16161P",289
"16161U",203
"16162L",16
"16162M",10
"16168M",42
"16168S",4
"16169A",1
"16169C",42
"16169D",9
"16169E",143
"16169F",34
"16169G",1
"16169K",56
"16169M",56
"16169N",52
"16169P",46
"16201A",7
"16201B",2
"16202A",16
"16202B",13
"16202C",10
"16202E",12
"16206B",14
"16207A",17
"16207B",12
"16212",29
"16215",3
"16216",69
"16218",60
"16219",58
"16225",90
"16235",124
"16236",108
"16237",209
"16238",104
"16239",13
"16243B",1
"16244A",6
"16244B",8
"16245A",7
"16248B",12
"16254",17
"16256B",17
"16256C",8
"16258A",58
"16258B",13
"16259",46
"17001",20
"17003",215
"17007B",6
"17011A",6
"17011B",2
"17011C",1
"17011D",2
"17011E",1
"17011F",15
"17012A",30
"17012B",43
"17012C",47
"17012D",41
"17012E",12
"17012F",38
"17013B",2
"17013C",2
"17013D",17
"17013F",4
"17014A",9
"17014C",1
"17014D",5
"17014E",4
"17014F",4
"17021",45
"17027A",1
"17028J",1
"17033",58
"17038",21
"17039",20
"17061",1
"17084A",14
"17084G",2
"17084J",17
"17084N",42
"17084P",23
"17084R",29
"17090A",24
"17090D",21
"17091A",78
"17091B",35
"17091F",6
"17091J",108
"17096",25
"17107D",68
"17108D",17
"17109A",12
"17109B",13
"17109C",13
"17109D",33
"17129C",7
"17129D",12
"17129F",19
"17136A",28
"17164B",64
"17164D",26
"17165B",43
"17165D",62
"17174",7
"17178",20
"17181",26
"17191A",9
"18007",40
"18010",6
"18094C",22
"18096C",12
"18097A",10
"18097B",3
"18097C",110
"18098A",2
"18098B",3
"18098C",104
"20615",59
"20616",31
"20617",59
"20618",50
"20619",46
"20620",1
"20621",23
"20622",59
"20652",73
"20653",26
"20654",65
"20655",55
"20657",54
"20658",153
"20659",55
"20660",22
"20661",37
"20662",23
"20663",13
"20664",11
"20665",167
"20666",22
"20667",6
"20668",181
"20669",103
"20670",20
"20671",70
"20672",21
"20673",2
"20674",196
"20675",281
"20676",372
"20677",268
"20678",1
"20679",271
"20680",4
"20681",184
"20682",296
"20683",1
"20684",117
"20685",626
"20686",117
"20688",9
"20689",25
"20692",75
"20693",10
"20694",23
"20695",24
"20696",28
"20697",17
"20698",17
"20699",42
"20700",11
"20701",12
"20702",151
"20703",122
"20704",60
"20705",47
"20707",48
"20711",326
"20712",387
"20713",371
"20714",10
"20715",1
"20716",121
"20717",283
"20718",428
"20719",365
"20721",1
"20723",356
"20724",524
"20725",845
"20726",585
"20727",705
"20728",702
"20729",39
"20730",34
"20731",40
"20733",67
"20734",50
"20735",30
"20736",18
"20738",46
"20747",48
"20748",86
"20749",426
"20750",471
"20751",264
"20752",188
"20753",30
"20754",363
"20755",74
"20756",40
"20757",49
"20758",61
"20759",35
"20760",47
"20761",93
"20762",88
"20763",54
"20764",107
"20765",96
"20766",100
"20767",112
"20768",98
"20769",48
"20770",94
"20771",91
"20772",105
"20773",78
"20774",68
"20775",43
"20776",50
"20777",78
"20778",66
"20780",35
"20781",34
"20782",39
"20783",20
"20784",6
"20785",14
"20786",9
"20787",7
"20791",1
"20793",13
"20794",27
"20795",15
"20796",11
"20798",35
"20799",11
"20800",2
"20801",61
"20802",68
"20803",50
"20804",21
"20812",3
"20814",7
"20816",5
"20818",20
"20819",39
"20820",6
"20821",10
"20822",1
"20823",14
"20825",5
"20826",11
"20827",5
"20828",261
"20829",207
"20830",36
"20831",34
"20832",86
"20833",3
"20835",8
"20836",18
"20837",17
"20838",36
"20839",53
"20840",50
"20845",15
"20846",105
"20847",17
"20848",10
"20849",15
"20850",19
"20851",21
"20854",66
"20855",41
"20856",70
"20857",57
"20858",1
"20860",10
"20861",15
"20862",21
"20863",35
"20864",20
"20865",24
"20866",76
"20867",68
"20868",40
"20869",30
"20870",4
"20871",72
"20877",3
"20878",61
"20879",8
"20881",1
"20882",1
"20884",2
"20885",1
"20886",163
"20887",4
"20888",10
"20889",12
"20890",1
"20891",1
"20892",21
"20893",41
"20894",47
"20895",3
"20896",13
"20897",29
"20898",35
"20899",12
"20901",14
"20902",11
"20903",19
"20905",3
"20906",25
"20910",11
"20913",26
"20914",647
"20931",91
"20932",54
"20933",38
"20934",44
"20935",35
"20936",42
"20939",1
"20940",15
"20941",54
"20942",4
"20943",46
"20950",57
"20952",19
"20953",7
"20956",117
"20957",12
"20958",9
"20960",85
"20961",177
"20963",168
"20964",6
"20966",137
"20967",187
"20968",14
"20969",285
"20970",278
"20971",490
"20972",568
"20973",309
"20974",370
"20975",460
"20976",51
"20977",242
"20978",253
"20979",310
"20980",35
"20981",290
"20982",316
"20983",359
"20984",178
"20985",162
"20986",94
