"stock_code","order_return_rate_pct","line_item_return_rate_pct"
"10002",1.9,1.6
"10002R",0.0,0.0
"10080",0.0,0.0
"10109",0.0,0.0
"10120",1.3,1.1
"10123C",3.1,2.4
"10123G",5.9,4.5
"10124A",0.0,0.0
"10124G",0.0,0.0
"10125",0.0,0.0
"10133",0.7,0.5
"10134",1.9,1.7
"10135",0.6,0.5
"10138",16.0,13.3
"11001",4.2,3.2
"15002",0.0,0.0
"15030",0.0,0.0
"15034",2.3,1.7
"15036",1.4,1.1
"15039",1.3,0.9
"15044A",0.8,0.6
"15044B",0.5,0.4
"15044C",1.7,1.3
"15044D",1.7,1.5
"15056BL",1.3,1.1
"15056N",1.8,1.5
"15056P",2.3,2.0
"15058A",3.9,3.0
"15058B",3.1,2.2
"15058C",1.6,1.1
"15059A",0.0,0.0
"15060B",1.5,1.2
"16008",0.0,0.0
"16010",0.0,0.0
"16011",0.9,0.9
"16012",0.0,0.0
"16014",0.0,0.0
"16015",0.0,0.0
"16016",0.0,0.0
"16020C",0.0,0.0
"16033",7.4,7.3
"16043",13.3,12.5
"16044",0.0,0.0
"16045",0.0,0.0
"16046",3.3,2.6
"16047",3.1,2.5
"16048",0.0,0.0
"16049",0.0,0.0
"16050",0.0,0.0
"16051",0.0,0.0
"16052",2.8,2.0
"16053",9.1,7.7
"16054",2.5,2.4
"16119",0.0,0.0
"16151A",0.0,0.0
"16156L",0.0,0.0
"16156N",0.0,0.0
"16156S",0.7,0.7
"16161C",0.0,0.0
"16161E",0.0,0.0
"16161G",0.0,0.0
"16161M",2.5,2.5
"16161P",0.2,0.2
"16161U",0.9,0.9
"16162L",3.2,2.3
"16162M",0.0,0.0
"16168M",0.0,0.0
"16168S",0.0,0.0
"16169A",0.0,0.0
"16169C",0.0,0.0
"16169D",0.0,0.0
"16169E",1.3,1.3
"16169F",0.0,0.0
"16169G",0.0,0.0
"16169K",0.0,0.0
"16169M",0.0,0.0
"16169N",0.0,0.0
"16169P",2.0,2.0
"16192",0.0,0.0
"16201A",10.0,9.1
"16201B",0.0,0.0
"16202A",12.5,11.5
"16202B",15.4,13.3
"16202C",0.0,0.0
"16202E",6.7,6.3
"16206B",0.0,0.0
"16207A",0.0,0.0
"16207B",0.0,0.0
"16212",0.0,0.0
"16215",0.0,0.0
"16216",2.2,2.9
"16218",0.0,0.0
"16219",0.8,0.5
"16225",0.0,0.0
"16235",1.3,0.9
"16236",0.4,0.3
"16237",0.5,0.4
"16238",0.0,0.0
"16239",0.0,0.0
"16243B",0.0,0.0
"16244A",0.0,0.0
"16244B",0.0,0.0
"16245A",0.0,0.0
"16248B",0.0,0.0
"16254",0.0,0.0
"16256B",0.0,0.0
"16256C",9.1,9.1
"16258A",1.0,0.8
"16258B",0.0,0.0
"16259",6.8,6.8
"17001",8.0,8.0
"17003",1.3,1.3
"17007B",0.0,0.0
"17011A",0.0,0.0
"17011B",0.0,0.0
"17011C",0.0,0.0
"17011D",0.0,0.0
"17011E",0.0,0.0
"17011F",0.0,0.0
"17012A",0.0,0.0
"17012B",0.0,0.0
"17012C",0.0,0.0
"17012D",0.0,0.0
"17012E",0.0,0.0
"17012F",0.0,0.0
"17013B",0.0,0.0
"17013C",33.3,33.3
"17013D",3.1,2.4
"17013F",0.0,0.0
"17014A",0.0,0.0
"17014C",0.0,0.0
"17014D",0.0,0.0
"17014E",0.0,0.0
"17014F",0.0,0.0
"17021",3.8,3.4
"17027A",0.0,0.0
"17028J",0.0,0.0
"17033",1.4,1.3
"17038",0.0,0.0
"17039",0.0,0.0
"17061",0.0,0.0
"17084A",0.0,0.0
"17084G",0.0,0.0
"17084J",0.0,0.0
"17084N",0.0,0.0
"17084P",0.0,0.0
"17084R",0.0,0.0
"17090A",0.0,0.0
"17090D",0.0,0.0
"17091A",0.0,0.0
"17091B",0.0,0.0
"17091F",0.0,0.0
"17091J",0.0,0.0
"17096",0.0,0.0
"17107D",1.1,2.1
"17108D",0.0,0.0
"17109A",0.0,0.0
"17109B",0.0,0.0
"17109C",6.3,6.3
"17109D",2.5,2.3
"17129C",0.0,0.0
"17129D",0.0,0.0
"17129F",1.4,1.2
"17136A",0.0,0.0
"17164B",1.2,1.2
"17164D",0.0,0.0
"17165B",3.4,3.1
"17165D",3.3,3.1
"17174",0.0,0.0
"17178",0.0,0.0
"17181",0.0,0.0
"17191A",0.0,0.0
"18007",1.4,1.0
"18010",0.0,0.0
"18094C",1.0,0.6
"18096C",7.1,4.9
"18097A",0.0,0.0
"18097B",0.0,0.0
"18097C",0.9,0.8
"18098A",0.0,0.0
"18098B",0.0,0.0
"18098C",0.3,0.2
"20615",0.0,0.0
"20616",0.0,0.0
"20617",0.0,0.0
"20618",0.0,0.0
"20619",0.0,0.0
"20620",0.0,0.0
"20621",0.0,0.0
"20622",0.0,0.0
"20652",0.0,0.0
"20653",0.0,0.0
"20654",0.0,0.0
"20655",0.0,0.0
"20657",0.0,0.0
"20658",0.8,0.8
"20659",0.0,0.0
"20660",0.0,0.0
"20661",3.1,1.9
"20662",2.0,1.4
"20663",4.3,2.7
"20664",0.0,0.0
"20665",1.4,1.0
"20666",2.1,1.4
"20667",0.0,0.0
"20668",0.5,0.5
"20669",0.0,0.0
"20670",5.9,3.9
"20671",0.0,0.0
"20672",0.0,0.0
"20673",0.0,0.0
"20674",0.6,0.5
"20675",1.3,1.0
"20676",1.3,1.1
"20677",0.4,0.3
"20678",0.0,0.0
"20679",1.2,1.1
"20680",0.0,0.0
"20681",4.2,3.5
"20682",3.1,2.6
"20683",0.0,0.0
"20684",2.8,2.5
"20685",0.7,0.6
"20686",3.6,3.2
"20688",0.0,0.0
"20689",2.4,1.8
"20692",1.4,1.2
"20693",5.3,4.0
"20694",1.8,1.2
"20695",3.2,2.0
"20696",0.0,0.0
"20697",0.0,0.0
"20698",0.0,0.0
"20699",0.0,0.0
"20700",1.9,1.0
"20701",0.0,0.0
"20702",2.4,2.3
"20703",8.2,8.0
"20704",1.2,1.0
"20705",1.9,1.7
"20707",1.5,0.9
"20711",1.1,0.8
"20712",1.3,0.9
"20713",0.9,0.7
"20714",0.0,0.0
"20715",50.0,50.0
"20716",0.8,0.6
"20717",0.7,0.6
"20718",0.7,0.6
"20719",1.1,0.8
"20721",0.0,0.0
"20723",1.6,1.3
"20724",1.7,1.4
"20725",2.5,2.3
"20726",1.9,1.6
"20727",1.9,1.6
"20728",2.0,1.8
"20729",2.4,1.7
"20730",1.9,1.2
"20731",1.4,1.0
"20733",0.3,0.2
"20734",0.8,0.6
"20735",0.0,0.0
"20736",0.0,0.0
"20737",0.0,0.0
"20738",0.0,0.0
"20739",0.0,0.0
"20747",2.7,2.0
"20748",0.0,0.0
"20749",1.3,1.2
"20750",1.0,0.9
"20751",0.6,0.5
"20752",0.8,0.7
"20753",1.8,1.3
"20754",0.7,0.6
"20755",0.0,0.0
"20756",0.0,0.0
"20757",0.0,0.0
"20758",1.0,0.8
"20759",0.0,0.0
"20760",0.0,0.0
"20761",0.7,0.6
"20762",0.7,0.6
"20763",1.3,1.1
"20764",0.5,0.4
"20765",1.4,1.1
"20766",0.6,0.5
"20767",1.1,0.9
"20768",0.0,0.0
"20769",0.0,0.0
"20770",1.0,0.7
"20771",0.7,0.6
"20772",1.8,1.5
"20773",0.8,0.7
"20774",0.8,0.6
"20775",0.0,0.0
"20776",0.0,0.0
"20777",1.2,0.8
"20778",2.2,1.9
"20779",100.0,100.0
"20780",1.0,0.7
"20781",4.7,3.6
"20782",2.2,1.6
"20783",6.7,4.9
"20784",2.5,1.4
"20785",2.6,1.7
"20786",5.7,3.3
"20787",0.0,0.0
"20791",50.0,50.0
"20793",4.3,3.3
"20794",7.7,5.6
"20795",9.4,6.8
"20796",0.0,0.0
"20798",15.2,11.0
"20799",6.9,6.8
"20800",0.0,0.0
"20801",1.8,1.3
"20802",3.3,3.1
"20803",3.4,2.7
"20804",1.6,1.0
"20812",0.0,0.0
"20814",7.1,12.5
"20816",12.5,12.5
"20818",0.0,0.0
"20819",0.0,0.0
"20820",0.0,0.0
"20821",10.3,6.7
"20822",50.0,50.0
"20823",5.0,4.5
"20825",11.1,9.1
"20826",0.0,0.0
"20827",0.0,0.0
"20828",0.8,0.7
"20829",2.8,2.4
"20830",4.6,4.0
"20831",1.3,0.9
"20832",1.9,1.4
"20833",16.7,16.7
"20835",0.0,0.0
"20836",8.3,8.3
"20837",0.0,0.0
"20838",1.6,1.1
"20839",0.0,0.0
"20840",3.1,2.3
"20845",0.0,0.0
"20846",0.0,0.0
"20847",3.6,5.6
"20848",0.0,0.0
"20849",0.0,0.0
"20850",0.0,0.0
"20851",3.4,3.2
"20852",0.0,0.0
"20854",1.8,1.5
"20855",2.1,2.1
"20856",1.6,1.2
"20857",2.7,2.5
"20858",0.0,0.0
"20860",0.0,0.0
"20861",0.0,0.0
"20862",2.6,2.1
"20863",2.0,1.7
"20864",3.3,2.9
"20865",5.7,5.3
"20866",0.5,0.3
"20867",0.0,0.0
"20868",0.0,0.0
"20869",0.0,0.0
"20870",12.5,9.1
"20871",1.6,1.1
"20877",0.0,0.0
"20878",0.0,0.0
"20879",8.3,6.7
"20881",0.0,0.0
"20882",0.0,0.0
"20884",0.0,0.0
"20885",50.0,50.0
"20886",0.3,0.3
"20887",0.0,0.0
"20888",0.0,0.0
"20889",0.0,0.0
"20890",0.0,0.0
"20891",0.0,0.0
"20892",15.6,11.7
"20893",4.9,4.0
"20894",3.7,2.9
"20895",0.0,0.0
"20896",0.0,0.0
"20897",2.6,1.7
"20898",1.9,1.4
"20899",0.0,0.0
"20901",1.5,0.8
"20902",0.0,0.0
"20903",1.1,0.6
"20905",0.0,0.0
"20906",0.0,0.0
"20910",0.0,0.0
"20913",0.0,0.0
"20914",4.0,3.5
"20931",5.4,4.5
"20932",6.9,5.4
"20933",0.0,0.0
"20934",9.8,7.3
"20935",2.1,1.8
"20936",3.8,3.0
"20939",0.0,0.0
"20940",8.3,7.1
"20941",3.9,2.7
"20942",20.0,20.0
"20943",1.4,1.1
"20950",0.0,0.0
"20952",7.7,6.7
"20953",0.0,0.0
"20954",0.0,0.0
"20956",1.7,1.2
"20957",6.3,5.3
"20958",0.0,0.0
"20960",0.0,0.0
"20961",0.4,0.4
"20963",0.2,0.1
"20964",0.0,0.0
"20966",0.2,0.2
"20967",1.0,0.9
"20968",0.0,0.0
"20969",0.3,0.3
"20970",0.3,0.3
"20971",1.0,0.9
"20972",0.7,0.6
"20973",0.6,0.5
"20974",0.7,0.6
"20975",1.3,1.1
"20976",0.0,0.0
"20977",1.0,0.8
"20978",0.4,0.3
"20979",3.7,3.0
"20980",1.7,1.3
"20981",1.3,1.5
"20982",1.0,1.0
"20983",0.8,0.7
"20984",1.2,1.1
"20985",2.0,1.6
"20986",0.0,0.0
"20987",0.0,0.0
"20988",0.0,0.0
"20989",1.7,2.9
"20990",1.0,0.8
"20991",0.0,0.0
"20992",0.0,0.0
"20993",0.0,0.0
"20994",0.0,0.0
"20996",0.3,0.2
"20997",0.0,0.0
"20998",0.0,0.0
"21000",0.0,0.0
"21001",0.0,0.0
"21002",0.0,0.0
