"stock_code","order_return_rate_pct","line_item_return_rate_pct"
"10002",1.9,1.9
"10002R",0.0,0.0
"10080",0.0,0.0
"10109",0.0,0.0
"10120",1.3,1.3
"10123C",3.1,3.1
"10123G",5.9,5.6
"10124A",0.0,0.0
"10124G",0.0,0.0
"10125",0.0,0.0
"10133",0.7,0.7
"10134",1.9,1.8
"10135",0.6,0.6
"10138",16.0,16.0
"11001",4.2,4.1
"15002",0.0,0.0
"15030",0.0,0.0
"15034",2.3,2.3
"15036",1.4,1.4
"15039",1.3,1.3
"15044A",0.8,0.8
"15044B",0.5,0.5
"15044C",1.7,1.7
"15044D",1.7,1.7
"15056BL",1.3,1.2
"15056N",1.8,1.8
"15056P",2.3,2.3
"15058A",3.9,3.8
"15058B",3.1,3.1
"15058C",1.6,1.6
"15059A",0.0,0.0
"15060B",1.5,1.5
"16008",0.0,0.0
"16010",0.0,0.0
"16011",0.9,0.9
"16012",0.0,0.0
"16014",0.0,0.0
"16015",0.0,0.0
"16016",0.0,0.0
"16020C",0.0,0.0
"16033",7.4,7.4
"16043",13.3,13.3
"16044",0.0,0.0
"16045",0.0,0.0
"16046",3.3,3.1
"16047",3.1,3.1
"16048",0.0,0.0
"16049",0.0,0.0
"16050",0.0,0.0
"16051",0.0,0.0
"16052",2.8,2.8
"16053",9.1,9.1
"16054",2.5,2.5
"16119",0.0,0.0
"16151A",0.0,0.0
"16156L",0.0,0.0
"16156N",0.0,0.0
"16156S",0.7,0.7
"16161C",0.0,0.0
"16161E",0.0,0.0
"16161G",0.0,0.0
"16161M",2.5,2.5
"16161P",0.2,0.2
"16161U",0.9,0.9
"16162L",3.2,3.2
"16162M",0.0,0.0
"16168M",0.0,0.0
"16168S",0.0,0.0
"16169A",0.0,0.0
"16169C",0.0,0.0
"16169D",0.0,0.0
"16169E",1.3,1.3
"16169F",0.0,0.0
"16169G",0.0,0.0
"16169K",0.0,0.0
"16169M",0.0,0.0
"16169N",0.0,0.0
"16169P",2.0,2.0
"16192",0.0,0.0
"16201A",10.0,10.0
"16201B",0.0,0.0
"16202A",12.5,12.5
"16202B",15.4,15.4
"16202C",0.0,0.0
"16202E",6.7,6.7
"16206B",0.0,0.0
"16207A",0.0,0.0
"16207B",0.0,0.0
