"invoice_no","stock_code","description","quantity","unit_price","customer_id","invoice_date"
"489659","21350","",230,0.00,"","2009-12-01 17:39:00"
"489781","84292","",17,0.00,"","2009-12-02 11:45:00"
"489882","35751C","",12,0.00,"","2009-12-02 16:22:00"
"489898","79323G","",954,0.00,"","2009-12-03 09:40:00"
"489903","21166","",48,0.00,"","2009-12-03 09:57:00"
"490015","21982","",467,0.00,"","2009-12-03 12:29:00"
"490123","84508B","",184,0.00,"","2009-12-03 18:08:00"
"490150","84347","",80,0.00,"","2009-12-04 09:44:00"
"490543","37446","",222,0.00,"","2009-12-07 09:45:00"
"490688","21133","",270,0.00,"","2009-12-07 13:50:00"
"490716","22158","",6,0.00,"","2009-12-07 15:28:00"
"490758","72008","",3000,0.00,"","2009-12-08 09:38:00"
"491053","85185F","",50,0.00,"","2009-12-09 10:47:00"
"491106","84922","",90,0.00,"","2009-12-09 14:29:00"
"491107","84922","",180,0.00,"","2009-12-09 14:29:00"
"491115","84922","",40,0.00,"","2009-12-09 14:55:00"
"491117","20879","",12,0.00,"","2009-12-09 14:59:00"
"491120","35980C","",30,0.00,"","2009-12-09 15:05:00"
"491140","22188","",65,0.00,"","2009-12-09 16:42:00"
"491142","22174","",2,0.00,"","2009-12-09 16:44:00"
"491968","gift_0001_80","",2,0.00,"","2009-12-14 17:56:00"
"491990","C2","",100,0.00,"","2009-12-15 10:06:00"
"492200","20879","",6,0.00,"","2009-12-15 16:06:00"
"492646","72267","",72,0.00,"","2009-12-17 17:20:00"
"492835","22187","",48,0.00,"","2009-12-21 09:49:00"
"493070","16161C","",250,0.00,"","2009-12-22 09:27:00"
"493108","47503F","",2300,0.00,"","2009-12-22 11:23:00"
"493120","72045D","",520,0.00,"","2009-12-22 11:28:00"
"493133","84249D","",920,0.00,"","2009-12-22 11:30:00"
"493129","17164B","",1800,0.00,"","2009-12-22 11:30:00"
"493137","84247H","",35,0.00,"","2009-12-22 11:31:00"
"493140","84199","",480,0.00,"","2009-12-22 11:32:00"
"493138","35751A","",152,0.00,"","2009-12-22 11:32:00"
"493142","37485","",76,0.00,"","2009-12-22 11:33:00"
"493141","84814B","",79,0.00,"","2009-12-22 11:33:00"
"493144","72756","",74,0.00,"","2009-12-22 11:35:00"
"493143","20736","",187,0.00,"","2009-12-22 11:35:00"
"493145","22197","",453,0.00,"","2009-12-22 11:36:00"
"493146","20668","",348,0.00,"","2009-12-22 11:36:00"
"493148","20952","",445,0.00,"","2009-12-22 11:37:00"
"493147","72724","",45,0.00,"","2009-12-22 11:37:00"
"493150","71263G","",39,0.00,"","2009-12-22 11:38:00"
"493151","21560","",36,0.00,"","2009-12-22 11:38:00"
"493149","17164D","",784,0.00,"","2009-12-22 11:38:00"
"493154","35603B","",30,0.00,"","2009-12-22 11:39:00"
"493153","35603B","",12,0.00,"","2009-12-22 11:39:00"
"493152","37446","",37,0.00,"","2009-12-22 11:39:00"
"493156","79163","",2000,0.00,"","2009-12-22 11:40:00"
"493155","35999","",28,0.00,"","2009-12-22 11:40:00"
"493159","85230D","",24,0.00,"","2009-12-22 11:41:00"
"493158","85230C","",24,0.00,"","2009-12-22 11:41:00"
"493161","22144","",21,0.00,"","2009-12-22 11:48:00"
"493160","72708","",46,0.00,"","2009-12-22 11:48:00"
"493164","20880","",17,0.00,"","2009-12-22 11:49:00"
"493162","20691","",20,0.00,"","2009-12-22 11:49:00"
"493163","35051B","",18,0.00,"","2009-12-22 11:49:00"
"493166","22390","",15,0.00,"","2009-12-22 11:50:00"
"493169","72777","",14,0.00,"","2009-12-22 11:50:00"
"493165","20859","",15,0.00,"","2009-12-22 11:50:00"
"493167","22330","",174,0.00,"","2009-12-22 11:50:00"
"493171","20621","",163,0.00,"","2009-12-22 11:51:00"
"493172","71477","",52,0.00,"","2009-12-22 11:51:00"
"493170","79069A","",14,0.00,"","2009-12-22 11:51:00"
"493174","84251C","",12,0.00,"","2009-12-22 11:51:00"
"493173","21478","",12,0.00,"","2009-12-22 11:51:00"
"493177","44091C","",66,0.00,"","2009-12-22 11:52:00"
"493175","85151","",12,0.00,"","2009-12-22 11:52:00"
"493176","22141","",11,0.00,"","2009-12-22 11:52:00"
"493180","22003","",10,0.00,"","2009-12-22 11:53:00"
"493178","84247B","",11,0.00,"","2009-12-22 11:53:00"
"493179","84986A","",11,0.00,"","2009-12-22 11:53:00"
"493185","35980A","",9,0.00,"","2009-12-22 12:03:00"
"493184","84940","",10,0.00,"","2009-12-22 12:03:00"
"493186","79053A","",9,0.00,"","2009-12-22 12:04:00"
"493192","72655C","",8,0.00,"","2009-12-22 13:18:00"
"493194","47556","",7,0.00,"","2009-12-22 13:19:00"
"493193","35977B","",7,0.00,"","2009-12-22 13:19:00"
"493195","85083","",7,0.00,"","2009-12-22 13:20:00"
"493196","90002A","",7,0.00,"","2009-12-22 13:21:00"
"493197","20673","",6,0.00,"","2009-12-22 13:21:00"
"493198","20887","",6,0.00,"","2009-12-22 13:22:00"
"493199","35975B","",6,0.00,"","2009-12-22 13:22:00"
"493203","20959","",5,0.00,"","2009-12-22 13:23:00"
"493202","20884","",10,0.00,"","2009-12-22 13:23:00"
"493204","84921","",5,0.00,"","2009-12-22 13:24:00"
"493206","85231D","",5,0.00,"","2009-12-22 13:24:00"
"493205","85025A","",5,0.00,"","2009-12-22 13:24:00"
"493208","21492","",4,0.00,"","2009-12-22 13:25:00"
"493207","21362","",4,0.00,"","2009-12-22 13:25:00"
"493211","35994","",4,0.00,"","2009-12-22 13:27:00"
"493210","22113","",4,0.00,"","2009-12-22 13:27:00"
"493209","21852","",4,0.00,"","2009-12-22 13:27:00"
"493214","71409B","",4,0.00,"","2009-12-22 13:28:00"
"493212","46307","",5,0.00,"","2009-12-22 13:28:00"
"493213","47340B","",4,0.00,"","2009-12-22 13:28:00"
"493215","84029D","",4,0.00,"","2009-12-22 13:29:00"
"493217","84247N","",86,0.00,"","2009-12-22 13:34:00"
"493218","17129C","",48,0.00,"","2009-12-22 13:39:00"
"493219","20995","",3,0.00,"","2009-12-22 13:39:00"
"493220","21787","",3,0.00,"","2009-12-22 13:39:00"
"493221","35001P","",3,0.00,"","2009-12-22 13:40:00"
"493222","37451","",3,0.00,"","2009-12-22 13:40:00"
"493223","21487","",2,0.00,"","2009-12-22 13:41:00"
"493224","78056","",2,0.00,"","2009-12-22 13:42:00"
"493225","79065A","",2,0.00,"","2009-12-22 13:42:00"
"493227","84558B","",4,0.00,"","2009-12-22 13:43:00"
"493228","21169","",43,0.00,"","2009-12-22 13:44:00"
"493231","21859","",1,0.00,"","2009-12-22 13:44:00"
"493230","21915","",1,0.00,"","2009-12-22 13:44:00"
"493234","21029","",2,0.00,"","2009-12-22 13:45:00"
"493235","79340W","",3,0.00,"","2009-12-22 13:45:00"
"493233","79053B","",1,0.00,"","2009-12-22 13:45:00"
"493239","35821P","",2,0.00,"","2009-12-22 13:46:00"
"493236","16161C","",316,0.00,"","2009-12-22 13:46:00"
"493238","20743","",1,0.00,"","2009-12-22 13:46:00"
"493242","21505","",1,0.00,"","2009-12-22 13:47:00"
"493241","21767","",1,0.00,"","2009-12-22 13:47:00"
"493240","84803B","",3,0.00,"","2009-12-22 13:47:00"
"493243","21450","",1,0.00,"","2009-12-22 13:47:00"
"493244","21148","",1,0.00,"","2009-12-22 13:48:00"
"493245","21543","",1,0.00,"","2009-12-22 13:48:00"
