"stock_code","recency_days","frequency_completed","avg_interval_fractional_day","overdue_multiple","monetary_net"
"21480",716,57,0.38,1884.2,881.82
"20940",726,22,0.57,1273.7,236.55
"84029C",703,49,0.73,963.0,773.97
"72771B",723,8,0.77,939.0,56.90
"21543",717,24,0.87,824.1,215.00
"22528",366,554,0.46,795.7,7567.16
"20753",682,56,0.87,783.9,504.80
"37503",359,523,0.47,763.8,24912.88
"72487",724,14,1.02,709.8,355.05
"20987",716,22,1.01,708.9,288.35
"84520D",651,94,0.92,707.6,629.27
"72724",728,10,1.03,706.8,45.00
"79029",480,343,0.73,657.5,5424.47
"47568",421,410,0.65,647.7,4938.05
"35004S",577,25,0.91,634.1,461.88
"20913",690,43,1.12,616.1,898.72
"72771C",725,6,1.18,614.4,42.08
"21437",620,109,1.02,607.8,2332.17
"21780",694,32,1.17,593.2,1745.85
"21076",632,92,1.14,554.4,713.70
"35071",730,7,1.32,553.0,51.14
"21256",659,65,1.23,535.8,588.64
"22862",317,221,0.60,528.3,3356.22
"84671B",697,32,1.32,528.0,306.77
"47505",550,179,1.06,518.9,3440.37
"21384",568,150,1.13,502.7,1810.19
"84578",603,113,1.20,502.5,854.91
"16258B",717,15,1.43,501.4,221.06
"79072",553,107,1.11,498.2,2933.95
"21649",667,29,1.35,494.1,1151.09
