"stock_code","total_orders","order_month","orders_this_month","pct_of_total"
"16215",3,12,3,100.0
"17013B",3,12,3,100.0
"20884",3,12,3,100.0
"35815B",3,12,3,100.0
"40046C",3,12,3,100.0
"84814B",3,12,3,100.0
"16161C",2,12,2,100.0
"17011C",2,12,2,100.0
"17014C",2,12,2,100.0
"17084G",2,12,2,100.0
"18098A",2,12,2,100.0
"20673",2,12,2,100.0
"20881",2,12,2,100.0
"20882",2,12,2,100.0
"21225",2,12,2,100.0
"21525",2,12,2,100.0
"21685",2,12,2,100.0
"21852",2,12,2,100.0
"35001P",2,12,2,100.0
"35051B",2,12,2,100.0
"35603B",2,12,2,100.0
"35751C",2,12,2,100.0
"35821P",2,12,2,100.0
"48175",2,12,2,100.0
"72752B",2,12,2,100.0
"78056",2,12,2,100.0
"84721",2,12,2,100.0
"85083",2,12,2,100.0
"85185E",2,12,2,100.0
"10109",1,12,1,100.0
"15002",1,11,1,100.0
"16169G",1,12,1,100.0
"16192",1,12,1,100.0
"17011E",1,12,1,100.0
"17061",1,12,1,100.0
"20683",1,12,1,100.0
"20721",1,12,1,100.0
"20737",1,12,1,100.0
"20739",1,12,1,100.0
"20858",1,12,1,100.0
"20885",1,12,1,100.0
"20939",1,12,1,100.0
"21036",1,12,1,100.0
"21290",1,12,1,100.0
"21406",1,12,1,100.0
"21475",1,12,1,100.0
"21496",1,12,1,100.0
"21767",1,12,1,100.0
"21838",1,12,1,100.0
"21854",1,12,1,100.0
"21860",1,12,1,100.0
"30086C",1,12,1,100.0
"35605A",1,12,1,100.0
"35751D",1,12,1,100.0
"35818C",1,12,1,100.0
"35837",1,12,1,100.0
"35915A",1,12,1,100.0
"35930",1,12,1,100.0
"35945",1,12,1,100.0
"35974",1,12,1,100.0
"35976B",1,12,1,100.0
"35999",1,12,1,100.0
"37408",1,12,1,100.0
"37432",1,12,1,100.0
"37438",1,12,1,100.0
"37477C",1,11,1,100.0
"37484",1,12,1,100.0
"40002",1,12,1,100.0
"47554",1,12,1,100.0
"47556",1,12,1,100.0
"47569",1,12,1,100.0
"71101A",1,12,1,100.0
"72751A",1,12,1,100.0
"72751B",1,12,1,100.0
"72752A",1,12,1,100.0
"72754D",1,12,1,100.0
"79065A",1,12,1,100.0
"79070B",1,12,1,100.0
"84572",1,12,1,100.0
"84626",1,12,1,100.0
"84648",1,12,1,100.0
"84845A",1,12,1,100.0
"85024A",1,12,1,100.0
"85069",1,12,1,100.0
"85072",1,12,1,100.0
"85077",1,12,1,100.0
"85123B",1,12,1,100.0
"85171",1,12,1,100.0
"85230C",1,12,1,100.0
"85230D",1,12,1,100.0
"90004A",1,12,1,100.0
"90142B",1,11,1,100.0
"90142C",1,11,1,100.0
