"stock_code","recency_days","monetary_net","frequency_completed","category"
"84614C",702,17.85,1,"Dead Stock Candidate"
"21772",702,12.75,1,"Dead Stock Candidate"
"72740B",696,10.12,1,"Dead Stock Candidate"
"84925E",695,130.05,3,"Dead Stock Candidate"
"85157",694,25.44,1,"Dead Stock Candidate"
"90013E",694,17.14,2,"Dead Stock Candidate"
"85232C",692,4.95,1,"Dead Stock Candidate"
"72796C",690,1.65,1,"Dead Stock Candidate"
"18097B",690,17.85,3,"Dead Stock Candidate"
"90000C",689,18.69,2,"Dead Stock Candidate"
"21409",689,4.25,1,"Dead Stock Candidate"
"20715",688,0.00,1,"Dead Stock Candidate"
"21857",687,20.46,2,"Dead Stock Candidate"
"84630",687,15.90,1,"Dead Stock Candidate"
"84255A",687,4.20,2,"Dead Stock Candidate"
"84570B",687,19.80,2,"Dead Stock Candidate"
"84567",687,14.85,1,"Dead Stock Candidate"
"84942",683,5.07,3,"Dead Stock Candidate"
"84867B",682,54.28,1,"Dead Stock Candidate"
"79303A",682,5.90,1,"Dead Stock Candidate"
"10002R",682,41.14,3,"Dead Stock Candidate"
"48173A",681,6.75,1,"Dead Stock Candidate"
"35822P",681,43.32,1,"Dead Stock Candidate"
"35822B",681,87.02,1,"Dead Stock Candidate"
"85043",680,-9.90,1,"Dead Stock Candidate"
"84641",680,0.00,1,"Dead Stock Candidate"
"20812",679,12.75,3,"Dead Stock Candidate"
"72785B",678,10.90,3,"Dead Stock Candidate"
"84868A",677,13.90,2,"Dead Stock Candidate"
"21008",676,5.02,1,"Dead Stock Candidate"
"20822",675,0.00,1,"Dead Stock Candidate"
"84798C",672,40.80,3,"Dead Stock Candidate"
"37451",670,-3.55,1,"Dead Stock Candidate"
"72751C",670,5.95,1,"Dead Stock Candidate"
"72805",670,16.90,3,"Dead Stock Candidate"
"85192S",668,1.95,2,"Dead Stock Candidate"
"84311",667,18.15,1,"Dead Stock Candidate"
"90082C",666,33.51,3,"Dead Stock Candidate"
"82011E",665,7.50,2,"Dead Stock Candidate"
"21343",665,58.10,3,"Dead Stock Candidate"
"21699",662,82.44,3,"Dead Stock Candidate"
"84575B",662,23.80,3,"Dead Stock Candidate"
"85218",660,620.85,3,"Dead Stock Candidate"
"21701",660,-20.28,1,"Dead Stock Candidate"
"44217M",659,0.00,3,"Dead Stock Candidate"
"16044",658,389.64,3,"Dead Stock Candidate"
"18098B",652,8.85,3,"Dead Stock Candidate"
"20791",651,0.00,1,"Dead Stock Candidate"
"84205C",646,0.38,1,"Dead Stock Candidate"
"17013C",646,49.14,2,"Dead Stock Candidate"
"35950",645,1.25,1,"Dead Stock Candidate"
"35652",640,21.50,2,"Dead Stock Candidate"
"17027A",639,84.84,2,"Dead Stock Candidate"
"71434B",638,7.65,2,"Dead Stock Candidate"
"85186B",627,5.88,2,"Dead Stock Candidate"
"37379B",625,181.50,3,"Dead Stock Candidate"
"84720",624,147.05,3,"Dead Stock Candidate"
"46138D",624,1.95,1,"Dead Stock Candidate"
"84814A",622,1.95,1,"Dead Stock Candidate"
"90126B",622,16.96,3,"Dead Stock Candidate"
"72084B",622,3.90,1,"Dead Stock Candidate"
"37326",619,7.97,2,"Dead Stock Candidate"
"37409",606,5.95,3,"Dead Stock Candidate"
"20891",599,456.76,3,"Dead Stock Candidate"
"21853",599,30.80,3,"Dead Stock Candidate"
"21858",590,20.46,3,"Dead Stock Candidate"
"16169A",588,10.50,1,"Dead Stock Candidate"
"90189B",588,22.50,2,"Dead Stock Candidate"
"84760L",583,896.00,1,"Dead Stock Candidate"
"85050",577,100.80,1,"Dead Stock Candidate"
"84366",574,15.00,3,"Dead Stock Candidate"
"35817B",574,66.47,3,"Dead Stock Candidate"
"35980B",571,1.52,2,"Dead Stock Candidate"
"35537",568,5.46,3,"Dead Stock Candidate"
"72038B",568,0.00,1,"Dead Stock Candidate"
"84962",568,179.85,2,"Dead Stock Candidate"
"84857A",567,68.00,3,"Dead Stock Candidate"
"21511",567,16.80,2,"Dead Stock Candidate"
"37481",551,15.30,2,"Dead Stock Candidate"
"90095",530,27.97,3,"Dead Stock Candidate"
"79308B",527,122.40,2,"Dead Stock Candidate"
"22864",527,158.76,2,"Dead Stock Candidate"
"90060C",523,41.65,3,"Dead Stock Candidate"
"35978",519,0.00,2,"Dead Stock Candidate"
"22126",514,0.00,2,"Dead Stock Candidate"
"84546",512,34.65,3,"Dead Stock Candidate"
"35823P",512,5.90,2,"Dead Stock Candidate"
"45014",511,4.65,1,"Dead Stock Candidate"
"21585",495,1.65,1,"Dead Stock Candidate"
"62097A",490,14.75,3,"Dead Stock Candidate"
"46037A",483,7.50,2,"Dead Stock Candidate"
"17011B",476,11.10,2,"Dead Stock Candidate"
"82072",468,6.25,3,"Dead Stock Candidate"
"79301",464,-20.00,1,"Dead Stock Candidate"
"78026",461,169.90,2,"Dead Stock Candidate"
"90127B",455,2.50,2,"Dead Stock Candidate"
"21119",437,82.02,3,"Dead Stock Candidate"
"49031B",433,0.00,1,"Dead Stock Candidate"
"90066A",427,33.75,2,"Dead Stock Candidate"
"90091",423,2.55,2,"Dead Stock Candidate"
"22790",421,3884.00,1,"Dead Stock Candidate"
"22850",416,0.00,1,"Dead Stock Candidate"
"84967A",411,174.90,3,"Dead Stock Candidate"
"79140",406,6.30,3,"Dead Stock Candidate"
"84964A",401,630.00,2,"Dead Stock Candidate"
"84966C",401,276.00,3,"Dead Stock Candidate"
"84965A",401,1050.00,3,"Dead Stock Candidate"
"84964B",401,990.00,2,"Dead Stock Candidate"
"35071",730,61.48,7,"Overdue Restock"
"16201B",729,115.40,5,"Overdue Restock"
"72724",728,47.50,10,"Overdue Restock"
"16169D",726,105.00,9,"Overdue Restock"
"20940",726,266.75,22,"Overdue Restock"
"72771C",725,63.58,6,"Overdue Restock"
"85151",725,55.00,8,"Overdue Restock"
"72487",724,358.48,14,"Overdue Restock"
"72771B",723,65.50,8,"Overdue Restock"
"21266",723,197.80,9,"Overdue Restock"
"48179",722,297.69,11,"Overdue Restock"
"20877",721,5.88,5,"Overdue Restock"
"84247J",720,19.66,9,"Overdue Restock"
"21267",720,121.90,10,"Overdue Restock"
"16258B",717,222.78,15,"Overdue Restock"
"20879",717,-98.50,11,"Overdue Restock"
"21543",717,243.05,24,"Overdue Restock"
"37399",717,75.00,6,"Overdue Restock"
"84705B",716,136.51,5,"Overdue Restock"
"35840",716,162.41,11,"Overdue Restock"
"35995",716,4.20,5,"Overdue Restock"
"84340",716,112.44,11,"Overdue Restock"
"16119",716,133.21,8,"Overdue Restock"
"85079",716,36.50,8,"Overdue Restock"
"20870",716,63.00,7,"Overdue Restock"
"20887",716,219.53,8,"Overdue Restock"
"21353",716,177.80,9,"Overdue Restock"
"35793",716,258.61,15,"Overdue Restock"
"20987",716,348.55,22,"Overdue Restock"
"21480",716,1101.79,57,"Overdue Restock"
"72740A",703,187.76,12,"Overdue Restock"
"84029C",703,882.89,49,"Overdue Restock"
"72799B",702,522.07,16,"Overdue Restock"
"37345",701,586.00,9,"Overdue Restock"
"37492A",700,220.94,11,"Overdue Restock"
"72754B",699,137.54,8,"Overdue Restock"
"17091F",698,35.42,8,"Overdue Restock"
"84671B",697,363.64,32,"Overdue Restock"
"21118",696,104.25,7,"Overdue Restock"
"20968",696,231.47,19,"Overdue Restock"
"21322",696,618.45,14,"Overdue Restock"
"20714",696,713.39,28,"Overdue Restock"
"21780",694,2656.15,32,"Overdue Restock"
"72772",691,639.18,9,"Overdue Restock"
"71028B",691,265.07,13,"Overdue Restock"
"20913",690,1010.39,43,"Overdue Restock"
"21729",689,491.30,30,"Overdue Restock"
"72753C",688,115.46,6,"Overdue Restock"
"85166A",687,194.05,12,"Overdue Restock"
"21779",687,1062.75,22,"Overdue Restock"
"84562B",686,157.53,7,"Overdue Restock"
"82093",686,416.98,28,"Overdue Restock"
"21554",686,787.80,22,"Overdue Restock"
"72753D",686,268.80,9,"Overdue Restock"
"84933B",685,309.15,6,"Overdue Restock"
"84933C",685,317.00,6,"Overdue Restock"
"21252",683,441.67,22,"Overdue Restock"
"20994",682,39.95,12,"Overdue Restock"
"20753",682,622.70,56,"Overdue Restock"
"72739B",682,412.43,29,"Overdue Restock"
"84371",682,300.50,6,"Overdue Restock"
"82076",681,468.53,19,"Overdue Restock"
"72739C",681,307.16,24,"Overdue Restock"
"72753A",681,713.58,14,"Overdue Restock"
"72750D",680,226.50,11,"Overdue Restock"
"21308",680,742.05,6,"Overdue Restock"
"90121B",679,68.00,9,"Overdue Restock"
"72801F",679,292.50,25,"Overdue Restock"
"18010",679,36.80,9,"Overdue Restock"
"21551",678,876.95,22,"Overdue Restock"
"84586L",677,44.25,9,"Overdue Restock"
"84622",676,174.30,9,"Overdue Restock"
"37112",675,41.25,5,"Overdue Restock"
"84933A",675,314.35,6,"Overdue Restock"
"84450A",674,27.36,5,"Overdue Restock"
"20620",673,121.42,14,"Overdue Restock"
"16168S",671,131.80,11,"Overdue Restock"
"22330",670,211.65,22,"Overdue Restock"
"85112",670,505.29,35,"Overdue Restock"
"84029D",668,214.66,15,"Overdue Restock"
"21649",667,1193.23,29,"Overdue Restock"
"47504F",662,199.82,14,"Overdue Restock"
"21697",662,295.08,7,"Overdue Restock"
"21893",661,652.60,20,"Overdue Restock"
"21702",660,918.68,9,"Overdue Restock"
"85220",660,3229.35,5,"Overdue Restock"
"47583B",659,332.60,6,"Overdue Restock"
"21256",659,731.18,65,"Overdue Restock"
"21489",659,252.00,14,"Overdue Restock"
"47583A",659,613.94,6,"Overdue Restock"
"82553",658,333.56,42,"Overdue Restock"
"20991",658,918.22,32,"Overdue Restock"
"84753A",658,112.09,24,"Overdue Restock"
"84464",657,179.10,11,"Overdue Restock"
