"stock_code","recency_days","monetary_net","frequency_completed","category"
"84614C",702,17.85,1,"Dead Stock Candidate"
"21772",702,12.75,1,"Dead Stock Candidate"
"72740B",696,10.12,1,"Dead Stock Candidate"
"84925E",695,130.05,3,"Dead Stock Candidate"
"85157",694,25.44,1,"Dead Stock Candidate"
"90013E",694,17.14,2,"Dead Stock Candidate"
"85232C",692,4.95,1,"Dead Stock Candidate"
"18097B",690,17.85,3,"Dead Stock Candidate"
"72796C",690,1.65,1,"Dead Stock Candidate"
"21409",689,4.25,1,"Dead Stock Candidate"
"90000C",689,18.69,2,"Dead Stock Candidate"
"20715",688,0.00,1,"Dead Stock Candidate"
"84567",687,14.85,1,"Dead Stock Candidate"
"84255A",687,4.20,2,"Dead Stock Candidate"
"84570B",687,19.80,2,"Dead Stock Candidate"
"21857",687,20.46,2,"Dead Stock Candidate"
"84630",687,15.90,1,"Dead Stock Candidate"
"84942",683,5.07,3,"Dead Stock Candidate"
"79303A",682,5.90,1,"Dead Stock Candidate"
"10002R",682,41.14,3,"Dead Stock Candidate"
"84867B",682,54.28,1,"Dead Stock Candidate"
"48173A",681,6.75,1,"Dead Stock Candidate"
"35822B",681,87.02,1,"Dead Stock Candidate"
"35822P",681,43.32,1,"Dead Stock Candidate"
"84641",680,0.00,1,"Dead Stock Candidate"
"85043",680,-9.90,1,"Dead Stock Candidate"
"20812",679,12.75,3,"Dead Stock Candidate"
"72785B",678,10.90,3,"Dead Stock Candidate"
"84868A",677,13.90,2,"Dead Stock Candidate"
"21008",676,5.02,1,"Dead Stock Candidate"
"20822",675,0.00,1,"Dead Stock Candidate"
"84798C",672,40.80,3,"Dead Stock Candidate"
"72751C",670,5.95,1,"Dead Stock Candidate"
"72805",670,16.90,3,"Dead Stock Candidate"
"37451",670,-3.55,1,"Dead Stock Candidate"
"85192S",668,1.95,2,"Dead Stock Candidate"
"84311",667,18.15,1,"Dead Stock Candidate"
"90082C",666,33.51,3,"Dead Stock Candidate"
"21343",665,58.10,3,"Dead Stock Candidate"
"82011E",665,7.50,2,"Dead Stock Candidate"
"21699",662,82.44,3,"Dead Stock Candidate"
"84575B",662,23.80,3,"Dead Stock Candidate"
"85218",660,620.85,3,"Dead Stock Candidate"
"21701",660,-20.28,1,"Dead Stock Candidate"
"44217M",659,0.00,3,"Dead Stock Candidate"
"16044",658,389.64,3,"Dead Stock Candidate"
"18098B",652,8.85,3,"Dead Stock Candidate"
"20791",651,0.00,1,"Dead Stock Candidate"
"84205C",646,0.38,1,"Dead Stock Candidate"
"17013C",646,49.14,2,"Dead Stock Candidate"
"35950",645,1.25,1,"Dead Stock Candidate"
"35652",640,21.50,2,"Dead Stock Candidate"
"17027A",639,84.84,2,"Dead Stock Candidate"
"71434B",638,7.65,2,"Dead Stock Candidate"
"85186B",627,5.88,2,"Dead Stock Candidate"
"37379B",625,181.50,3,"Dead Stock Candidate"
"84720",624,147.05,3,"Dead Stock Candidate"
"46138D",624,1.95,1,"Dead Stock Candidate"
"72084B",622,3.90,1,"Dead Stock Candidate"
"90126B",622,16.96,3,"Dead Stock Candidate"
"84814A",622,1.95,1,"Dead Stock Candidate"
"37326",619,7.97,2,"Dead Stock Candidate"
"37409",606,5.95,3,"Dead Stock Candidate"
"20891",599,456.76,3,"Dead Stock Candidate"
"21853",599,30.80,3,"Dead Stock Candidate"
"21858",590,20.46,3,"Dead Stock Candidate"
"16169A",588,10.50,1,"Dead Stock Candidate"
"90189B",588,22.50,2,"Dead Stock Candidate"
"84760L",583,896.00,1,"Dead Stock Candidate"
"85050",577,100.80,1,"Dead Stock Candidate"
"84366",574,15.00,3,"Dead Stock Candidate"
"35817B",574,66.47,3,"Dead Stock Candidate"
"35980B",571,1.52,2,"Dead Stock Candidate"
"72038B",568,0.00,1,"Dead Stock Candidate"
"84962",568,179.85,2,"Dead Stock Candidate"
"35537",568,5.46,3,"Dead Stock Candidate"
"21511",567,16.80,2,"Dead Stock Candidate"
"84857A",567,68.00,3,"Dead Stock Candidate"
"37481",551,15.30,2,"Dead Stock Candidate"
"90095",530,27.97,3,"Dead Stock Candidate"
"22864",527,158.76,2,"Dead Stock Candidate"
"79308B",527,122.40,2,"Dead Stock Candidate"
"90060C",523,41.65,3,"Dead Stock Candidate"
"35978",519,0.00,2,"Dead Stock Candidate"
"22126",514,0.00,2,"Dead Stock Candidate"
"35823P",512,5.90,2,"Dead Stock Candidate"
"84546",512,34.65,3,"Dead Stock Candidate"
"45014",511,4.65,1,"Dead Stock Candidate"
"21585",495,1.65,1,"Dead Stock Candidate"
"62097A",490,14.75,3,"Dead Stock Candidate"
"46037A",483,7.50,2,"Dead Stock Candidate"
"17011B",476,11.10,2,"Dead Stock Candidate"
"82072",468,6.25,3,"Dead Stock Candidate"
"79301",464,-20.00,1,"Dead Stock Candidate"
"78026",461,169.90,2,"Dead Stock Candidate"
"90127B",455,2.50,2,"Dead Stock Candidate"
"21119",437,82.02,3,"Dead Stock Candidate"
"49031B",433,0.00,1,"Dead Stock Candidate"
"90066A",427,33.75,2,"Dead Stock Candidate"
"90091",423,2.55,2,"Dead Stock Candidate"
"22790",421,3884.00,1,"Dead Stock Candidate"
"22850",416,0.00,1,"Dead Stock Candidate"
"84967A",411,174.90,3,"Dead Stock Candidate"
"79140",406,6.30,3,"Dead Stock Candidate"
"84965A",401,1050.00,3,"Dead Stock Candidate"
"84966C",401,276.00,3,"Dead Stock Candidate"
"84964B",401,990.00,2,"Dead Stock Candidate"
"84964A",401,630.00,2,"Dead Stock Candidate"
"21480",716,1101.79,57,"Overdue Restock"
"21780",694,2656.15,32,"Overdue Restock"
"20913",690,1010.39,43,"Overdue Restock"
"21779",687,1062.75,22,"Overdue Restock"
"21649",667,1193.23,29,"Overdue Restock"
"85220",660,3229.35,5,"Overdue Restock"
"84396",653,1689.44,49,"Overdue Restock"
"46775A",652,1986.76,32,"Overdue Restock"
"84619",646,1801.77,29,"Overdue Restock"
"21842",645,1360.33,47,"Overdue Restock"
"72484",645,1024.55,64,"Overdue Restock"
"17129D",644,2357.82,40,"Overdue Restock"
"84830",641,1144.30,7,"Overdue Restock"
"20993",640,1362.73,32,"Overdue Restock"
"21303",631,1045.83,30,"Overdue Restock"
"21091",631,1920.24,47,"Overdue Restock"
"21438",630,1267.44,36,"Overdue Restock"
"84469",625,2408.14,44,"Overdue Restock"
"84653",625,1047.46,12,"Overdue Restock"
"84909A",625,2810.30,30,"Overdue Restock"
"21299",625,1060.95,34,"Overdue Restock"
"21437",620,2460.99,109,"Overdue Restock"
"85014D",619,6721.30,90,"Overdue Restock"
"21477",617,3278.13,45,"Overdue Restock"
"22290",617,1275.74,78,"Overdue Restock"
"37494A",616,1097.25,54,"Overdue Restock"
"37410",610,3550.23,34,"Overdue Restock"
"22253",609,1220.17,86,"Overdue Restock"
"21276",609,1497.48,29,"Overdue Restock"
"21549",604,1297.28,51,"Overdue Restock"
"84578",603,1114.14,113,"Overdue Restock"
"21255",600,1021.61,96,"Overdue Restock"
"47570",591,2649.47,78,"Overdue Restock"
"21759",588,1580.86,13,"Overdue Restock"
"21092",582,1617.66,29,"Overdue Restock"
"21099",581,1448.68,33,"Overdue Restock"
"84937",580,5923.46,126,"Overdue Restock"
"85221",577,1547.41,47,"Overdue Restock"
"84472",576,5194.34,30,"Overdue Restock"
"21396",572,1322.72,77,"Overdue Restock"
"21837",569,1948.18,91,"Overdue Restock"
"21384",568,2153.57,150,"Overdue Restock"
"20747",566,14181.89,108,"Overdue Restock"
"21550",566,1687.32,64,"Overdue Restock"
"21593",564,1600.56,94,"Overdue Restock"
"21869",564,1487.06,111,"Overdue Restock"
"79072",553,3848.65,107,"Overdue Restock"
"47581B",553,1074.04,36,"Overdue Restock"
"84797A",552,5236.63,61,"Overdue Restock"
"47505",550,3631.14,179,"Overdue Restock"
"85162C",548,1908.30,46,"Overdue Restock"
"85162A",548,1226.48,20,"Overdue Restock"
"85162B",548,1905.15,13,"Overdue Restock"
"21127",546,1151.51,48,"Overdue Restock"
"85014C",545,1797.61,72,"Overdue Restock"
"72756",542,5449.05,129,"Overdue Restock"
"84797B",542,2467.24,53,"Overdue Restock"
"84815",541,1345.14,53,"Overdue Restock"
"20729",541,2373.84,121,"Overdue Restock"
"85222",535,1621.21,50,"Overdue Restock"
"47503K",535,1480.38,42,"Overdue Restock"
"85121B",529,1269.98,48,"Overdue Restock"
"21589",526,2563.05,88,"Overdue Restock"
"21085",515,1902.24,66,"Overdue Restock"
"85041",511,2558.86,92,"Overdue Restock"
"84791",507,1290.96,106,"Overdue Restock"
"48195",505,1819.87,87,"Overdue Restock"
"21728",504,2850.12,40,"Overdue Restock"
"21545",504,1747.29,83,"Overdue Restock"
"45008C",504,1042.54,35,"Overdue Restock"
"40018E",502,1043.54,81,"Overdue Restock"
"84467",500,30484.32,83,"Overdue Restock"
"48197",498,7373.33,227,"Overdue Restock"
"21323",497,2799.78,81,"Overdue Restock"
"37502",496,2895.73,171,"Overdue Restock"
"37482B",495,1196.57,10,"Overdue Restock"
"37441",494,1970.10,54,"Overdue Restock"
"84837",494,3504.83,143,"Overdue Restock"
"84510B",493,1678.10,148,"Overdue Restock"
"84795D",493,1683.58,83,"Overdue Restock"
"84795A",491,1933.74,71,"Overdue Restock"
"84327A",490,1845.06,123,"Overdue Restock"
"21335",485,1140.24,28,"Overdue Restock"
"21796",485,2794.94,67,"Overdue Restock"
"47591C",480,2258.09,162,"Overdue Restock"
"79029",480,5825.14,343,"Overdue Restock"
"20783",479,1423.42,56,"Overdue Restock"
"85060",478,1805.31,89,"Overdue Restock"
"84676",478,2055.85,110,"Overdue Restock"
"21652",478,1829.08,79,"Overdue Restock"
"21203",478,2742.50,145,"Overdue Restock"
