"stock_code","recency_days","monetary_net","avg_order_month","category"
"85157",694,25.44,1.00,"Dead Stock Candidate"
"35822P",681,43.32,1.00,"Dead Stock Candidate"
"79303A",682,5.90,1.00,"Dead Stock Candidate"
"21409",689,4.25,1.00,"Dead Stock Candidate"
"84567",687,14.85,1.00,"Dead Stock Candidate"
"84614C",702,17.85,1.00,"Dead Stock Candidate"
"79301",464,-20.00,1.00,"Dead Stock Candidate"
"84630",687,15.90,1.00,"Dead Stock Candidate"
"72740B",696,10.12,1.00,"Dead Stock Candidate"
"21772",702,12.75,1.00,"Dead Stock Candidate"
"84641",680,0.00,1.00,"Dead Stock Candidate"
"85043",680,-9.90,1.00,"Dead Stock Candidate"
"20715",688,0.00,1.00,"Dead Stock Candidate"
"20791",651,0.00,1.00,"Dead Stock Candidate"
"84867B",682,54.28,1.00,"Dead Stock Candidate"
"85232C",692,4.95,1.00,"Dead Stock Candidate"
"48173A",681,6.75,1.00,"Dead Stock Candidate"
"72796C",690,1.65,1.00,"Dead Stock Candidate"
"35822B",681,87.02,1.00,"Dead Stock Candidate"
"84868A",677,13.90,1.00,"Dead Stock Candidate"
"21857",687,20.46,1.00,"Dead Stock Candidate"
"90082C",666,33.51,1.20,"Dead Stock Candidate"
"16044",658,389.64,1.25,"Dead Stock Candidate"
"84798C",672,40.80,1.33,"Dead Stock Candidate"
"37326",619,7.97,1.67,"Dead Stock Candidate"
"71434B",638,7.65,1.67,"Dead Stock Candidate"
"85218",660,620.85,1.75,"Dead Stock Candidate"
"37451",670,-3.55,2.00,"Dead Stock Candidate"
"84311",667,18.15,2.00,"Dead Stock Candidate"
"82011E",665,7.50,2.00,"Dead Stock Candidate"
"44217M",659,0.00,2.00,"Dead Stock Candidate"
"20822",675,0.00,2.00,"Dead Stock Candidate"
"72751C",670,5.95,2.00,"Dead Stock Candidate"
"21008",676,5.02,2.00,"Dead Stock Candidate"
"21701",660,-20.28,2.00,"Dead Stock Candidate"
"85192S",668,1.95,2.00,"Dead Stock Candidate"
"20891",599,456.76,2.20,"Dead Stock Candidate"
"17027A",639,84.84,2.50,"Dead Stock Candidate"
"37409",606,5.95,2.67,"Dead Stock Candidate"
"84366",574,15.00,2.75,"Dead Stock Candidate"
"84205C",646,0.38,3.00,"Dead Stock Candidate"
"35950",645,1.25,3.00,"Dead Stock Candidate"
"85186B",627,5.88,3.00,"Dead Stock Candidate"
"72084B",622,3.90,3.00,"Dead Stock Candidate"
"90189B",588,22.50,3.00,"Dead Stock Candidate"
"84814A",622,1.95,3.00,"Dead Stock Candidate"
"37379B",625,181.50,3.00,"Dead Stock Candidate"
"84720",624,147.05,3.00,"Dead Stock Candidate"
"46138D",624,1.95,3.00,"Dead Stock Candidate"
"37481",551,15.30,3.33,"Dead Stock Candidate"
"84962",568,179.85,3.50,"Dead Stock Candidate"
"78026",461,169.90,3.67,"Dead Stock Candidate"
"90095",530,27.97,4.00,"Dead Stock Candidate"
"16169A",588,10.50,4.00,"Dead Stock Candidate"
"84857A",567,68.00,4.00,"Dead Stock Candidate"
"21511",567,16.80,4.50,"Dead Stock Candidate"
"35978",519,0.00,4.50,"Dead Stock Candidate"
"35823P",512,5.90,4.50,"Dead Stock Candidate"
"90000C",689,18.69,4.67,"Dead Stock Candidate"
"72805",670,16.90,5.00,"Dead Stock Candidate"
"85050",577,100.80,5.00,"Dead Stock Candidate"
"84760L",583,896.00,5.00,"Dead Stock Candidate"
"84575B",662,23.80,5.00,"Dead Stock Candidate"
"72038B",568,0.00,5.00,"Dead Stock Candidate"
"21699",662,82.44,5.00,"Dead Stock Candidate"
"84967A",411,174.90,5.25,"Dead Stock Candidate"
"84546",512,34.65,5.33,"Dead Stock Candidate"
"90127B",455,2.50,5.50,"Dead Stock Candidate"
"82072",468,6.25,5.67,"Dead Stock Candidate"
"90126B",622,16.96,6.00,"Dead Stock Candidate"
"79308B",527,122.40,6.00,"Dead Stock Candidate"
"22864",527,158.76,6.00,"Dead Stock Candidate"
"35537",568,5.46,6.33,"Dead Stock Candidate"
"21858",590,20.46,6.33,"Dead Stock Candidate"
"84570B",687,19.80,6.50,"Dead Stock Candidate"
"84964B",401,990.00,6.50,"Dead Stock Candidate"
"84964A",401,630.00,6.50,"Dead Stock Candidate"
"90013E",694,17.14,6.50,"Dead Stock Candidate"
"17011B",476,11.10,6.50,"Dead Stock Candidate"
"46037A",483,7.50,6.50,"Dead Stock Candidate"
"84255A",687,4.20,6.50,"Dead Stock Candidate"
"22126",514,0.00,7.00,"Dead Stock Candidate"
"45014",511,4.65,7.00,"Dead Stock Candidate"
"79140",406,6.30,7.00,"Dead Stock Candidate"
"84965A",401,1050.00,7.33,"Dead Stock Candidate"
"17013C",646,49.14,7.50,"Dead Stock Candidate"
"90091",423,2.55,7.50,"Dead Stock Candidate"
"35652",640,21.50,7.50,"Dead Stock Candidate"
"21585",495,1.65,8.00,"Dead Stock Candidate"
"90060C",523,41.65,8.00,"Dead Stock Candidate"
"20812",679,12.75,8.33,"Dead Stock Candidate"
"84925E",695,130.05,8.33,"Dead Stock Candidate"
"72785B",678,10.90,8.33,"Dead Stock Candidate"
"10002R",682,41.14,8.33,"Dead Stock Candidate"
"84942",683,5.07,8.33,"Dead Stock Candidate"
