"stock_code","overdue_multiple","monetary_net","frequency_completed","recency_days"
"21480",1884.2,1101.79,57,716
"22528",795.7,8860.74,554,366
"37503",763.8,26556.41,523,359
"79029",657.5,5825.14,343,480
"47568",647.7,5442.29,410,421
"20913",616.1,1010.39,43,690
"21437",607.8,2460.99,109,620
"21780",593.2,2656.15,32,694
"22862",528.3,3736.44,221,317
"47505",518.9,3631.14,179,550
"21384",502.7,2153.57,150,568
"84578",502.5,1114.14,113,603
"79072",498.2,3848.65,107,553
"21649",494.1,1193.23,29,667
"84270",470.5,4733.10,477,367
"48197",469.8,7373.33,227,498
"85014D",465.4,6721.30,90,619
"84937",460.3,5923.46,126,580
"84520B",444.4,8051.10,732,280
"72484",441.8,1024.55,64,645
"22290",422.6,1275.74,78,617
"21255",413.8,1021.61,96,600
"22253",403.3,1220.17,86,609
"85232B",384.6,15721.45,562,300
"84396",368.9,1689.44,49,653
"20747",365.2,14181.89,108,566
"79067",362.9,7554.00,397,352
"21777",360.4,9969.72,367,364
"21869",359.2,1487.06,111,564
"72756",354.2,5449.05,129,542
"37502",349.3,2895.73,171,496
"21186",348.5,9320.79,369,359
"21241",345.9,1980.69,260,422
"22122",344.2,3537.81,191,475
"21779",343.5,1062.75,22,687
"20729",329.9,2373.84,121,541
"21590",324.8,4121.28,286,393
"21527",323.4,25544.74,832,207
"22198",321.7,14641.22,646,222
"21842",319.3,1360.33,47,645
"22275",317.1,8392.21,313,371
"22765",316.5,3791.35,53,364
"47570",314.4,2649.47,78,591
"21077",309.5,2125.67,192,455
"21431",307.1,2737.62,279,387
"21837",304.3,1948.18,91,569
"21593",303.2,1600.56,94,564
"47591C",300.0,2258.09,162,480
"84510B",297.0,1678.10,148,493
"21486",288.2,4806.72,294,366
"84839",288.1,9213.80,394,242
"84837",287.2,3504.83,143,494
"85042",280.0,11630.72,293,336
"21214",273.1,3261.99,200,426
"37494A",271.4,1097.25,54,616
"21091",270.8,1920.24,47,631
"22926",269.6,4457.82,216,213
"17129D",267.2,2357.82,40,644
"21203",267.0,2742.50,145,478
"22172",265.2,4030.64,185,435
"85217",264.5,2149.39,165,455
"21396",262.4,1322.72,77,572
"82597",258.3,2800.69,215,403
"22612",257.1,4069.05,109,437
"21432",256.0,5443.82,237,384
"21542",255.4,1662.90,190,424
"22242",250.8,7758.42,368,296
"22218",248.6,6073.82,265,358
"84469",244.1,2408.14,44,625
"20990",242.3,1829.18,103,458
"84327A",241.4,1845.06,123,490
"46775A",240.6,1986.76,32,652
"21529",239.9,2004.38,153,451
"72008",238.7,1571.80,215,389
"21482",238.3,2686.07,184,417
"21491",231.8,5467.52,248,357
"21589",231.7,2563.05,88,526
"21330",231.6,2760.24,201,396
"84791",230.5,1290.96,106,507
"21549",227.1,1297.28,51,604
"35004C",226.2,18432.25,380,276
"21477",226.0,3278.13,45,617
"85065",224.0,7936.58,257,289
"20692",223.5,3922.77,139,456
"21488",222.8,11655.01,359,283
"21541",221.7,1773.68,201,388
"22177",218.6,3396.28,125,470
"21923",217.5,2825.63,119,448
"82607A",214.7,1140.21,160,423
"21737",211.2,7405.17,164,416
"47556B",210.8,13663.37,454,234
"21550",209.6,1687.32,64,566
"21438",209.3,1267.44,36,630
"82599",208.7,6256.82,506,215
"20993",208.5,1362.73,32,640
