"population","frequency_completed"
"Customer",3
"Customer",8
"Customer",5
"Customer",3
"Customer",1
"Customer",1
"Customer",9
"Customer",2
"Customer",1
"Customer",2
"Customer",6
"Customer",2
"Customer",5
"Customer",10
"Customer",6
"Customer",4
"Customer",10
"Customer",2
"Customer",4
"Customer",1
"Customer",1
"Customer",1
"Customer",1
"Customer",3
"Customer",7
"Customer",4
"Customer",3
"Customer",3
"Customer",3
"Customer",2
"Customer",2
"Customer",4
"Customer",2
"Customer",4
"Customer",8
"Customer",3
"Customer",5
"Customer",2
"Customer",1
"Customer",2
"Customer",1
"Customer",8
"Customer",3
"Customer",1
"Customer",6
"Customer",1
"Customer",6
"Customer",2
"Customer",15
"Customer",1
"Customer",2
"Customer",1
"Customer",7
"Customer",1
"Customer",1
"Customer",6
"Customer",2
"Customer",1
"Customer",5
"Customer",5
"Customer",8
"Customer",7
"Customer",3
"Customer",1
"Customer",6
"Customer",4
"Customer",4
"Customer",24
"Customer",1
"Customer",20
"Customer",4
"Customer",2
"Customer",1
"Customer",6
"Customer",12
"Customer",10
"Customer",4
"Customer",2
"Customer",2
"Customer",3
"Customer",8
"Customer",8
"Customer",1
"Customer",25
"Customer",4
"Customer",10
"Customer",3
"Customer",6
"Customer",1
"Customer",38
"Customer",2
"Customer",2
"Customer",2
"Customer",1
"Customer",1
"Customer",1
"Customer",5
"Customer",2
"Customer",1
"Customer",1
"Customer",1
"Customer",5
"Customer",5
"Customer",8
"Customer",1
"Customer",1
"Customer",4
"Customer",9
"Customer",3
"Customer",7
"Customer",4
"Customer",1
"Customer",1
"Customer",1
"Customer",2
"Customer",4
"Customer",8
"Customer",2
"Customer",1
"Customer",5
"Customer",2
"Customer",1
"Customer",71
"Customer",19
"Customer",3
"Customer",29
"Customer",2
"Customer",18
"Customer",9
"Customer",1
"Customer",1
"Customer",7
"Customer",14
"Customer",27
"Customer",19
"Customer",9
"Customer",1
"Customer",1
"Customer",1
"Customer",3
"Customer",1
"Customer",20
"Customer",1
"Customer",3
"Customer",2
"Customer",9
"Customer",1
"Customer",2
"Customer",3
"Customer",3
"Customer",1
"Customer",18
"Customer",1
"Customer",5
"Customer",1
"Customer",4
"Customer",1
"Customer",1
"Customer",4
"Customer",2
"Customer",1
"Customer",7
"Customer",1
"Customer",2
"Customer",1
"Customer",2
"Customer",1
"Customer",4
"Customer",4
"Customer",5
"Customer",2
"Customer",5
"Customer",1
"Customer",2
"Customer",23
"Customer",17
"Customer",3
"Customer",3
"Customer",5
"Customer",6
"Customer",1
"Customer",9
"Customer",2
"Customer",1
"Customer",2
"Customer",1
"Customer",2
"Customer",1
"Customer",1
"Customer",2
"Customer",7
"Customer",32
"Customer",3
"Customer",2
"Customer",1
"Customer",1
"Customer",2
"Customer",2
"Customer",3
"Customer",1
"Customer",5
"Customer",1
"Customer",1
"Customer",1
"Customer",12
"Customer",1
"Customer",2
"Customer",8
"Customer",1
"Customer",2
"Customer",2
"Customer",1
"Customer",9
"Customer",1
"Customer",1
"Customer",1
"Customer",1
"Customer",15
"Customer",1
"Customer",32
"Customer",2
"Customer",2
"Customer",5
"Customer",1
"Customer",2
"Customer",8
"Customer",8
"Customer",4
"Customer",1
"Customer",2
"Customer",1
"Customer",4
"Customer",27
"Customer",9
"Customer",2
"Customer",4
"Customer",1
"Customer",3
"Customer",6
"Customer",1
"Customer",3
"Customer",4
"Customer",3
"Customer",14
"Customer",1
"Customer",2
"Customer",4
"Customer",10
"Customer",13
"Customer",20
"Customer",6
"Customer",1
"Customer",1
"Customer",2
"Customer",3
"Customer",1
"Customer",1
"Customer",9
"Customer",4
