"customer_id","recency_days","frequency_completed","monetary_net"
"18102",0,145,578408.64
"14646",1,146,523202.74
"14156",9,144,297775.01
"14911",0,373,258522.43
"17450",7,51,233643.91
"13694",3,143,190391.50
"17511",2,60,168504.44
"12415",23,24,143107.02
"16684",3,55,141530.29
"15061",3,127,124982.13
"15311",0,207,111444.36
"13089",2,203,109893.24
"17949",0,116,98469.06
"16029",38,106,97066.71
"14298",2,82,90489.31
"15769",6,46,84183.52
"13798",0,110,73177.50
"15838",10,34,72738.93
"12931",21,57,71546.97
"17841",1,211,67275.26
"14088",9,16,63731.63
"16422",16,107,59939.52
"13081",0,28,55968.97
"17389",0,61,54945.68
"16754",371,29,54692.82
"13093",266,55,53283.30
"14096",3,17,53258.43
"14680",24,58,53080.02
"16013",3,84,51615.64
"17850",301,155,50407.77
"13408",1,106,49751.36
"13777",0,61,49228.16
"12748",0,322,46671.23
"17404",3,21,45863.82
"13881",3,43,44392.50
"16705",0,42,42653.14
"15098",181,3,39619.50
"15039",9,93,38853.04
"17675",0,70,37067.02
"17381",8,38,36395.47
"14031",6,44,36112.53
"17677",1,54,34233.35
"12921",3,74,33951.65
"16210",1,33,33545.52
"13767",1,73,33480.82
"12471",1,71,33294.92
"16779",1,53,32522.40
"12678",41,15,32165.13
"15856",3,52,31871.79
"14258",8,25,31027.35
"17428",0,45,30885.06
"13902",631,5,30375.26
"14606",0,184,28913.22
"12709",2,32,28708.10
"13098",0,28,28658.88
"17940",48,14,28389.58
"13078",0,57,28369.44
"12681",14,44,26679.24
"16333",7,22,26626.80
"14527",2,121,26359.18
"18251",86,9,26278.86
"15513",30,35,25959.16
"17857",2,23,25653.84
"17865",30,46,25584.75
"12731",23,17,25540.21
"13802",137,19,25491.56
"14062",9,24,25416.28
"12939",63,20,25264.80
"15498",2,44,24739.06
"14895",7,38,24488.82
"13001",3,33,24006.60
"17920",3,54,23563.33
"15640",3,29,23340.29
"12409",78,7,23090.47
"16525",1,48,22919.40
"16133",3,56,22228.88
"13340",44,12,22100.56
"15159",1,34,22049.40
"12482",575,27,21941.72
"12621",1,35,21900.70
"15749",234,3,21535.90
"14051",0,37,21441.48
"15615",9,47,21282.07
"12753",3,6,21024.01
"13319",4,58,20974.96
"12682",3,51,20648.12
"14866",10,17,20507.59
"16839",8,44,20420.53
"12477",22,9,20173.64
"14667",10,54,20153.04
"15251",8,21,20118.92
"17243",0,69,20004.03
"18008",69,23,19759.08
"16843",42,35,19528.78
"17139",15,25,19473.91
"12540",19,32,19159.29
"17340",8,18,19159.01
"17706",3,31,19066.07
"14194",4,36,18442.87
"12557",15,8,18096.14
"16746",4,42,18010.50
"17581",0,43,17543.99
"12357",32,2,17437.66
"14952",45,32,17347.25
"16652",53,16,17312.83
"18172",14,52,17289.23
"14607",15,20,17226.23
"17416",29,22,17221.47
"17377",23,78,17184.23
"13027",113,19,17143.20
"15523",83,16,17119.24
"15189",0,46,17101.13
"15078",6,52,17091.37
"15808",305,21,17038.95
"12433",0,10,16794.14
"17735",1,26,16707.98
"16019",1,27,16503.46
"16553",162,33,16500.12
"14961",10,22,16328.90
"12901",8,28,16316.14
"16656",21,30,16307.72
"13113",0,37,16250.09
"15358",4,42,16213.65
"16180",99,13,16170.27
"15125",24,24,16124.33
"13199",3,66,15921.30
"12980",155,21,15909.39
"13225",2,16,15879.27
"17716",22,24,15671.32
"15044",18,32,15653.61
"13564",353,36,15613.10
"17107",32,10,15595.37
"14769",2,17,15437.25
"12949",30,22,15391.00
"15768",115,34,15307.26
"12971",3,116,15218.05
"14849",21,43,15186.60
"16191",2,24,15155.17
"18092",1,18,14687.47
"16126",28,15,14644.60
"16873",4,12,14547.03
"17448",528,41,14375.01
"14733",8,15,14200.78
"12472",30,19,14169.69
"15601",10,30,14150.84
"13488",16,23,14131.81
"13178",25,21,13997.89
"16713",18,32,13943.36
"12435",79,6,13925.93
"12647",21,35,13919.74
"17589",59,18,13661.22
"15382",14,12,13646.50
"18087",143,16,13563.62
"18223",1,26,13504.67
"15005",15,56,13410.90
"13629",22,19,13370.86
"12744",55,8,13158.16
"16558",0,38,13149.56
"15291",25,39,13077.44
"15093",17,23,13034.15
"15738",18,41,13015.42
"17133",15,12,12972.09
"14110",3,33,12959.60
"14049",16,13,12848.40
"12989",2,33,12846.80
"13969",6,35,12820.36
"13316",36,10,12818.42
"12714",8,12,12815.71
"13097",32,27,12811.56
"13952",210,14,12790.89
"16549",9,34,12759.25
"13090",8,23,12744.93
"18225",2,26,12643.25
"14299",7,27,12620.28
"13668",2,35,12607.68
"16923",11,32,12572.15
"13468",1,72,12518.01
"12451",10,8,12506.53
"17858",5,30,12458.65
"12583",2,27,12409.04
"17017",2,29,12397.49
"16000",2,3,12393.70
"14936",8,12,12378.46
"14040",40,35,12340.13
"16161",1,43,12279.97
"15144",7,29,12006.51
"14543",3,39,11958.76
"12476",0,18,11920.12
"16814",13,36,11906.45
"14735",3,55,11899.66
"13687",437,1,11880.84
"17044",8,12,11867.60
"13458",6,16,11850.62
"13854",8,39,11848.81
"16258",44,15,11833.52
"14415",0,23,11803.62
"15194",2,28,11781.52
"17338",16,17,11777.49
"16523",1,28,11760.54
"18226",38,26,11749.58
"15465",19,32,11670.90
"14505",16,19,11590.04
"17364",0,27,11587.05
"14739",1,25,11555.69
"13050",8,34,11525.54
"15023",2,20,11477.01
"15218",10,22,11393.26
"14016",153,11,11279.71
"13418",11,31,11242.22
"12539",21,7,11186.75
"13576",9,28,11167.00
"13004",11,36,11143.99
"15874",62,21,11135.00
"14134",382,15,11123.35
"13102",0,37,11123.30
"14426",18,17,11103.97
"13013",0,29,11073.48
"12437",1,38,11011.85
"12705",14,13,10906.00
"12481",22,14,10889.15
"12474",16,29,10886.75
"18052",564,1,10877.18
"15555",11,36,10866.36
"16985",16,23,10545.76
"15032",255,8,10515.05
"16033",5,27,10465.07
"12567",22,15,10425.44
"13324",31,18,10421.37
"15290",4,26,10355.58
"16168",10,66,10279.02
"16984",77,9,10206.40
"15296",43,12,10204.13
"17160",30,17,10201.36
"14422",0,19,10200.92
"12683",3,20,10167.52
"18229",11,28,10150.51
"15719",32,31,10117.22
"18055",6,14,10110.59
"16327",13,16,10103.22
"17809",15,20,10014.58
"15547",6,26,9989.15
"13985",3,22,9982.31
"16182",71,9,9971.65
"14796",0,27,9971.20
"12431",35,25,9963.66
"14101",73,13,9942.13
"13680",0,12,9899.56
"15482",15,18,9891.12
"16131",51,12,9866.27
"14755",9,25,9851.45
"12668",6,9,9842.06
"13941",21,15,9826.63
"14828",196,13,9803.46
"16353",3,38,9781.93
"12758",116,7,9779.00
"12524",8,17,9759.36
"17306",10,21,9751.77
"13018",15,35,9742.81
"18260",172,23,9737.10
"15694",0,23,9719.13
"14329",8,15,9695.92
"14085",1,32,9692.92
"15805",22,30,9668.62
"16701",8,26,9614.59
"17049",2,19,9588.83
"14944",29,19,9574.92
"16782",9,38,9552.62
"14091",653,2,9530.08
"12839",2,26,9529.72
"14063",686,7,9471.50
"17315",0,41,9467.45
"14439",319,5,9443.04
"13999",9,29,9438.01
"13599",0,33,9435.47
"13735",24,13,9422.36
"18109",1,38,9416.41
"15727",16,15,9371.71
"17811",3,47,9351.83
"14045",108,16,9334.23
"12590",189,1,9330.48
"15981",24,21,9284.07
"17504",205,18,9238.42
"13267",2,36,9212.06
"17230",263,18,9159.45
"15249",31,18,9147.15
"14367",7,16,9134.12
"13162",121,16,9116.94
"16709",84,14,9056.01
"15939",89,15,8992.09
"17757",0,56,8990.49
"15150",16,13,8967.44
"17068",11,47,8945.53
"13327",38,19,8914.42
"14292",7,16,8887.90
"14060",4,30,8882.30
"14709",14,25,8866.48
"15903",9,12,8859.82
"14135",1,24,8800.80
"13555",73,13,8798.99
"12747",1,26,8786.53
"15867",4,31,8780.77
"12490",4,20,8759.64
"16532",17,5,8756.64
"16700",8,25,8747.12
"15260",99,25,8677.88
"16186",22,26,8676.23
"15570",6,25,8672.44
"12359",7,10,8652.34
"13263",0,38,8650.98
"15497",17,9,8643.46
"12957",3,13,8628.42
"13756",1,23,8595.65
"16550",108,18,8550.92
"13758",11,14,8544.29
"17576",7,41,8534.45
"16945",21,33,8530.66
"12798",9,4,8510.93
"13269",0,28,8507.01
"18139",17,6,8438.34
"13209",29,13,8438.06
"14160",609,7,8421.47
"14286",23,7,8396.70
"15786",43,5,8379.65
"13069",0,38,8358.79
"15281",58,16,8317.62
"13448",16,12,8312.52
"13206",399,13,8308.19
"15984",2,30,8304.82
"17686",6,9,8296.81
"14676",30,12,8285.49
"14057",23,22,8276.10
"14146",8,12,8208.87
"15034",15,14,8200.25
"13139",15,8,8193.83
"15998",36,16,8186.19
"13381",20,12,8185.02
"16722",16,22,8168.31
"17365",12,15,8160.30
"17396",38,13,8159.10
"17611",3,28,8149.93
"16672",1,20,8119.69
"13047",45,23,8110.09
"13715",280,17,8108.09
"12766",3,9,8093.14
"13426",0,22,8084.38
"15502",15,12,8076.45
"12637",66,12,8071.16
"14056",0,23,8063.30
"15955",23,22,8050.23
"17593",3,11,8040.52
"13869",122,10,7996.87
"13148",28,26,7990.11
"13174",15,11,7972.46
"15298",1,23,7958.43
"14525",8,17,7952.76
"16767",30,15,7950.41
"18041",11,38,7936.04
"14291",1,23,7844.40
"16303",25,7,7823.72
"13871",22,17,7804.95
"17409",184,10,7793.51
"16670",16,20,7786.66
"12867",25,13,7782.91
"15544",8,20,7779.58
"17730",2,20,7757.35
"14395",1,20,7754.73
