"customer_id","recency_days","frequency_completed","monetary_net","first_purchase_date","last_order_date","population","non_cohort_row_number"
"16933",0,9,3017.65,"2009-12-09 15:03:00","2011-12-08 12:54:00","Non-Cohort",4080
"14796",0,27,9971.20,"2009-12-14 15:06:00","2011-12-08 15:31:00","Non-Cohort",2182
"17530",0,12,2786.15,"2009-12-06 16:17:00","2011-12-08 18:42:00","Non-Cohort",4596
"16688",0,4,1260.86,"2011-10-10 12:23:00","2011-12-08 15:24:00","Non-Cohort",3867
"14056",0,23,8063.30,"2011-02-28 15:19:00","2011-12-08 13:36:00","Non-Cohort",1520
"15399",0,3,815.77,"2011-09-21 15:57:00","2011-12-08 13:04:00","Non-Cohort",2717
"17757",0,56,8990.49,"2010-01-13 15:56:00","2011-12-08 15:31:00","Non-Cohort",4796
"17644",0,20,5864.54,"2010-02-16 08:44:00","2011-12-08 13:43:00","Non-Cohort",4699
"16401",0,23,6629.24,"2010-06-02 13:13:00","2011-12-08 18:15:00","Non-Cohort",3611
"17144",0,2,984.57,"2011-09-16 12:50:00","2011-12-08 17:57:00","Non-Cohort",4266
"12433",0,10,16794.14,"2010-08-20 09:23:00","2011-12-09 10:02:00","Non-Cohort",77
"15694",0,23,9719.13,"2009-12-07 15:43:00","2011-12-09 09:44:00","Non-Cohort",2983
"13798",0,110,73177.50,"2009-12-08 16:21:00","2011-12-08 15:51:00","Non-Cohort",1293
"12526",0,3,1172.66,"2011-09-06 14:19:00","2011-12-09 12:09:00","Non-Cohort",164
"13269",0,28,8507.01,"2009-12-02 11:47:00","2011-12-08 14:53:00","Non-Cohort",827
"15804",0,13,3848.55,"2011-05-25 10:12:00","2011-12-09 12:31:00","Non-Cohort",3084
"14730",0,8,1897.57,"2011-03-08 12:49:00","2011-12-08 14:39:00","Non-Cohort",2119
"16833",0,6,2409.04,"2010-03-26 15:31:00","2011-12-08 14:39:00","Non-Cohort",3991
"12423",0,10,2291.19,"2010-08-31 09:31:00","2011-12-09 10:10:00","Non-Cohort",67
"14051",0,37,21441.48,"2009-12-03 11:53:00","2011-12-09 10:20:00","Non-Cohort",1515
"13298",0,1,360.00,"2011-12-08 13:11:00","2011-12-08 13:11:00","Non-Cohort",850
"13536",0,7,3444.39,"2011-09-25 13:30:00","2011-12-08 16:38:00","Non-Cohort",1066
"15189",0,46,17101.13,"2010-07-18 13:37:00","2011-12-08 13:22:00","Non-Cohort",2532
"13077",0,11,2716.15,"2009-12-11 11:17:00","2011-12-08 19:24:00","Non-Cohort",657
"14422",0,19,10200.92,"2009-12-17 12:12:00","2011-12-09 11:26:00","Non-Cohort",1840
"13883",0,14,6321.59,"2009-12-23 10:00:00","2011-12-08 19:20:00","Non-Cohort",1369
"17490",0,9,2595.01,"2010-05-19 12:40:00","2011-12-09 09:08:00","Non-Cohort",4561
"13318",0,3,640.76,"2011-11-02 13:26:00","2011-12-08 18:51:00","Non-Cohort",868
"13081",0,28,55968.97,"2009-12-08 13:58:00","2011-12-08 13:13:00","Non-Cohort",661
"13599",0,33,9435.47,"2009-12-01 12:30:00","2011-12-08 19:26:00","Non-Cohort",1117
"15910",0,15,2661.17,"2010-01-21 11:51:00","2011-12-09 10:51:00","Non-Cohort",3177
"14702",0,29,6298.48,"2009-12-10 20:22:00","2011-12-08 19:29:00","Non-Cohort",2095
"17315",0,41,9467.45,"2010-09-27 12:45:00","2011-12-09 11:58:00","Non-Cohort",4412
"14441",0,11,4426.99,"2010-01-18 10:40:00","2011-12-09 09:07:00","Non-Cohort",1857
"13069",0,38,8358.79,"2010-06-14 14:27:00","2011-12-09 08:39:00","Non-Cohort",650
"17528",0,8,3540.10,"2011-09-29 13:04:00","2011-12-08 13:27:00","Non-Cohort",4594
"13471",0,4,2501.84,"2011-10-23 13:10:00","2011-12-08 15:44:00","Non-Cohort",1004
"17949",0,116,98469.06,"2009-12-02 11:07:00","2011-12-08 18:46:00","Non-Cohort",4959
"17001",0,19,6640.80,"2010-03-25 12:41:00","2011-12-09 09:38:00","Non-Cohort",4136
"17526",0,12,3450.04,"2009-12-17 16:18:00","2011-12-08 18:56:00","Non-Cohort",4592
"13078",0,57,28369.44,"2009-12-01 09:06:00","2011-12-08 18:48:00","Non-Cohort",658
"15156",0,3,961.49,"2011-11-06 12:41:00","2011-12-08 18:22:00","Non-Cohort",2506
