"customer_id","recency_days","frequency_completed","monetary_net","spike_tier"
"12346",325,3,169.36,"Below Top Decile"
"12347",1,8,4921.53,"Below Top Decile"
"12348",74,5,1658.40,"Below Top Decile"
"12349",18,3,3654.54,"Below Top Decile"
"12350",309,1,294.40,"Below Top Decile"
"12351",374,1,300.93,"Below Top Decile"
"12352",35,9,1609.21,"Below Top Decile"
"12353",203,2,406.76,"Below Top Decile"
"12354",231,1,1079.40,"Below Top Decile"
"12355",213,2,947.61,"Below Top Decile"
"12356",22,6,5611.73,"Top Decile (Spike Zone)"
"12357",32,2,17437.66,"Top Decile (Spike Zone)"
"12358",1,5,3447.07,"Below Top Decile"
"12359",7,10,8652.34,"Top Decile (Spike Zone)"
"12360",51,6,3612.89,"Below Top Decile"
"12361",286,4,451.25,"Below Top Decile"
"12362",2,10,4665.58,"Below Top Decile"
"12363",109,2,552.00,"Below Top Decile"
"12364",7,4,1208.10,"Below Top Decile"
"12365",290,1,320.69,"Below Top Decile"
"12366",633,1,500.24,"Below Top Decile"
"12367",3,1,150.90,"Below Top Decile"
"12368",627,1,917.70,"Below Top Decile"
"12369",412,3,1511.15,"Below Top Decile"
"12370",50,7,3956.56,"Below Top Decile"
"12371",59,4,3347.38,"Below Top Decile"
"12372",71,3,1196.04,"Below Top Decile"
"12373",310,3,927.65,"Below Top Decile"
"12374",24,3,2669.22,"Below Top Decile"
"12375",2,2,375.42,"Below Top Decile"
"12376",389,2,383.15,"Below Top Decile"
"12377",314,4,3266.32,"Below Top Decile"
"12378",129,2,5416.32,"Top Decile (Spike Zone)"
"12379",81,4,1468.27,"Below Top Decile"
"12380",21,8,7171.00,"Top Decile (Spike Zone)"
"12381",4,3,1433.46,"Below Top Decile"
"12383",184,5,1617.31,"Below Top Decile"
"12384",28,2,406.16,"Below Top Decile"
"12385",378,1,1668.40,"Below Top Decile"
"12386",337,2,401.90,"Below Top Decile"
"12387",414,1,143.94,"Below Top Decile"
"12388",15,8,3901.11,"Below Top Decile"
"12389",402,3,1433.33,"Below Top Decile"
"12390",79,1,504.84,"Below Top Decile"
"12391",21,6,2699.24,"Below Top Decile"
"12392",590,1,234.75,"Below Top Decile"
"12393",71,6,2376.75,"Below Top Decile"
"12394",63,2,1080.48,"Below Top Decile"
"12395",15,15,4220.82,"Below Top Decile"
"12396",673,1,931.43,"Below Top Decile"
"12397",35,2,2214.90,"Below Top Decile"
"12398",45,1,1435.66,"Below Top Decile"
"12399",118,7,1842.30,"Below Top Decile"
"12400",413,1,205.25,"Below Top Decile"
"12401",302,1,69.30,"Below Top Decile"
"12402",322,6,1124.15,"Below Top Decile"
"12403",49,2,947.36,"Below Top Decile"
"12405",148,1,1390.39,"Below Top Decile"
"12406",21,5,6072.21,"Top Decile (Spike Zone)"
"12407",49,5,1507.12,"Below Top Decile"
"12408",32,8,3859.64,"Below Top Decile"
"12409",78,7,23090.47,"Top Decile (Spike Zone)"
"12410",300,3,761.46,"Below Top Decile"
"12411",409,1,346.90,"Below Top Decile"
"12412",74,6,2389.03,"Below Top Decile"
"12413",66,4,861.50,"Below Top Decile"
"12414",216,4,442.41,"Below Top Decile"
"12415",23,24,143107.02,"Top Decile (Spike Zone)"
"12416",656,1,202.56,"Below Top Decile"
"12417",2,20,5889.71,"Top Decile (Spike Zone)"
"12418",112,4,2016.95,"Below Top Decile"
"12419",385,2,391.01,"Below Top Decile"
"12420",63,1,600.39,"Below Top Decile"
"12421",15,6,869.60,"Below Top Decile"
"12422",95,12,3639.35,"Below Top Decile"
"12423",0,10,2291.19,"Below Top Decile"
"12424",162,4,3289.78,"Below Top Decile"
"12425",77,2,1680.81,"Below Top Decile"
"12426",194,2,1167.41,"Below Top Decile"
"12427",11,3,582.37,"Below Top Decile"
"12428",25,8,6366.00,"Top Decile (Spike Zone)"
"12429",8,8,5792.01,"Top Decile (Spike Zone)"
"12430",42,1,216.40,"Below Top Decile"
"12431",35,25,9963.66,"Top Decile (Spike Zone)"
"12432",42,4,4359.32,"Below Top Decile"
"12433",0,10,16794.14,"Top Decile (Spike Zone)"
"12434",84,3,1062.48,"Below Top Decile"
"12435",79,6,13925.93,"Top Decile (Spike Zone)"
"12436",99,1,429.01,"Below Top Decile"
"12437",1,38,11011.85,"Top Decile (Spike Zone)"
"12438",13,2,2466.85,"Below Top Decile"
"12439",682,2,1089.18,"Below Top Decile"
"12440",456,2,648.15,"Below Top Decile"
"12441",366,1,155.55,"Below Top Decile"
"12442",2,1,144.06,"Below Top Decile"
"12443",731,1,365.31,"Below Top Decile"
"12444",20,5,4085.46,"Below Top Decile"
"12445",21,2,370.48,"Below Top Decile"
"12446",57,1,1002.31,"Below Top Decile"
"12447",242,1,431.49,"Below Top Decile"
"12448",43,1,365.45,"Below Top Decile"
"12449",21,5,4274.89,"Below Top Decile"
"12450",155,5,666.95,"Below Top Decile"
"12451",10,8,12506.53,"Top Decile (Spike Zone)"
"12452",16,1,348.57,"Below Top Decile"
"12453",133,1,707.09,"Below Top Decile"
"12454",52,4,4098.96,"Below Top Decile"
"12455",72,9,5722.95,"Top Decile (Spike Zone)"
"12456",43,3,2553.89,"Below Top Decile"
"12457",57,7,2032.31,"Below Top Decile"
"12458",70,4,1502.49,"Below Top Decile"
"12459",604,1,398.36,"Below Top Decile"
"12460",455,1,296.65,"Below Top Decile"
"12461",154,1,626.88,"Below Top Decile"
"12462",1,2,872.01,"Below Top Decile"
"12463",45,4,1165.63,"Below Top Decile"
"12464",9,8,957.05,"Below Top Decile"
"12465",7,2,673.89,"Below Top Decile"
"12467",385,1,0.00,"Below Top Decile"
"12468",142,5,3192.55,"Below Top Decile"
"12469",522,2,3070.54,"Below Top Decile"
"12470",689,1,211.95,"Below Top Decile"
"12471",1,71,33294.92,"Top Decile (Spike Zone)"
"12472",30,19,14169.69,"Top Decile (Spike Zone)"
"12473",53,3,2545.27,"Below Top Decile"
"12474",16,29,10886.75,"Top Decile (Spike Zone)"
"12475",53,2,1065.64,"Below Top Decile"
"12476",0,18,11920.12,"Top Decile (Spike Zone)"
"12477",22,9,20173.64,"Top Decile (Spike Zone)"
"12478",3,1,545.99,"Below Top Decile"
"12479",3,1,423.30,"Below Top Decile"
"12480",27,7,4805.10,"Below Top Decile"
"12481",22,14,10889.15,"Top Decile (Spike Zone)"
"12482",575,27,21941.72,"Top Decile (Spike Zone)"
"12483",16,19,4007.93,"Below Top Decile"
