"stock_code","occurrences"
"POST",2122
"DOT",1446
"M",1421
"C2",282
"D",177
"S",104
"BANK CHARGES",102
"ADJUST",67
"AMAZONFEE",43
"DCGS0058",31
"gift_0001_30",29
"gift_0001_20",29
"DCGSSGIRL",25
"DCGSSBOY",23
"PADS",19
"gift_0001_10",16
"CRUK",16
"DCGS0076",15
"TEST001",15
"DCGS0003",14
"gift_0001_50",8
"gift_0001_40",7
"B",6
"DCGS0069",6
"DCGS0004",5
"m",5
"DCGS0066N",4
"gift_0001_80",4
"DCGS0072",4
"DCGS0068",3
"ADJUST2",3
"DCGS0070",3
"gift_0001_70",3
"SP1002",3
"gift_0001_90",2
"DCGS0037",2
"DCGS0062",2
"gift_0001_60",2
"TEST002",2
"DCGSLBOY",1
"DCGSLGIRL",1
"DCGS0060",1
"DCGS0059",1
"DCGS0057",1
"GIFT",1
"DCGS0056",1
"DCGS0055",1
"DCGS0071",1
"DCGS0044",1
"DCGS0041",1
"C3",1
"DCGS0039",1
"DCGS0036",1
"DCGS0027",1
"DCGS0016",1
"DCGS0006",1
"47503J ",1
"DCGS0067",1
"DCGS0053",1
"DCGS0066P",1
"DCGS0073",1
"DCGS0074",1
"DCGS0075",1
