"stock_code","description","count"
"47503A","ASS FLORAL PRINT MULTI SCREWDRIVER",205
"47503K","ASSORTED FLORAL SECATEURS",48
"47503H","check",1
"47503E","",2
"47503F","",3
"47503H","",2
"47503E","ASS FLORAL PRINT SCISSORS",25
"47503H","found",1
"47503K","",2
"47503G","ASS FLORAL PRINT TAPE MEASURE",36
"47503H","ASS FLORAL PRINT SPIRIT LEVEL ",68
"47503J ","SET/3 FLORAL GARDEN TOOLS IN BAG",1
"47503A","",2
"47503F","ASS FLORAL PRINT TORCH",13
"47503A","check",2
"47503J","SET/3 FLORAL GARDEN TOOLS IN BAG",80
"47503G","",1
