"invoice_no","stock_code","description","quantity","unit_price","customer_id","invoice_date"
"489825","22076","6 RIBBONS EMPIRE  ",12,0.00,"16126.0","2009-12-02 13:34:00"
"489998","48185","DOOR MAT FAIRY CAKE",2,0.00,"15658.0","2009-12-03 11:19:00"
"490727","M","Manual",1,0.00,"17231.0","2009-12-07 16:38:00"
"490961","22065","CHRISTMAS PUDDING TRINKET POT ",1,0.00,"14108.0","2009-12-08 15:25:00"
"490961","22142","CHRISTMAS CRAFT WHITE FAIRY ",12,0.00,"14108.0","2009-12-08 15:25:00"
"492079","85042","ANTIQUE LILY FAIRY LIGHTS",8,0.00,"15070.0","2009-12-15 13:49:00"
"492760","21143","ANTIQUE GLASS HEART DECORATION ",12,0.00,"18071.0","2009-12-18 14:22:00"
"493761","79320"," FLAMINGO LIGHTS",24,0.00,"14258.0","2010-01-06 14:54:00"
"493899","22355","CHARLOTTE BAG , SUKI DESIGN",10,0.00,"12417.0","2010-01-08 10:43:00"
"494607","21533","RETRO SPOT LARGE MILK JUG",12,0.00,"16858.0","2010-01-15 12:43:00"
"494914","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"16705.0","2010-01-19 17:04:00"
"496222","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"13583.0","2010-01-29 13:53:00"
"496473","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"17350.0","2010-02-01 15:38:00"
"496643","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"13408.0","2010-02-03 11:58:00"
"497819","TEST001","This is a test product.",5,0.00,"14103.0","2010-02-12 14:58:00"
"497843","TEST001","This is a test product.",5,0.00,"14827.0","2010-02-12 15:47:00"
"497935","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"13408.0","2010-02-15 10:47:00"
"498562","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"15182.0","2010-02-21 12:03:00"
"499056","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"13765.0","2010-02-24 13:46:00"
"499399","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"14459.0","2010-02-26 13:26:00"
"500073","21662","VINTAGE GLASS COFFEE CADDY",1,0.00,"13047.0","2010-03-04 11:44:00"
"501176","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"14857.0","2010-03-15 11:00:00"
"503585","22459","CAST IRON HOOK GARDEN TROWEL",8,0.00,"13047.0","2010-04-01 17:13:00"
"503585","22458","CAST IRON HOOK GARDEN FORK",8,0.00,"13047.0","2010-04-01 17:13:00"
"504332","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"12671.0","2010-04-12 16:30:00"
"505083","22376","AIRLINE BAG VINTAGE JET SET WHITE",1,0.00,"12623.0","2010-04-20 09:56:00"
"506303","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"14249.0","2010-04-29 10:43:00"
"511902","21765","HANGING METAL BIRD BATH",1,0.00,"12748.0","2010-06-11 11:12:00"
"512609","20914","SET/5 RED SPOTTY LID GLASS BOWLS",2,0.00,"14045.0","2010-06-17 10:12:00"
"513416","22423","REGENCY CAKESTAND 3 TIER",5,0.00,"13089.0","2010-06-24 12:34:00"
"516304","22690","DOORMAT HOME SWEET HOME BLUE ",6,0.00,"14025.0","2010-07-19 13:13:00"
"518231","22472","TV DINNER TRAY DOLLY GIRL",9,0.00,"12471.0","2010-08-05 15:28:00"
"521375","22202","MILK PAN PINK RETROSPOT",3,0.00,"12647.0","2010-09-05 11:58:00"
"522766","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"15182.0","2010-09-16 13:58:00"
"524181","46000M","POLYESTER FILLER PAD 45x45cm",648,0.00,"17450.0","2010-09-27 16:59:00"
"524701","22218","CAKE STAND LACE WHITE",2,0.00,"17667.0","2010-09-30 12:19:00"
"527084","22630","DOLLY GIRL LUNCH BOX",64,0.00,"14646.0","2010-10-14 15:33:00"
"527696","22121","NOEL WOODEN BLOCK LETTERS ",1,0.00,"13554.0","2010-10-18 15:13:00"
"531361","21843","RED RETROSPOT CAKE STAND",2,0.00,"12820.0","2010-11-07 14:26:00"
"531433","PADS","PADS TO MATCH ALL CUSHIONS",1,0.00,"13317.0","2010-11-08 11:54:00"
"532470","22624","IVORY KITCHEN SCALES",2,0.00,"12647.0","2010-11-12 11:41:00"
