"invoice_no","stock_code","description","quantity","unit_price","customer_id","invoice_date"
"490488","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"16718.0","2009-12-06 13:07:00"
"490926","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"15031.0","2009-12-08 13:38:00"
"490926","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"15031.0","2009-12-08 13:38:00"
"491340","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"12979.0","2009-12-10 15:45:00"
"491622","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"13415.0","2009-12-11 14:20:00"
"491622","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"13415.0","2009-12-11 14:20:00"
"494625","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"17851.0","2010-01-15 15:47:00"
"494625","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"17851.0","2010-01-15 15:47:00"
"494673","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"15311.0","2010-01-17 15:52:00"
"C495012","84826","ASSTD DESIGN 3D PAPER STICKERS",-60,0.85,"15311.0","2010-01-20 13:03:00"
"496431","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"16415.0","2010-02-01 12:30:00"
"496431","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"16415.0","2010-02-01 12:30:00"
"496431","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"16415.0","2010-02-01 12:30:00"
"496431","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"16415.0","2010-02-01 12:30:00"
"496431","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"16415.0","2010-02-01 12:30:00"
"496431","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"16415.0","2010-02-01 12:30:00"
"497200","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"13984.0","2010-02-07 11:29:00"
"501541","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"13478.0","2010-03-17 14:23:00"
"506253","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"17346.0","2010-04-28 13:53:00"
"512177","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"15150.0","2010-06-14 12:01:00"
"514985","84826","ASSTD DESIGN 3D PAPER STICKERS",4,0.85,"15494.0","2010-07-07 13:55:00"
"515588","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"14156.0","2010-07-13 13:11:00"
"516263","84826","ASSTD DESIGN 3D PAPER STICKERS",9,0.85,"17841.0","2010-07-19 11:59:00"
"522121","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"14911.0","2010-09-13 09:27:00"
"525082","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"14455.0","2010-10-03 15:48:00"
"526485","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"12649.0","2010-10-12 08:08:00"
"527891","84826","ASSTD DESIGN 3D PAPER STICKERS",2,0.85,"14524.0","2010-10-19 12:16:00"
"531115","84826","ASSTD DESIGN 3D PAPER STICKERS",10,0.20,"12748.0","2010-11-05 12:43:00"
"531239","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"13008.0","2010-11-07 10:34:00"
"536620","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"14135.0","2010-12-02 10:27:00"
"536620","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"14135.0","2010-12-02 10:27:00"
"C538702","84826","ASSTD DESIGN 3D PAPER STICKERS",-60,0.85,"13008.0","2010-12-14 10:28:00"
"538801","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"16083.0","2010-12-14 11:51:00"
"538870","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"12829.0","2010-12-14 14:54:00"
"538895","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"14401.0","2010-12-15 09:07:00"
"539038","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"15641.0","2010-12-15 14:45:00"
"539050","84826","ASSTD DESIGN 3D PAPER STICKERS",2,0.85,"12577.0","2010-12-15 16:21:00"
"539472","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"15581.0","2010-12-19 14:23:00"
"539472","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"15581.0","2010-12-19 14:23:00"
"539472","84826","ASSTD DESIGN 3D PAPER STICKERS",2,0.85,"15581.0","2010-12-19 14:23:00"
"539761","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"17593.0","2010-12-22 10:29:00"
"540122","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"13694.0","2011-01-05 10:39:00"
"540420","84826","ASSTD DESIGN 3D PAPER STICKERS",120,0.21,"12829.0","2011-01-07 11:13:00"
"540458","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"12501.0","2011-01-07 12:28:00"
"540477","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"13233.0","2011-01-07 14:49:00"
"540595","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"14321.0","2011-01-10 11:35:00"
"541594","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"14916.0","2011-01-19 15:30:00"
"542131","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"16133.0","2011-01-25 15:55:00"
"543820","84826","ASSTD DESIGN 3D PAPER STICKERS",6,0.85,"16084.0","2011-02-13 16:05:00"
"543915","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.21,"13717.0","2011-02-14 13:21:00"
"545909","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"15819.0","2011-03-08 09:45:00"
"551137","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"15581.0","2011-04-26 13:05:00"
"555336","84826","ASSTD DESIGN 3D PAPER STICKERS",3,0.85,"","2011-06-02 11:13:00"
"555841","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"14583.0","2011-06-07 12:47:00"
"559686","84826","ASSTD DESIGN 3D PAPER STICKERS",2,0.85,"17966.0","2011-07-11 15:26:00"
"562539","84826","ASSTD DESIGN 3D PAPER STICKERS",12,0.85,"17220.0","2011-08-05 15:30:00"
"564734","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.85,"12484.0","2011-08-28 13:32:00"
"572103","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"17571.0","2011-10-20 15:57:00"
"572103","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"17571.0","2011-10-20 15:57:00"
"572103","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"17571.0","2011-10-20 15:57:00"
"573361","84826","ASSTD DESIGN 3D PAPER STICKERS",8,0.85,"14456.0","2011-10-30 12:53:00"
"575336","84826","ASSTD DESIGN 3D PAPER STICKERS",4,0.85,"14968.0","2011-11-09 13:58:00"
"575337","84826","ASSTD DESIGN 3D PAPER STICKERS",5,0.85,"17867.0","2011-11-09 14:11:00"
"575337","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"17867.0","2011-11-09 14:11:00"
"575767","84826","ASSTD DESIGN 3D PAPER STICKERS",1,0.85,"17348.0","2011-11-11 11:11:00"
"578841","84826","ASSTD DESIGN 3D PAPER STICKERS",12540,0.00,"13256.0","2011-11-25 15:57:00"
"581133","84826","ASSTD DESIGN 3D PAPER STICKERS",32,0.19,"14904.0","2011-12-07 12:55:00"
"581141","84826","ASSTD DESIGN 3D PAPER STICKERS",60,0.19,"14132.0","2011-12-07 13:35:00"
