"invoice_no","stock_code","description","quantity","unit_price","customer_id","invoice_date"
"494166","84971S","SMALL HEART FLOWERS HOOK ",1,1.66,"","2010-01-12 09:47:00"
"494166","84975","HEART SHAPED MIRROR",2,3.36,"","2010-01-12 09:47:00"
"494166","84988","SET OF 72 PINK HEART PAPER DOILIES",2,2.98,"","2010-01-12 09:47:00"
"494166","84990","60 GOLD AND SILVER FAIRY CAKE CASES",2,1.28,"","2010-01-12 09:47:00"
"494166","84991","60 TEATIME FAIRY CAKE CASES",3,1.28,"","2010-01-12 09:47:00"
"494166","84992","72 SWEETHEART FAIRY CAKE CASES",1,1.28,"","2010-01-12 09:47:00"
"494166","85016","SET OF 6 VINTAGE NOTELETS KIT",1,2.51,"","2010-01-12 09:47:00"
"494166","85017A","ENVELOPE 50 ROMANTIC IMAGES",1,0.81,"","2010-01-12 09:47:00"
"494166","85017B","ENVELOPE 50 BLOSSOM IMAGES",1,0.81,"","2010-01-12 09:47:00"
"494166","85017C","ENVELOPE 50 CURIOUS IMAGES",1,0.81,"","2010-01-12 09:47:00"
"494166","85038","6 CHOCOLATE LOVE HEART T-LIGHTS",1,2.51,"","2010-01-12 09:47:00"
"494166","85049A","TRADITIONAL CHRISTMAS RIBBONS",1,2.51,"","2010-01-12 09:47:00"
"494166","85049B","LUSH GREENS RIBBONS",1,2.51,"","2010-01-12 09:47:00"
"494166","85049C","ROMANTIC PINKS RIBBONS ",1,2.51,"","2010-01-12 09:47:00"
"494166","85049D","BRIGHT BLUES RIBBONS ",1,2.51,"","2010-01-12 09:47:00"
"494166","85049E","SCANDINAVIAN REDS RIBBONS",1,2.51,"","2010-01-12 09:47:00"
"494166","85049F","BABY BOOM RIBBONS ",1,2.51,"","2010-01-12 09:47:00"
"494166","85099B","JUMBO BAG RED WHITE SPOTTY ",5,4.21,"","2010-01-12 09:47:00"
"494166","85123A","WHITE HANGING HEART T-LIGHT HOLDER",1,5.91,"","2010-01-12 09:47:00"
"494166","85129D","BEADED CRYSTAL HEART PINK SMALL",1,2.51,"","2010-01-12 09:47:00"
"494166","85132C","CHARLIE AND LOLA FIGURES TINS",1,8.47,"","2010-01-12 09:47:00"
"494166","85162C","WHITE RETRODISC LAMPSHADE",1,11.02,"","2010-01-12 09:47:00"
"494166","21212","PACK OF 72 RETRO SPOT CAKE CASES",5,1.28,"","2010-01-12 09:47:00"
"494166","21232","STRAWBERRY CERAMIC TRINKET BOX",2,2.51,"","2010-01-12 09:47:00"
"494166","21242","RED SPOTTY PLATE ",1,3.36,"","2010-01-12 09:47:00"
"494166","21255","FRENCH BOTTLE , LAVENDER",1,3.36,"","2010-01-12 09:47:00"
"494166","21256","FRENCH BOTTLE, BRASSERIE DES ARTIST",1,3.36,"","2010-01-12 09:47:00"
"494166","21293","MIRRORED DOVE WALL DECORATION",1,3.36,"","2010-01-12 09:47:00"
"494166","20723","STRAWBERRY CHARLOTTE BAG",1,1.66,"","2010-01-12 09:47:00"
"494166","20748","KENSINGTON COFFEE SET",5,8.47,"","2010-01-12 09:47:00"
"494166","20758","ABSTRACT CIRCLES POCKET BOOK",2,0.64,"","2010-01-12 09:47:00"
"494166","21656","RIDGED GLASS POSY VASE ",1,3.36,"","2010-01-12 09:47:00"
"494166","21665","TRIANGULAR RIDGED GLASS POSY HOLDER",2,1.66,"","2010-01-12 09:47:00"
"494166","21666"," RIDGED GLASS T-LIGHT HOLDER",2,1.66,"","2010-01-12 09:47:00"
"494166","21670","BLUE SPOT CERAMIC DRAWER KNOB",8,2.51,"","2010-01-12 09:47:00"
"494166","21671","RED SPOT CERAMIC DRAWER KNOB",2,2.51,"","2010-01-12 09:47:00"
"494166","21675","BUTTERFLIES STICKERS",2,0.81,"","2010-01-12 09:47:00"
"494166","22178","VICTORIAN GLASS HANGING T-LIGHT",3,2.51,"","2010-01-12 09:47:00"
"494166","22195","LARGE HEART MEASURING SPOONS",1,3.36,"","2010-01-12 09:47:00"
"494166","22224","WHITE LOVEBIRD LANTERN",2,5.91,"","2010-01-12 09:47:00"
"494166","22227","DECORATION, HANGING HEART+MIRROR ",1,1.28,"","2010-01-12 09:47:00"
"494166","22245","HOOK, 1 HANGER ,MAGIC GARDEN",1,1.66,"","2010-01-12 09:47:00"
"494166","22260","FELT EGG COSY BLUE RABBIT ",1,1.66,"","2010-01-12 09:47:00"
"494166","22261","FELT EGG COSY WHITE RABBIT ",1,1.66,"","2010-01-12 09:47:00"
"494166","22262","FELT EGG COSY CHICKEN",2,1.66,"","2010-01-12 09:47:00"
