"customer_id","frequency_completed_only","frequency_all_orders","cancellation_gap"
"14911",398,510,112
"17841",211,289,78
"14527",122,190,68
"14606",192,259,67
"15311",208,270,62
"12471",79,129,50
"14156",156,202,46
"13089",203,247,44
"13078",57,95,38
"17677",54,91,37
"16422",109,146,37
"13093",55,88,33
"13408",106,135,29
"12921",74,103,29
"14680",58,87,29
"12748",337,365,28
"18223",26,52,26
"13534",35,60,25
"17511",60,85,25
"13113",37,60,23
"13767",73,96,23
"12474",31,54,23
"16133",56,78,22
"13050",35,57,22
"17696",27,48,21
"12709",34,55,21
"13694",143,164,21
"15005",56,76,20
"17949",118,138,20
"13319",58,78,20
"17675",70,90,20
"13599",33,52,19
"16705",42,61,19
"16029",107,125,18
"14194",36,54,18
"13047",24,42,18
"12472",19,37,18
"13564",37,54,17
"14096",17,34,17
"16191",24,40,16
"17389",61,77,16
"13081",28,44,16
"17865",46,62,16
"16401",23,39,16
"13798",110,125,15
"14113",16,31,15
"12476",23,38,15
"13468",72,87,15
"12931",57,71,14
"15039",93,107,14
"17612",18,32,14
"14299",27,41,14
"15827",28,42,14
"14112",13,27,14
"16161",43,57,14
"16656",30,44,14
"13267",36,50,14
"13115",10,23,13
"17811",47,60,13
"17377",78,91,13
"16670",20,33,13
"15622",17,30,13
"15502",14,27,13
"15291",40,53,13
"15358",42,55,13
"14329",15,28,13
"13098",28,41,13
"14646",152,164,12
"12708",18,30,12
"14796",27,39,12
"13777",61,73,12
"16782",38,50,12
"13097",28,40,12
"18226",26,38,12
"13317",19,31,12
"13668",35,47,12
"15125",24,36,12
"15044",35,47,12
"17340",18,30,12
"14534",26,38,12
"15189",46,58,12
"17706",31,43,12
"17017",29,41,12
"14292",16,27,11
"15093",23,34,11
"14952",32,43,11
"14031",44,55,11
"17243",69,80,11
"15498",44,55,11
"16523",28,39,11
"18075",20,31,11
"12681",45,56,11
"16550",18,29,11
"16570",20,31,11
"15078",53,64,11
"13883",15,26,11
"15194",28,39,11
"15061",127,138,11
"12720",30,41,11
"14543",39,50,11
"13266",19,30,11
"13136",13,24,11
"18172",52,63,11
"12755",11,22,11
"14426",17,27,10
"16984",9,19,10
"15251",21,31,10
"17063",13,23,10
"14217",23,33,10
"17581",43,53,10
"16145",19,29,10
"15785",16,26,10
"16013",84,94,10
"13004",36,46,10
"16554",8,18,10
"16684",55,65,10
"15805",30,40,10
"17231",25,35,10
"14895",38,48,10
"17450",51,61,10
"13552",22,32,10
"13148",26,36,10
"15555",36,46,10
"16150",10,20,10
"15270",21,31,10
"13735",13,22,9
"14180",33,42,9
"14189",16,25,9
"15329",11,20,9
"15602",16,25,9
"16779",53,62,9
"13769",20,29,9
"12584",9,18,9
"12621",35,44,9
"14032",16,25,9
"16033",27,36,9
"17422",11,20,9
"14546",11,20,9
"16875",11,20,9
"14175",8,17,9
"13983",21,30,9
"14415",23,32,9
"16923",32,41,9
"12982",8,17,9
"16558",38,47,9
"12647",36,45,9
"16713",32,41,9
"18260",23,32,9
"12835",41,49,8
