"customer_id","frequency_completed","cancellation_count"
"12346",12,5
"12347",8,0
"12348",5,0
"12349",4,1
"12350",1,0
"12351",1,0
"12352",10,3
"12353",2,0
"12354",1,0
"12355",2,0
"12356",6,0
"12357",3,0
"12358",5,0
"12359",10,4
"12360",8,1
"12361",4,0
"12362",11,3
"12363",2,0
"12364",4,0
"12365",2,1
"12366",1,0
"12367",1,0
"12368",1,0
"12369",3,0
"12370",7,0
"12371",5,0
"12372",3,0
"12373",3,0
"12374",4,0
"12375",2,1
"12376",2,0
"12377",4,0
"12378",2,0
"12379",4,1
"12380",11,4
"12381",5,1
"12383",5,1
"12384",2,1
"12385",1,1
"12386",2,0
"12387",1,0
"12388",8,0
"12389",3,0
"12390",1,0
"12391",6,1
"12392",1,0
"12393",6,1
"12394",2,0
"12395",15,3
"12396",1,0
"12397",2,0
"12398",1,0
"12399",7,0
"12400",1,0
"12401",1,0
"12402",6,1
"12403",2,1
"12404",1,0
"12405",1,0
"12406",5,2
"12407",5,0
"12408",8,6
"12409",7,6
"12410",3,1
"12411",1,0
"12412",6,2
"12413",4,2
"12414",6,2
"12415",28,5
"12416",1,0
"12417",20,7
"12418",4,1
"12419",2,0
"12420",1,0
"12421",6,2
"12422",17,4
"12423",10,1
"12424",4,3
"12425",2,1
"12426",2,1
"12427",3,2
"12428",9,3
"12429",8,1
"12430",1,0
"12431",27,6
"12432",5,0
"12433",10,1
"12434",3,2
"12435",6,0
"12436",1,0
"12437",39,8
"12438",2,0
"12439",2,1
"12440",2,1
"12441",1,0
"12442",1,0
"12443",1,0
"12444",5,0
"12445",2,1
"12446",1,0
"12447",1,0
"12448",1,0
"12449",6,0
"12450",5,2
"12451",8,2
"12452",2,1
"12453",1,0
"12454",5,4
"12455",10,0
"12456",3,1
"12457",8,6
"12458",4,0
"12459",1,0
"12460",1,0
"12461",2,0
"12462",2,2
"12463",4,3
"12464",8,0
"12465",2,1
"12466",1,0
"12467",1,1
"12468",5,5
"12469",2,0
"12470",1,0
"12471",79,50
"12472",19,18
"12473",5,4
"12474",31,23
"12475",2,0
"12476",23,15
"12477",9,3
"12478",1,0
"12479",1,2
"12480",7,1
"12481",15,3
"12482",29,3
"12483",19,8
"12484",12,4
"12485",1,0
"12486",1,0
"12487",1,1
"12488",3,0
"12489",1,0
"12490",21,1
"12491",1,0
"12492",3,0
"12493",2,1
"12494",9,8
"12495",1,1
"12496",2,0
"12497",3,1
"12498",3,0
"12499",1,0
"12500",19,6
"12501",1,1
"12502",5,0
"12503",1,1
"12504",4,2
"12505",1,2
"12506",1,0
"12507",4,1
"12508",2,0
"12509",1,0
"12510",9,7
"12511",1,1
"12512",2,0
"12513",1,1
"12514",2,0
"12515",1,0
"12516",4,0
"12517",5,1
"12518",5,0
"12519",2,1
"12520",5,1
"12521",1,0
"12522",2,0
"12523",23,7
"12524",17,1
"12525",3,5
"12526",3,0
"12527",5,0
"12528",6,2
"12529",1,1
"12530",9,3
"12531",2,1
"12532",1,0
"12533",2,4
"12534",1,0
"12535",2,0
"12536",3,2
"12537",1,0
"12538",2,0
"12539",7,1
"12540",33,3
"12541",3,0
"12542",2,2
"12543",1,0
"12544",1,1
"12545",2,0
"12546",2,1
"12547",3,0
"12548",1,0
"12549",6,0
"12550",1,0
"12551",1,0
"12552",2,0
"12553",12,5
"12554",1,0
"12555",1,0
"12556",2,0
"12557",8,0
"12558",1,1
"12559",2,1
"12560",3,1
"12561",1,0
"12562",9,0
"12563",1,0
"12564",1,0
"12565",1,1
"12566",1,1
"12567",15,2
"12568",1,0
"12569",32,3
"12570",1,0
"12571",2,0
"12572",2,1
"12573",5,0
"12574",1,0
"12575",2,0
"12576",8,3
"12577",8,1
"12578",4,3
"12579",1,2
"12580",2,0
"12581",1,0
"12582",4,0
"12583",27,4
"12584",9,9
"12585",2,2
"12586",4,1
"12587",1,0
"12588",4,1
"12589",8,3
"12590",2,3
"12591",3,0
"12592",5,3
"12593",3,0
"12594",15,2
"12595",1,0
"12596",2,0
"12597",4,1
"12598",11,4
"12599",13,0
"12600",21,5
"12601",6,1
"12602",1,0
"12603",1,0
"12604",2,0
"12605",4,1
"12606",1,0
"12607",1,1
"12608",1,0
"12609",9,1
"12610",5,2
"12611",1,0
"12612",1,1
"12613",10,3
"12614",1,0
"12615",8,3
"12616",3,4
"12617",1,0
"12618",1,0
"12619",10,4
"12620",3,0
"12621",35,9
"12622",1,0
"12623",7,2
"12624",2,0
"12625",4,1
"12626",9,4
"12627",7,0
"12628",3,1
"12629",2,0
"12630",2,0
"12631",6,1
"12632",2,2
"12633",7,3
"12634",2,0
"12635",4,0
"12636",1,0
"12637",12,2
"12638",2,0
"12639",3,0
"12640",3,0
"12641",1,0
"12642",3,0
"12643",12,2
"12644",4,2
"12645",8,2
"12646",2,0
"12647",36,9
"12648",4,1
"12649",8,2
"12650",1,0
"12651",4,1
"12652",2,1
"12653",3,0
"12654",5,0
"12655",1,0
"12656",8,4
"12657",4,1
"12658",1,0
"12659",1,0
"12660",1,0
"12661",1,0
"12662",20,2
"12663",2,1
"12664",11,1
"12665",3,2
"12666",1,1
"12667",1,0
"12668",10,2
"12669",3,1
"12670",7,1
"12671",1,0
"12672",2,1
"12673",3,0
"12674",4,3
"12675",2,2
"12676",11,1
"12677",2,1
"12678",21,2
"12679",4,5
"12680",4,0
"12681",45,11
"12682",52,1
"12683",21,6
"12684",7,0
"12685",6,0
"12686",1,0
"12687",2,0
"12688",1,0
"12689",2,0
"12690",1,0
"12691",7,0
"12692",1,0
"12693",7,4
"12694",3,1
"12695",7,0
"12696",2,1
"12697",3,2
"12698",1,0
"12699",1,0
"12700",4,2
"12701",6,0
"12702",1,0
"12703",4,3
"12704",8,2
"12705",14,8
"12707",1,0
"12708",18,12
"12709",34,21
"12710",3,1
"12711",2,0
"12712",21,7
"12713",1,0
"12714",12,0
"12715",1,0
"12716",2,0
"12717",3,1
"12718",1,0
"12719",2,1
"12720",30,11
"12721",8,2
"12722",4,2
"12723",5,0
"12724",7,0
"12725",4,0
"12726",11,0
"12727",10,2
"12728",5,0
"12729",1,0
"12730",1,0
"12731",17,2
"12732",1,0
"12733",4,2
"12734",3,0
"12735",2,0
"12736",1,0
"12737",2,0
"12738",1,0
"12739",4,0
"12740",1,0
"12741",2,0
"12742",1,1
"12743",2,0
"12744",11,3
"12745",3,0
"12746",1,2
"12747",26,6
"12748",337,28
"12749",9,7
"12750",1,0
"12751",1,0
"12752",1,0
"12753",6,5
"12754",3,2
"12755",11,11
"12756",1,0
"12757",13,6
"12758",7,1
"12759",8,0
"12760",1,0
"12761",2,0
"12762",2,0
"12763",2,0
"12764",1,0
"12765",6,0
"12766",9,2
"12767",1,0
"12768",1,1
"12769",1,0
"12770",2,5
"12771",1,1
"12772",1,0
"12773",1,1
"12774",1,0
"12775",7,1
"12776",1,0
"12777",1,0
"12778",9,1
"12779",14,7
"12780",1,0
"12781",2,3
"12782",11,3
"12783",6,2
"12784",3,0
"12785",3,2
"12786",1,0
"12787",4,1
"12788",4,0
"12789",3,0
"12790",2,1
"12791",6,2
"12792",2,1
"12793",3,0
"12794",2,0
"12795",1,0
"12796",1,0
"12797",2,4
"12798",4,0
"12799",1,0
"12800",3,0
"12801",1,1
"12802",7,2
"12803",1,0
"12804",2,0
"12805",4,0
"12806",4,0
"12807",1,2
"12808",5,0
"12809",3,5
"12810",2,0
"12811",5,0
"12812",1,0
"12813",3,0
"12814",1,0
"12815",2,0
"12816",2,0
"12817",3,0
"12818",1,1
"12819",1,0
"12820",11,2
"12821",2,0
"12822",2,1
"12823",18,0
"12824",1,0
"12825",2,0
"12826",12,3
"12827",3,0
"12828",6,0
"12829",3,1
"12830",6,1
"12831",3,0
"12832",2,0
"12833",1,0
"12834",1,0
"12835",41,8
"12836",15,2
"12837",2,0
"12838",10,2
"12839",26,5
"12840",7,4
"12841",40,2
"12842",4,0
"12843",30,4
"12844",4,0
"12845",4,0
"12846",1,0
"12847",2,0
"12848",1,0
"12849",6,0
"12850",1,0
"12851",2,0
"12852",1,1
"12853",11,5
"12854",7,4
"12855",4,0
"12856",6,2
"12857",6,1
"12858",1,1
"12859",1,0
"12860",1,0
"12861",1,0
"12862",2,0
"12863",6,1
"12864",2,0
"12865",4,1
"12866",3,0
"12867",13,3
"12868",8,0
"12869",1,0
"12870",3,1
"12871",3,0
"12872",12,1
"12873",3,0
"12874",2,1
"12875",5,0
"12876",4,1
"12877",20,0
"12878",2,1
"12879",3,1
"12880",2,0
"12881",1,0
"12882",2,0
"12883",4,0
"12884",1,0
"12885",3,1
"12886",2,1
"12887",1,0
"12888",2,2
"12889",4,2
"12890",2,0
"12891",11,1
"12892",1,0
"12893",1,0
"12894",1,0
"12895",2,1
"12897",4,0
"12898",2,0
"12899",1,0
"12900",1,0
"12901",28,8
"12902",1,0
"12903",1,0
"12904",2,0
"12905",2,1
"12906",5,0
"12907",2,1
"12908",5,2
"12909",8,5
"12910",13,1
"12911",1,0
"12912",5,0
"12913",13,0
"12914",1,0
"12915",4,4
"12916",7,1
"12917",6,2
"12918",1,2
"12919",6,2
"12920",4,0
"12921",74,29
"12922",1,0
"12923",3,0
"12924",12,2
"12925",3,0
"12926",4,0
"12927",1,0
"12928",12,0
"12929",1,1
"12930",2,2
"12931",57,14
"12932",8,0
"12933",8,3
"12934",1,0
"12935",15,4
"12936",4,1
"12937",9,0
"12938",1,0
"12939",20,0
"12940",2,2
"12941",1,0
"12942",3,0
"12943",2,2
"12944",2,0
"12945",2,0
"12946",1,0
"12947",6,5
"12948",9,1
"12949",22,6
"12950",3,0
"12951",15,5
"12952",4,1
"12953",2,0
"12954",1,0
"12955",11,3
"12956",4,0
"12957",13,8
"12958",2,0
"12959",1,1
"12960",4,0
"12961",1,0
"12962",2,0
"12963",12,2
"12964",1,0
"12965",1,0
"12966",1,0
"12967",3,2
"12968",1,0
"12969",1,0
"12970",10,0
"12971",116,4
"12972",4,2
"12973",1,0
"12974",2,0
"12975",6,2
"12976",8,0
"12977",4,0
"12978",5,1
"12979",1,1
"12980",21,5
