"customer_id","monetary_gross","monetary_net","cancelled_value"
"16446",168472.50,-6.10,168478.60
"12346",77556.46,-51.74,77608.20
"15098",39916.50,649.50,39267.00
"16029",117763.62,89705.47,28058.15
"14063",22710.20,-3767.20,26477.40
"14911",291420.81,265757.91,25662.90
"15749",44534.30,21535.90,22998.40
"12918",10953.50,-10953.50,21907.00
"12931",92347.34,71299.67,21047.67
"17949",117314.08,97581.59,19732.49
"15760",13916.34,-5795.87,19712.21
"14156",313437.62,296063.44,17374.18
"17450",244784.25,231390.55,13393.70
"14277",17197.61,4296.27,12901.34
"12454",16679.78,4292.71,12387.07
"12744",25317.06,13158.16,12158.90
"16754",65500.07,54558.18,10941.89
"18102",580987.04,570380.61,10606.43
"15413",6798.72,-2531.38,9330.10
"15202",6001.49,-2570.18,8571.67
"12536",12601.83,4106.82,8495.01
"14096",65164.79,57120.91,8043.88
"14028",10396.50,3175.50,7221.00
"12748",53539.64,46933.33,6606.31
"15482",14417.36,7932.63,6484.73
"17017",12576.99,6553.79,6023.20
"16684",147142.77,141502.25,5640.52
"13694",195640.69,190020.84,5619.85
"14607",23763.13,18371.06,5392.07
"14646",528602.52,523342.07,5260.45
"15502",13003.87,8069.33,4934.54
"16013",56078.44,51420.92,4657.52
"15369",6251.26,1713.39,4537.87
"15769",88612.52,84177.58,4434.94
"17448",14523.67,10162.38,4361.29
"13902",34095.26,30411.26,3684.00
"17511",172132.87,168491.62,3641.25
"12757",7834.65,4205.25,3629.40
"13089",113416.91,109893.24,3523.67
"17940",30306.79,26873.62,3433.17
"13734",6695.69,3445.34,3250.35
"15311",114966.42,111739.36,3227.06
"14802",1502.98,-1502.98,3005.96
"14031",39019.51,36048.26,2971.25
"15480",6279.00,3592.25,2686.75
"14543",14587.87,11905.71,2682.16
"17389",57215.33,54577.68,2637.65
"12755",5236.26,2611.95,2624.31
"14680",55688.50,53080.02,2608.48
"16422",61920.87,59379.94,2540.93
"13091",2321.82,-130.22,2452.04
"14255",1000.63,-1441.60,2442.23
"13798",75428.87,73166.92,2261.95
"12471",39918.19,37920.01,1998.18
"14308",1147.02,-849.45,1996.47
"13113",18230.07,16236.44,1993.63
"15581",7480.40,5486.79,1993.61
"14527",27246.88,25285.91,1960.97
"15498",24972.86,23075.09,1897.77
"12482",23691.40,21893.53,1797.87
"12380",9676.30,7888.00,1788.30
"17404",47781.12,46006.82,1774.30
"12539",11214.75,9498.90,1715.85
"16077",2300.40,600.00,1700.40
"17603",1788.38,114.91,1673.47
"14045",10986.63,9334.23,1652.40
"17133",14622.33,12972.09,1650.24
"14088",64036.80,62400.02,1636.78
"16555",1915.68,285.89,1629.79
"12589",4695.66,3094.17,1601.49
"12607",1579.51,0.00,1579.51
"13680",11419.67,9899.56,1520.11
"12510",5178.02,3689.33,1488.69
"13564",16498.97,15036.14,1462.83
"14299",14070.25,12607.53,1462.72
"12592",2582.66,1152.62,1430.04
"15061",126389.02,124961.98,1427.04
"12901",17654.54,16293.10,1361.44
"17841",68545.25,67186.87,1358.38
"16839",21758.25,20416.03,1342.22
"14970",4919.35,3593.40,1325.95
"15270",8524.86,7241.19,1283.67
"12921",35233.24,33951.65,1281.59
"14146",9450.30,8208.87,1241.43
"16525",24151.30,22919.40,1231.90
"17706",20272.15,19066.07,1206.08
"16320",5628.99,4428.85,1200.14
"14213",1192.20,0.00,1192.20
"12415",144458.37,143269.29,1189.08
"16669",1348.88,200.15,1148.73
"14912",1889.25,748.58,1140.67
"12669",2744.03,1607.73,1136.30
"12503",1126.00,0.00,1126.00
"15514",6392.06,5275.79,1116.27
"12422",5231.80,4119.35,1112.45
"15298",9061.77,7958.43,1103.34
"12473",3928.05,2837.73,1090.32
"14934",3503.50,2444.10,1059.40
"14258",32051.34,31027.35,1023.99
"15365",4557.13,3573.26,983.87
"13085",2433.28,1459.46,973.82
"15971",5902.83,4930.43,972.40
"13776",623.98,-340.17,964.15
"12352",2849.84,1889.21,960.63
"16772",3698.05,2760.10,937.95
"14113",7092.61,6156.75,935.86
"13069",9284.45,8348.79,935.66
"13235",1031.07,101.17,929.90
"15215",2422.43,1496.46,925.97
"15802",451.42,-451.42,902.84
"15125",17024.87,16124.33,900.54
"14328",445.05,-445.06,890.11
"16546",5307.07,4421.04,886.03
"14933",1770.00,885.00,885.00
"13081",56838.37,55961.37,877.00
"13093",54144.25,53274.33,869.92
"15823",3882.17,3018.86,863.31
"16705",43515.05,42653.14,861.91
"13408",50174.78,49315.02,859.76
"17032",2984.32,2129.78,854.54
"17809",10085.89,9247.35,838.54
"16938",6995.36,6162.11,833.25
"17677",35058.46,34232.18,826.28
"16019",17329.16,16503.46,825.70
"12472",16249.29,15447.69,801.60
"17850",51208.87,50407.77,801.10
"13448",8745.93,7952.81,793.12
"14557",788.38,0.00,788.38
"13881",45179.10,44392.50,786.60
"12709",30291.76,29511.03,780.73
"13802",26259.11,25491.56,767.55
"13799",2803.57,2039.82,763.75
"16133",22992.26,22228.88,763.38
"14606",29951.37,29197.59,753.78
"16801",1594.23,842.33,751.90
"15299",6156.53,5408.61,747.92
"12986",2729.84,1998.34,731.50
"15674",6948.23,6217.85,730.38
"17340",19617.95,18891.89,726.06
"17867",1582.05,856.55,725.50
"17865",26312.19,25586.85,725.34
"14298",91194.49,90489.31,705.18
"12989",13551.75,12846.80,704.95
"16900",887.11,187.69,699.42
"16456",6000.94,5323.44,677.50
"16717",6663.68,5987.41,676.27
"15093",13702.38,13034.15,668.23
"16057",3854.85,3202.07,652.78
"13078",29018.06,28369.44,648.62
"16735",6217.41,5578.86,638.55
"14895",25119.54,24488.82,630.72
"13154",1624.84,997.43,627.41
"14426",11727.94,11103.97,623.97
"13786",3127.99,2505.46,622.53
"12783",2225.91,1603.87,622.04
"17307",3999.89,3378.31,621.58
"18084",795.23,176.03,619.20
"17368",2758.29,2145.39,612.90
"13810",1499.01,899.51,599.50
"14832",322.69,-274.63,597.32
"14145",7600.05,7006.05,594.00
"16570",7434.31,6841.82,592.49
"16163",2407.98,1822.03,585.95
"16923",13157.13,12572.15,584.98
"17428",31466.76,30885.06,581.70
"16716",2149.68,1568.28,581.40
"17675",37642.48,37064.32,578.16
"14665",2749.65,2172.33,577.32
"14147",2590.20,2019.30,570.90
"12749",6897.36,6328.49,568.87
"14808",2718.60,2152.80,565.80
"13634",5033.77,4479.85,553.92
"15546",1079.10,539.55,539.55
"15622",7852.61,7318.08,534.53
"15527",5554.89,5021.03,533.86
"13097",13324.10,12796.61,527.49
"14410",2631.90,2105.08,526.82
"16191",15677.82,15151.92,525.90
"16656",16833.17,16307.72,525.45
"12457",2995.91,2472.31,523.60
"14688",7190.42,6666.93,523.49
"13050",11986.52,11464.43,522.09
"17581",17951.17,17440.89,510.28
"15681",2989.70,2480.20,509.50
"13004",11650.85,11143.99,506.86
"12908",1776.00,1272.00,504.00
"18223",14000.85,13497.58,503.27
"17888",1807.44,1305.90,501.54
"13148",8497.82,7999.61,498.21
"15606",5230.99,4733.47,497.52
"15032",11010.05,10515.05,495.00
"12657",1643.18,1152.06,491.12
"12971",15704.60,15214.55,490.05
"17526",3939.24,3450.04,489.20
"15513",26437.05,25950.95,486.10
"14534",6187.66,5702.97,484.69
"16943",1299.49,816.73,482.76
"15805",10148.93,9668.62,480.31
"14748",2681.90,2201.83,480.07
"15838",73205.50,72727.41,478.09
"17426",8077.77,7606.37,471.40
"17838",5604.64,5134.49,470.15
"12643",8304.82,7835.30,469.52
"13791",1516.00,1047.68,468.32
"17377",17644.27,17176.27,468.00
"12967",2938.52,2472.37,466.15
"17284",2788.06,2323.12,464.94
"16742",2799.87,2334.97,464.90
"17997",1962.46,1503.09,459.37
"17107",16052.72,15595.37,457.35
"16660",1879.55,1422.35,457.20
"16634",1649.81,1198.30,451.51
"15197",1877.51,1427.84,449.67
"12584",2338.15,1893.95,444.20
"15100",2193.90,1750.10,443.80
"16554",2841.72,2407.17,434.55
"13984",1893.80,1461.32,432.48
"15521",7098.24,6665.99,432.25
"15073",2788.02,2357.04,430.98
"12678",34281.18,33851.13,430.05
"15465",12100.40,11670.90,429.50
"12619",3781.38,3354.95,426.43
"12474",12372.75,11948.75,424.00
"15189",17524.38,17101.13,423.25
"13767",33903.57,33480.82,422.75
"16732",4387.64,3966.79,420.85
"13777",49638.26,49218.41,419.85
"13317",6486.09,6068.53,417.56
"13290",208.63,-208.63,417.26
"15809",1274.44,862.88,411.56
"17679",3577.61,3166.56,411.05
"12753",21429.39,21024.01,405.38
"15856",32275.95,31873.05,402.90
"16556",8012.58,7610.23,402.35
"13217",666.48,266.12,400.36
"12476",14083.91,13684.12,399.79
"13534",7720.90,7324.50,396.40
"15291",13517.76,13122.44,395.32
"17314",4904.43,4514.70,389.73
"17364",11972.92,11587.05,385.87
"17774",3273.83,2891.48,382.35
"13012",2957.83,2576.18,381.65
"13225",16260.07,15879.27,380.80
"15354",284.40,-94.80,379.20
"17728",4238.76,3861.13,377.63
"16985",10923.16,10545.76,377.40
"13599",9811.04,9433.75,377.29
"14481",2284.69,1908.52,376.17
"18225",13014.80,12643.25,371.55
"14776",3708.30,3339.02,369.28
"16067",3269.11,2900.01,369.10
"15555",11243.91,10875.64,368.27
"12504",779.05,411.00,368.05
"14842",2824.69,2456.80,367.89
"14159",7860.80,7494.67,366.13
"13587",1673.50,1308.10,365.40
"15827",3603.14,3240.03,363.11
"15044",16024.15,15661.35,362.80
"17731",1708.99,1347.08,361.91
"13552",6948.92,6588.63,360.29
"15221",2062.20,1702.00,360.20
"14800",7191.33,6832.60,358.73
"15804",4206.39,3848.55,357.84
"17049",9942.53,9588.83,353.70
"18087",14761.52,14411.62,349.90
"13319",21323.22,20974.96,348.26
"14492",1921.91,1574.36,347.55
"16161",12580.06,12236.22,343.84
"18198",5425.56,5083.06,342.50
"15005",13754.58,13412.90,341.68
"17550",2506.64,2165.54,341.10
"13668",12948.48,12607.68,340.80
