"stock_code","occurrences","total_value"
"POST",2079,110430.41
"DOT",1423,309844.10
"M",1392,-83311.28
"C2",274,13136.00
"D",173,-12879.63
"S",101,-5991.11
"BANK CHARGES",100,-35482.25
"ADJUST",67,6835.24
"AMAZONFEE",36,-221520.50
"DCGS0058",30,34.82
"GIFT_0001_20",27,471.06
"DCGSSGIRL",24,295.63
"GIFT_0001_30",24,610.09
"DCGSSBOY",22,251.35
"PADS",19,-36.60
"CRUK",16,-7933.43
"TEST001",15,202.50
"GIFT_0001_10",14,126.21
"DCGS0076",14,275.96
"DCGS0003",14,32.59
"DCGS0069",6,80.31
"GIFT_0001_50",6,253.59
"B",6,-147614.08
"GIFT_0001_40",5,166.09
"DCGS0004",4,67.94
"DCGS0068",3,17.12
"DCGS0072",3,20.68
"ADJUST2",3,731.05
"GIFT_0001_80",2,0.00
"SP1002",2,14.75
"DCGS0066N",2,17.30
"DCGS0070",2,25.44
"DCGS0037",1,12.72
"47503J ",1,16.13
"DCGS0075",1,12.72
"TEST002",1,1.00
"DCGS0073",1,0.00
"DCGS0067",1,0.00
"DCGS0062",1,2.51
"GIFT_0001_70",1,59.57
"DCGS0044",1,2.57
"DCGS0041",1,5.06
