"customer_id","frequency_completed_only"
"14911",373
"12748",322
"17841",211
"15311",207
"13089",203
"14606",184
"17850",155
"14646",146
"18102",145
"14156",144
"13694",143
"15061",127
"14527",121
"17949",116
"12971",116
"13798",110
"16422",107
"13408",106
"16029",106
"17961",100
"15039",93
"16013",84
"14298",82
"17377",78
"12921",74
"13767",73
"13468",72
"12471",71
"17675",70
"17243",69
"13199",66
"16168",66
"17389",61
"13777",61
"17511",60
"13319",58
"14680",58
"12931",57
"13078",57
"17757",56
"15005",56
"16133",56
"16684",55
"13093",55
"14735",55
"17920",54
"17677",54
"14667",54
"16779",53
"15078",52
"15856",52
"18172",52
"17450",51
"12682",51
"16525",48
"17811",47
"17068",47
"15615",47
"15189",46
"15769",46
"17865",46
"17428",45
"15498",44
"14031",44
"12681",44
"14560",44
"16839",44
"17581",43
"13881",43
"16161",43
"14849",43
"16746",42
"16705",42
"15358",42
"12835",41
"17448",41
"17315",41
"15738",41
"17576",41
"12841",40
"15291",39
"13854",39
"14543",39
"13263",38
"18041",38
"16353",38
"13069",38
"18109",38
"16558",38
"14895",38
"12437",38
"16782",38
"17381",38
"14051",37
"13102",37
"13113",37
"13564",36
"15555",36
"16814",36
"14194",36
"13267",36
"13004",36
"14040",35
"13969",35
"15513",35
"12621",35
"16843",35
"13668",35
"12647",35
"13534",35
"13018",35
"15159",34
"15768",34
"13050",34
"15838",34
"15581",34
"16549",34
"13599",33
"14180",33
"16210",33
"16553",33
"12989",33
"13001",33
"16945",33
"14110",33
"16713",32
"12540",32
"16923",32
"12709",32
"12569",32
"14952",32
"15465",32
"17238",32
"15044",32
"14085",32
"13418",31
"17706",31
"15867",31
"15719",31
"17848",30
"15805",30
"16656",30
"14060",30
"15984",30
"16458",30
"15601",30
"17858",30
"13230",30
"18118",29
"13999",29
"16754",29
"13013",29
"15640",29
"17965",29
"17017",29
"15144",29
"16011",29
"14702",29
"12474",29
"12720",29
"12843",28
"16523",28
"13098",28
"13269",28
"15827",28
"12901",28
"18061",28
"17085",28
"13576",28
"14688",28
"15194",28
"18229",28
"16592",28
"17611",28
"13081",28
"18065",28
"18231",28
"17364",27
"17696",27
"16033",27
"12482",27
"13097",27
"12583",27
"14299",27
"16019",27
"17372",27
"14796",27
"13491",27
"16701",26
"18223",26
"14534",26
"17735",26
"14562",26
"15290",26
"15547",26
"16186",26
"13571",26
"13148",26
"12839",26
"18226",26
"16928",26
"18225",26
"17346",26
"12747",26
"15898",25
"14709",25
"17139",25
"14878",25
"15260",25
"14258",25
"14755",25
"16607",25
"17231",25
"14282",25
"16700",25
"17888",25
"15046",25
"14739",25
"12431",25
"15570",25
"16326",24
"15611",24
"15125",24
"12415",24
"14062",24
"14825",24
"17975",24
"14092",24
"14135",24
"16919",24
"16191",24
"17716",24
"15271",24
"18008",23
"17857",23
"13090",23
"15129",23
"15298",23
"14217",23
"16985",23
"16931",23
"16393",23
"15093",23
"18260",23
"13488",23
"14056",23
"14291",23
"14415",23
"13756",23
"15527",23
"13047",23
"16497",23
"16401",23
"12523",23
"15694",23
"17402",22
"13552",22
"12949",22
"16710",22
"14401",22
"16333",22
"16103",22
"17416",22
"13985",22
"15218",22
"16722",22
"13426",22
"15955",22
"18283",22
"14961",22
"14057",22
"15270",21
"15981",21
"17287",21
"15808",21
"15874",21
"17306",21
"15854",21
"17220",21
"15251",21
"12712",21
"14239",21
"16729",21
"12980",21
"13983",21
"13082",21
"18241",21
"13178",21
"17404",21
"14713",21
"17644",20
"12662",20
"14099",20
"16904",20
"12939",20
"17730",20
"17884",20
"12600",20
"16954",20
"14159",20
"17969",20
"14030",20
"17690",20
"16170",20
"12877",20
"16156",20
"15544",20
"12490",20
"16672",20
"17790",20
"14395",20
"14590",20
"17799",20
"13911",20
"16570",20
"17809",20
"15023",20
"16670",20
"14607",20
"12683",20
"18075",20
"12417",20
"13769",20
"14344",20
"18245",20
"17001",19
"13317",19
"18144",19
"17091",19
"17049",19
"13266",19
"14732",19
"17954",19
"13027",19
"14944",19
"13394",19
"12472",19
"14422",19
"13993",19
"16145",19
"14397",19
"16883",19
"17157",19
"13629",19
"13802",19
"15059",19
"13327",19
"14505",19
"12483",19
"17218",18
"14211",18
"17504",18
"18044",18
"17512",18
"12500",18
"14852",18
"15514",18
"13831",18
"17230",18
"15953",18
"13842",18
"15482",18
"17894",18
"15249",18
"15971",18
"13324",18
"18092",18
"17873",18
"17861",18
"12708",18
"18077",18
"17340",18
"12476",18
"13709",18
"17739",18
"12823",18
"17419",18
"14341",18
"16550",18
"17612",18
"15750",18
"17589",18
"13590",18
"13117",18
"12731",17
"17338",17
"13963",17
"16556",17
"17314",17
"15622",17
"16444",17
"14525",17
"13021",17
"17160",17
"14221",17
"15606",17
"14866",17
"18219",17
"15860",17
"16626",17
"17469",17
"14426",17
"14800",17
"14243",17
"15628",17
"17293",17
"15796",17
"17769",17
"15373",17
"13141",17
"15301",17
"13542",17
"18198",17
"14769",17
"17663",17
"12524",17
"13715",17
"17491",17
"15755",17
"16905",17
"14096",17
"13880",17
"13871",17
"16745",17
"14367",16
"13305",16
"15602",16
"14907",16
"18168",16
"16327",16
"15785",16
"14088",16
"13137",16
"14032",16
"15281",16
"15998",16
"14189",16
"14292",16
"15058",16
"16359",16
"14210",16
"17460",16
"14045",16
"16918",16
"16686",16
"13728",16
"16652",16
"15235",16
"16775",16
"13225",16
"17412",16
"18087",16
"15024",16
"15521",16
"15523",16
"13695",16
"14530",16
