"customer_id","frequency_all_orders"
"14911",466
"12748",343
"17841",287
"15311",269
"14606",250
"13089",247
"14156",182
"17850",159
"13694",158
"14646",153
"18102",147
"14527",140
"15061",137
"17949",128
"13408",127
"13798",124
"16422",122
"12471",120
"12971",119
"16029",112
"15039",107
"12921",103
"17961",102
"13767",96
"13078",95
"16013",91
"17377",90
"17677",90
"17675",89
"13093",87
"14680",87
"13468",86
"14298",84
"17511",84
"17243",80
"16133",78
"13319",78
"15005",76
"17389",75
"16168",72
"13777",72
"13199",68
"12931",68
"16684",64
"18172",63
"15078",63
"16779",62
"17865",62
"16705",61
"14667",61
"17757",60
"13534",60
"17811",60
"13113",59
"14735",58
"15189",58
"15856",58
"16161",56
"17920",56
"17450",55
"15358",55
"14031",54
"14194",54
"15615",54
"16525",54
"13050",54
"12681",53
"12709",53
"12474",52
"17581",52
"15291",52
"13599",52
"12682",52
"18223",51
"13881",51
"17428",51
"16839",51
"16782",50
"14849",50
"13267",50
"12835",49
"15769",49
"13564",49
"17068",49
"14543",49
"14895",48
"17696",48
"15498",48
"17448",48
"16558",47
"17315",47
"13668",47
"13004",46
"16746",46
"14560",46
"15555",46
"17576",45
"18109",45
"12437",45
"15738",45
"13854",45
"12621",44
"16656",44
"17706",43
"13081",43
"14952",43
"14180",42
"12647",42
"12841",42
"13102",42
"13069",42
"14051",42
"15827",42
"16713",41
"15513",41
"16923",41
"16353",41
"13098",41
"15044",41
"14040",41
"14299",41
"15805",40
"13047",40
"17017",40
"18041",40
"15465",39
"12720",39
"15194",39
"13969",39
"15719",39
"17381",39
"14796",39
"16523",39
"16191",39
"12989",39
"15159",38
"14534",38
"16843",38
"18226",38
"16401",38
"13263",38
"13097",38
"16549",37
"12472",37
"15581",37
"16814",37
"15838",37
"13418",37
"13018",37
"13001",37
"13999",36
"13148",36
"16033",36
"16553",36
"15125",36
"18118",35
"15601",35
"16019",35
"16945",35
"17231",35
"15768",35
"14110",35
"15867",35
"16210",35
"17611",34
"15640",34
"16592",34
"15093",34
"18225",34
"16754",34
"14688",34
"12540",34
"12901",34
"16701",34
"12569",33
"16670",33
"15144",33
"17965",33
"12476",33
"14085",33
"14217",33
"14702",32
"17085",32
"14415",32
"18260",32
"13552",32
"13576",32
"12747",32
"14060",32
"12843",32
"17238",32
"15984",32
"14258",32
"17612",31
"16700",31
"18075",31
"16570",31
"17858",31
"13230",31
"13317",31
"14113",31
"17848",31
"13013",31
"18065",31
"12431",31
"15270",31
"17888",30
"12583",30
"13983",30
"16393",30
"16011",30
"15260",30
"15611",30
"15290",30
"14755",30
"16186",30
"13269",30
"16928",30
"15527",30
"12839",30
"12523",30
"15622",30
"15251",30
"16458",30
"14562",30
"13266",30
"17372",30
"18231",30
"17735",29
"16145",29
"13488",29
"14056",29
"17364",29
"13769",29
"15898",29
"13090",29
"15298",29
"17139",29
"17340",29
"16607",29
"18061",29
"16550",29
"12708",29
"12712",28
"15046",28
"14961",28
"18229",28
"15694",28
"17644",28
"12949",28
"15547",28
"14329",28
"16919",28
"12415",28
"14739",28
"14590",28
"14062",27
"14709",27
"14505",27
"15059",27
"15570",27
"14292",27
"17969",27
"14092",27
"13491",27
"12417",27
"17716",27
"17346",27
"16103",27
"14426",27
"14825",27
"14112",27
"12482",27
"14878",27
"15544",26
"15981",26
"17954",26
"16729",26
"16985",26
"16156",26
"16722",26
"14282",26
"15785",26
"14211",26
"17404",26
