"customer_id","orders_used_in_calc","avg_days_between_orders"
"15060",3,0.0
"17882",1,0.0
"14028",2,0.0
"14697",1,0.0
"13646",1,0.0
"16964",1,0.0
"15526",1,0.0
"14010",1,0.0
"14938",1,0.0
"17501",1,0.0
"17391",1,0.0
"15098",2,0.0
"15959",2,0.0
"15794",1,0.0
"15546",1,0.0
"17823",1,0.0
"14917",1,0.0
"17065",1,0.0
"18137",1,0.0
"12743",1,0.0
"18139",5,0.0
"14736",1,0.0
"16000",2,0.0
"16375",1,0.0
"16766",1,0.0
"17078",1,0.0
"16502",1,0.0
"15560",1,0.0
"17257",1,0.0
"14965",1,0.0
"18013",1,0.0
"17544",2,0.0
"13526",1,0.0
"16695",1,0.0
"14996",1,0.0
"17357",1,0.0
"18024",1,0.0
"17294",1,0.0
"14809",1,0.0
"17267",1,0.0
"17622",1,0.0
"17782",1,0.0
"16498",1,0.0
"14663",1,0.0
"15914",1,0.0
"15897",1,0.0
"15736",1,0.0
"17100",1,0.0
"16479",1,0.0
"12496",1,0.0
"17766",1,0.0
"15037",1,0.0
"16685",1,0.0
"18047",1,0.0
"12512",1,0.0
"15816",1,0.0
"17900",1,0.0
"16819",1,0.0
"16268",1,0.0
"14933",3,0.0
"15001",1,0.0
"17945",2,0.0
"15873",3,0.3
"15516",2,0.5
"16435",2,0.5
"17509",7,0.7
"14356",1,1.0
"17794",1,1.0
"15230",1,1.0
"15700",1,1.0
"14911",372,1.6
"12748",321,1.9
"13597",1,2.0
"15823",1,2.0
"18021",1,2.0
"17918",2,2.0
"12508",1,2.0
"17850",154,2.3
"17523",3,2.3
"17448",40,2.7
"12482",26,2.9
"17461",2,3.0
"17067",2,3.0
"17841",210,3.0
"17363",2,3.0
"17185",2,3.0
"15311",206,3.1
"13089",202,3.3
"13521",2,3.5
"14606",183,3.5
"18026",1,4.0
"14971",2,4.0
"13768",1,4.0
"14785",1,4.0
"15359",7,4.1
"13440",6,4.5
"14646",145,4.7
"14156",143,4.7
"13694",142,4.8
"18102",144,4.9
"18121",1,5.0
"16604",1,5.0
"15993",6,5.3
"15621",3,5.3
"14527",120,5.6
"14096",16,5.6
"15061",126,5.6
"14746",3,5.7
"12971",115,5.8
"13447",2,6.0
"16422",106,6.0
"16689",1,6.0
"15009",2,6.0
"17500",2,6.0
"13556",1,6.0
"17502",3,6.0
"17949",115,6.1
"16029",105,6.3
"13798",109,6.3
"16790",5,6.4
"15427",2,6.5
"14823",2,6.5
"13408",105,6.6
"14547",7,6.7
"17961",99,6.8
"14063",6,7.0
"17845",3,7.0
"16812",3,7.0
"16264",1,7.0
"16228",2,7.0
"16273",1,7.0
"16405",1,7.0
"13066",1,7.0
"18214",3,7.0
"14385",2,7.0
"13755",8,7.0
"13596",1,7.0
"12835",40,7.2
"18073",11,7.2
"12845",3,7.3
"15039",92,7.4
"12569",31,7.6
"15334",2,8.0
"16376",1,8.0
"12559",1,8.0
"13093",54,8.1
"17450",50,8.3
"17756",2,8.5
"17780",2,8.5
"16013",83,8.5
"14298",81,8.6
"15508",5,8.8
"17377",77,8.8
"12912",4,8.8
"16893",1,9.0
"16070",1,9.0
"15350",1,9.0
"14170",2,9.0
"17811",46,9.1
"13685",6,9.2
"12901",27,9.2
"13413",5,9.2
"12855",3,9.3
"14102",4,9.3
"16754",28,9.3
"16866",2,9.5
"17528",7,9.6
"14434",5,9.6
"12921",73,9.7
"16729",20,9.7
"13767",72,9.8
"13468",71,9.9
"14836",2,10.0
"14856",2,10.0
"17808",3,10.0
"13785",3,10.0
"17312",2,10.0
"15501",1,10.0
"14331",1,10.0
"17835",2,10.0
"14164",1,10.0
"17675",69,10.1
"13704",8,10.1
"12471",70,10.1
"17315",40,10.4
"17243",68,10.4
"12950",2,10.5
"13564",35,10.5
"13263",37,10.6
"16133",55,10.7
"15377",3,10.7
"13554",6,10.7
"13199",65,10.8
"16168",65,10.8
"12856",5,10.8
"15189",45,10.8
"15413",4,11.0
"14179",1,11.0
"15934",1,11.0
"17232",1,11.0
"17792",1,11.0
"13493",1,11.0
"15235",15,11.0
"17000",1,11.0
"15213",1,11.0
"13885",1,11.0
"17086",5,11.0
"13098",27,11.2
"16764",12,11.2
"14397",18,11.3
"16079",2,11.5
"16759",2,11.5
"14234",3,11.7
"17389",60,11.8
"13536",6,11.8
"13777",60,11.9
"17511",59,11.9
"14680",57,11.9
"16910",7,12.0
"12967",2,12.0
"16811",1,12.0
"15390",1,12.0
"16513",3,12.0
"14698",4,12.0
"15762",1,12.0
"12522",1,12.0
"17757",55,12.1
"17997",7,12.1
"14056",22,12.3
"12931",56,12.4
"13319",57,12.4
"16164",2,12.5
"12685",5,12.6
"17912",5,12.6
"15005",55,12.7
"12841",39,12.7
"13078",56,12.7
"15159",33,12.7
"15881",4,12.8
"17068",46,12.8
"18118",28,12.8
"14617",1,13.0
"17186",1,13.0
"13996",1,13.0
"14664",1,13.0
"14169",1,13.0
"16590",1,13.0
"17387",1,13.0
"13673",1,13.0
"16032",5,13.0
"14735",54,13.2
"16684",54,13.2
"14667",53,13.2
"17434",6,13.3
"17677",53,13.3
"17920",53,13.3
"13924",5,13.4
"16672",19,13.4
"14251",4,13.5
"17656",4,13.5
"16919",23,13.5
"16745",16,13.6
"16065",7,13.6
"18109",37,13.6
"18172",51,13.6
"14554",3,13.7
"16779",52,13.7
"17874",5,13.8
"15856",51,13.9
"15078",51,13.9
"15274",1,14.0
"14592",2,14.0
"12469",1,14.0
"13321",1,14.0
"17170",1,14.0
"16897",1,14.0
"16333",21,14.0
"14660",1,14.0
"17813",4,14.0
"13925",3,14.0
"16522",1,14.0
"17381",37,14.1
"14364",7,14.1
"12682",50,14.2
"13069",37,14.3
"14160",6,14.5
"15187",14,14.6
"13882",4,14.8
"16839",43,14.8
"13534",34,14.8
"13881",42,14.9
"15911",7,14.9
"17719",14,14.9
"17810",1,15.0
"13836",1,15.0
"16088",1,15.0
"13470",1,15.0
"12723",4,15.0
"13471",3,15.0
"16525",47,15.1
"15615",46,15.4
"16161",42,15.4
"17061",10,15.4
"17865",45,15.4
"14432",5,15.4
"16553",32,15.4
"15156",2,15.5
"13997",2,15.5
"18051",6,15.5
"13102",36,15.6
"15769",45,15.6
"14590",19,15.6
"15715",4,15.8
"14849",42,15.9
"15102",1,16.0
"15654",1,16.0
"12806",1,16.0
"16603",1,16.0
"15877",1,16.0
"17459",1,16.0
"12822",1,16.0
"16173",5,16.0
"16626",16,16.1
"15804",12,16.1
"12681",43,16.1
"16010",10,16.1
"17732",7,16.1
"16360",5,16.2
"14688",27,16.2
"15707",3,16.3
"14180",32,16.4
"16814",35,16.4
"15498",43,16.4
"17428",44,16.5
"12906",4,16.5
"13631",10,16.5
"14031",43,16.5
"16894",2,16.5
"14025",7,16.6
"14560",43,16.6
"15706",3,16.7
"15649",3,16.7
"13113",36,16.7
"14456",8,16.8
"17837",7,16.9
"15821",1,17.0
"14910",3,17.0
"12762",1,17.0
"15107",8,17.0
"16484",1,17.0
"13261",1,17.0
"16453",1,17.0
"17566",1,17.0
"17451",6,17.0
"15581",33,17.2
"15738",40,17.2
"16931",22,17.3
"17131",4,17.3
"16746",41,17.3
"17581",42,17.3
"15358",41,17.4
"16705",41,17.4
"15787",2,17.5
"16187",14,17.5
"13318",2,17.5
"14367",15,17.5
"17295",2,17.5
"13963",16,17.6
"12720",28,17.6
"13969",34,17.7
"13854",38,17.7
"17173",7,17.7
"14132",10,17.7
"13949",5,17.8
"17576",40,17.8
"15633",12,17.9
"12932",7,17.9
"12498",2,18.0
"15511",4,18.0
"14121",3,18.0
"16033",26,18.0
"14671",1,18.0
"18041",37,18.0
"16295",3,18.0
"15183",2,18.0
"16549",33,18.1
"13018",34,18.2
"14543",38,18.2
"15015",12,18.2
"15291",38,18.2
"18231",27,18.2
"15768",33,18.4
"16438",4,18.5
"17590",2,18.5
"14172",2,18.5
"16997",2,18.5
"14808",7,18.6
"16458",29,18.7
"16742",12,18.8
"16782",37,18.9
"16818",10,19.0
"16855",1,19.0
"14369",1,19.0
"12827",2,19.0
"17183",5,19.0
"16935",2,19.0
"15513",34,19.1
"12621",34,19.1
"14895",37,19.1
"17735",25,19.2
"12647",34,19.2
"16688",3,19.3
"16353",37,19.3
"17306",20,19.3
"17750",8,19.3
"16558",37,19.4
"12437",37,19.4
"12734",2,19.5
"16478",2,19.5
"14194",35,19.7
"15960",3,19.7
"16843",34,19.8
"13004",35,19.9
"14051",36,19.9
"15939",14,19.9
"16160",1,20.0
"14932",1,20.0
"16352",1,20.0
"14416",1,20.0
"12936",3,20.0
"15565",1,20.0
"17975",23,20.0
"13460",1,20.0
"16506",1,20.0
"13420",1,20.0
"13323",4,20.0
"15011",1,20.0
"16223",1,20.0
"16844",1,20.0
"14040",34,20.1
"15555",35,20.2
"16361",3,20.3
"18198",16,20.3
"13558",3,20.3
"15476",3,20.3
"14176",4,20.5
"17770",4,20.5
"18130",2,20.5
"13212",2,20.5
"15271",23,20.5
"13267",35,20.5
"14360",3,20.7
"15013",9,20.7
"13429",3,20.7
"15160",3,20.7
"14455",3,20.7
"13860",4,20.8
"13668",34,20.9
"13050",33,20.9
"16904",19,20.9
"16243",1,21.0
"12722",3,21.0
"15977",1,21.0
"12735",1,21.0
"16930",2,21.0
"17317",2,21.0
"16923",31,21.0
"16427",1,21.0
"17444",1,21.0
"14685",7,21.0
"14065",2,21.0
"16799",1,21.0
"13987",1,21.0
"13247",3,21.0
"15908",1,21.0
"15808",20,21.1
"16837",10,21.1
"13230",29,21.1
"15838",33,21.2
"12788",3,21.3
"12415",23,21.3
"16813",9,21.3
"12883",3,21.3
"18258",5,21.4
"14060",29,21.4
"17613",13,21.4
"15113",2,21.5
"14779",2,21.5
"14952",31,21.5
"13090",22,21.6
"13542",16,21.6
"16945",32,21.8
"13715",16,21.8
"14648",14,21.9
"15531",1,22.0
"13028",1,22.0
"18059",2,22.0
"14490",1,22.0
"17848",29,22.0
"18228",1,22.0
"14002",1,22.0
"16381",1,22.0
"13386",1,22.0
"16629",1,22.0
"12657",3,22.0
"16015",2,22.0
"17085",27,22.1
"12989",32,22.3
"16169",3,22.3
"13808",4,22.3
"13001",32,22.3
"15044",31,22.3
"16076",9,22.3
"16713",31,22.3
"15465",31,22.4
"17706",30,22.5
"13902",4,22.5
"16210",32,22.5
"12540",31,22.5
"16900",2,22.5
"16474",6,22.5
"14110",32,22.6
"12704",7,22.6
"12709",31,22.6
"12474",28,22.7
"13599",32,22.8
"17894",17,22.8
"17652",11,22.8
"13446",10,22.9
"15827",27,22.9
"12879",2,23.0
"16465",1,23.0
"17577",1,23.0
"15355",1,23.0
"17366",1,23.0
"15653",1,23.0
"15666",1,23.0
"15719",30,23.1
"14085",31,23.1
"16928",25,23.2
"15089",5,23.2
"15347",3,23.3
"17238",31,23.3
"14217",22,23.4
"17346",25,23.4
"16607",24,23.4
"15369",10,23.5
"13418",30,23.5
"15867",30,23.5
"16533",2,23.5
"16851",2,23.5
"18226",25,23.6
"15500",3,23.7
"17681",4,23.8
"14800",16,23.8
"12757",8,23.9
"12999",2,24.0
"12675",1,24.0
"12843",27,24.0
"14780",1,24.0
"13040",1,24.0
"15805",29,24.0
"13914",1,24.0
"16020",2,24.0
"17595",1,24.0
"14354",1,24.0
"16324",2,24.0
"12882",1,24.0
"12952",3,24.0
"12783",3,24.0
"17965",28,24.1
"15281",15,24.1
"16656",29,24.1
"17113",5,24.2
"14249",11,24.2
"14134",14,24.4
"17725",10,24.5
"13016",2,24.5
"15301",16,24.5
"14711",10,24.5
"14529",2,24.5
"18075",19,24.5
"17241",11,24.6
"17062",5,24.6
"17858",29,24.6
"18260",22,24.6
"15601",29,24.6
"16379",3,24.7
"16929",6,24.7
"16401",22,24.8
"14534",25,24.8
"15538",5,24.8
"13458",15,24.9
"16523",27,24.9
"15129",22,25.0
"12828",5,25.0
"16911",1,25.0
"14116",4,25.0
"18143",1,25.0
"16678",11,25.0
"15963",1,25.0
"15612",1,25.0
"13467",1,25.0
"15984",29,25.0
"13730",1,25.0
"15570",24,25.1
"14189",15,25.2
"15505",4,25.3
"15144",28,25.3
"12627",5,25.4
"15640",28,25.4
"13013",28,25.4
"14702",28,25.4
"13999",28,25.4
"15290",25,25.5
"16011",28,25.6
"15125",23,25.6
"16019",26,25.6
"14344",19,25.7
"13491",26,25.7
"17017",28,25.8
"13991",5,25.8
"18061",27,26.0
"16698",1,26.0
"17946",1,26.0
"13537",1,26.0
"13073",1,26.0
"17562",6,26.0
"15260",24,26.0
"14825",23,26.0
"16499",7,26.1
"17696",26,26.1
"14562",25,26.1
"16158",8,26.1
"13576",27,26.2
"17372",26,26.2
"13081",27,26.2
"18229",27,26.2
"12830",5,26.2
"12955",10,26.3
"16592",27,26.3
"14878",24,26.3
"16241",15,26.3
"13346",5,26.4
"15297",2,26.5
"16066",4,26.5
"16460",2,26.5
"16942",8,26.5
"16744",6,26.5
"17611",27,26.6
"14866",16,26.6
"18065",27,26.6
"17790",19,26.7
"15194",27,26.7
"13097",26,26.8
"15141",6,26.8
"17504",17,26.9
"14088",15,26.9
"16125",13,26.9
"16538",2,27.0
"18180",5,27.0
"13731",1,27.0
"17549",1,27.0
"14140",1,27.0
"12985",1,27.0
"12431",24,27.0
"15589",2,27.0
"14303",1,27.0
"14261",1,27.0
"16107",6,27.0
"12419",1,27.0
"15232",1,27.0
"13399",2,27.0
"12518",4,27.0
"15751",10,27.0
"14282",24,27.0
"14082",1,27.0
"13269",27,27.0
"13810",1,27.0
"14733",14,27.1
"13742",11,27.1
"13206",12,27.2
"17230",17,27.2
"15024",15,27.3
"17653",3,27.3
"13268",9,27.3
"15629",3,27.3
"14796",26,27.3
"17564",2,27.5
"13935",2,27.5
"12583",26,27.6
"15491",5,27.6
"14299",26,27.7
"17364",26,27.7
"13148",25,27.8
"14776",14,27.8
"16186",25,27.9
"17659",13,27.9
"13552",21,27.9
"15054",1,28.0
"15330",1,28.0
"15943",1,28.0
"18122",5,28.0
"16631",6,28.0
"16157",2,28.0
"14539",1,28.0
"12376",1,28.0
"15046",24,28.1
"17139",24,28.1
"13571",25,28.2
"16989",5,28.2
"18116",12,28.2
"12476",17,28.2
"13994",5,28.2
"18008",22,28.2
"16775",15,28.3
"12986",9,28.4
"17014",2,28.5
"17888",24,28.5
"12980",20,28.5
"14831",2,28.5
"17857",22,28.5
"14178",6,28.5
"12640",2,28.5
"15547",25,28.6
"15611",23,28.7
"16701",25,28.7
"18223",25,28.7
"13802",18,28.7
"14243",16,28.7
"18225",25,28.8
"17021",5,28.8
"12747",25,28.8
"12839",25,28.8
"13437",6,28.8
"14502",10,28.9
"17307",10,29.0
"12878",1,29.0
"15332",5,29.0
"15349",1,29.0
"16326",23,29.0
"12386",1,29.0
"16373",1,29.0
"16184",5,29.0
"12868",7,29.1
"13082",20,29.2
"13147",3,29.3
"13644",3,29.3
"17969",19,29.3
"18087",15,29.4
"15981",20,29.4
"17231",24,29.5
"14709",24,29.5
"13588",8,29.5
"12628",2,29.5
"15955",21,29.6
"17481",3,29.7
"14258",24,29.8
"15898",24,29.8
"14755",24,29.8
"16700",24,30.0
"14739",24,30.0
"13978",1,30.0
"12885",2,30.0
"12549",4,30.0
"18241",20,30.0
"16606",1,30.0
"13047",22,30.0
"14510",2,30.0
"16426",9,30.0
"16747",1,30.0
"16230",1,30.0
"16883",18,30.0
"17834",1,30.0
"13559",1,30.0
"13488",22,30.0
"13184",9,30.1
"13094",12,30.2
"16335",6,30.3
"17073",3,30.3
"15453",6,30.3
"14511",4,30.3
"17730",19,30.4
"17162",9,30.4
"16734",2,30.5
"13911",19,30.6
"13324",17,30.6
"13641",3,30.7
"18055",13,30.7
"14092",23,30.7
"18283",21,30.7
"17716",23,30.7
"16497",22,30.9
"14062",23,30.9
"14815",1,31.0
"15444",1,31.0
"16924",2,31.0
"12493",1,31.0
"13868",1,31.0
"17032",4,31.0
"15813",1,31.0
"15801",2,31.0
"15136",3,31.0
"15883",1,31.0
"16378",2,31.0
"17447",1,31.0
"16311",1,31.0
"15644",3,31.0
"13812",2,31.0
"13734",3,31.0
"12546",1,31.0
"13985",21,31.1
"14395",19,31.1
"14492",6,31.2
"16191",23,31.2
"16296",3,31.3
"16197",8,31.3
"17870",12,31.3
"13027",18,31.4
"15874",20,31.5
"17332",4,31.5
"16170",19,31.5
"16570",19,31.5
"14305",2,31.5
"17573",2,31.5
"15527",22,31.6
"15218",21,31.6
"14524",12,31.6
"14135",23,31.6
"16145",18,31.6
"16407",13,31.8
"12919",5,31.8
"14810",12,31.8
"12662",19,31.9
"12523",22,31.9
"12362",9,31.9
"14067",1,32.0
"16436",2,32.0
"15933",2,32.0
"17370",3,32.0
"17167",2,32.0
"17223",2,32.0
"16985",22,32.0
"15093",22,32.0
"15356",12,32.1
"16638",14,32.1
"18044",17,32.1
"13756",22,32.2
"16712",12,32.2
"13137",15,32.2
"18237",4,32.3
"15737",7,32.3
"14415",22,32.3
"15379",7,32.4
"12488",2,32.5
"15298",22,32.6
"16103",21,32.6
"15694",22,32.7
"14262",7,32.7
"17406",12,32.8
"14462",11,32.8
"18245",19,32.9
"12939",19,32.9
"14291",22,32.9
"17416",21,32.9
"17220",20,32.9
"16351",12,33.0
"16393",22,33.0
"12940",1,33.0
"16290",3,33.0
"12793",2,33.0
"17563",1,33.0
"18050",1,33.0
"15251",20,33.1
"15529",11,33.2
"17396",12,33.2
"12949",21,33.3
"17690",19,33.4
"14057",21,33.4
"13784",13,33.4
"12765",5,33.4
"13880",16,33.4
"17724",2,33.5
"14359",2,33.5
"14125",2,33.5
"17402",21,33.7
"16710",21,33.7
"14141",3,33.7
"16722",21,33.8
"14401",21,33.8
"17589",17,33.8
"17651",15,33.9
"13374",1,34.0
