"customer_id","orders_used_in_calc","avg_days_between_orders_fractional"
"14809",1,0.00
"16964",1,0.00
"17065",1,0.00
"14938",1,0.00
"16268",1,0.00
"12512",1,0.00
"15914",1,0.00
"17267",1,0.00
"14965",1,0.00
"17882",1,0.00
"17257",1,0.00
"17501",1,0.00
"17357",1,0.00
"14996",1,0.00
"17100",1,0.00
"16819",1,0.00
"17945",2,0.00
"16000",2,0.00
"15098",2,0.00
"15736",1,0.00
"15560",1,0.00
"18013",1,0.00
"15526",1,0.00
"16502",1,0.00
"15546",1,0.00
"18024",1,0.01
"13526",1,0.01
"17900",1,0.01
"15001",1,0.01
"16375",1,0.01
"14697",1,0.01
"14010",1,0.01
"13646",1,0.01
"17766",1,0.01
"14736",1,0.01
"18047",1,0.01
"17823",1,0.01
"15897",1,0.01
"14663",1,0.01
"16695",1,0.01
"12743",1,0.01
"15959",2,0.01
"12496",1,0.01
"16685",1,0.01
"17544",2,0.01
"17078",1,0.02
"18137",1,0.02
"14028",2,0.03
"15816",1,0.03
"16479",1,0.03
"15037",1,0.04
"17782",1,0.05
"14917",1,0.07
"17294",1,0.08
"16766",1,0.08
"18139",5,0.17
"14933",3,0.24
"15060",3,0.33
"15873",3,0.34
"16498",1,0.80
"17509",7,0.84
"17391",1,0.90
"15794",1,0.91
"17622",1,0.96
"15516",2,0.99
"15700",1,1.05
"16435",2,1.10
"15230",1,1.15
"14356",1,1.77
"17794",1,1.92
"14911",372,1.98
"15823",1,2.12
"13597",1,2.23
"12748",321,2.29
"17850",154,2.35
"17918",2,2.45
"17523",3,2.66
"18021",1,2.67
"17448",40,2.90
"12482",26,2.97
"12508",1,2.97
"17067",2,3.43
"17185",2,3.47
"17461",2,3.47
"17841",210,3.50
"17363",2,3.50
"15311",206,3.58
"13089",202,3.64
"13768",1,4.01
"14606",183,4.02
"14971",2,4.07
"15359",7,4.42
"13521",2,4.47
"13440",6,4.68
"18026",1,4.76
"14785",1,4.99
"18121",1,5.03
"14646",145,5.07
"14156",143,5.10
"18102",144,5.13
"13694",142,5.15
"16604",1,5.69
"15621",3,5.70
"14746",3,5.72
"15061",126,5.83
