"customer_id","distinct_variants_purchased"
"14911",2546
"12748",2283
"17841",2114
"14156",1443
"14298",1370
"14606",1259
"14096",1118
"14646",961
"14505",897
"13694",896
"15311",863
"13089",857
"16549",836
"14769",833
"13081",738
"17611",721
"17920",714
"14159",705
"15998",682
"16984",669
"15555",666
"17511",657
"13230",652
"15547",651
"13137",628
"16033",605
"14527",605
"18069",601
"17589",600
"13174",600
"15498",597
"14030",591
"15005",590
"17338",589
"14535",588
"17965",587
"14456",579
"14667",577
"16782",575
"14049",573
"13069",573
"17448",568
"15039",562
"13451",560
"16686",549
"16938",547
"15867",546
"15581",541
"16713",541
"16710",541
"17811",537
"14044",532
"17346",516
"14461",514
"17364",512
"13050",512
"17231",509
"13263",505
"17377",504
"13869",502
"16241",499
"12415",496
"15150",495
"14796",486
"17961",486
"17238",485
"15023",485
"13564",483
"16904",482
"17954",478
"17799",478
"14085",478
"13969",472
"16931",466
"14081",465
"18041",464
"12681",458
"16161",458
"15984",458
"14701",455
"14426",452
"15861",451
"13148",450
"17602",450
"15529",450
"15719",448
"17139",447
"14415",445
"18118",443
"15570",442
"15571",442
"14895",441
"15768",437
"14088",436
"14534",436
"14593",435
"12714",435
"13975",434
"14194",432
"16923",431
"17625",429
"15281",427
"15727",426
"17428",422
"17337",420
"13004",417
"15862",416
"15034",416
"15532",416
"17576",416
"16395",415
"16072",414
"15159",413
"17372",411
"13668",411
"17085",410
"14546",410
"16655",408
"17706",408
"15443",408
"17220",407
"17758",403
"12957",402
"13018",401
"16705",399
"12472",396
"13772",394
"17365",394
"15910",394
"13206",393
"16791",392
"17735",391
"17865",390
"13097",389
"16746",389
"15750",388
"17581",387
"16283",384
"16558",383
"16049",383
"15856",383
"17315",383
"18102",382
"17107",377
"14649",374
"13488",370
"15271",369
"12474",368
"14502",367
"12867",365
"16360",365
"12567",364
"13735",362
"16200",361
"17757",361
"16940",360
"15358",359
"15752",359
"17530",358
"17243",358
"15786",358
"12476",357
"13044",356
"13979",355
"15021",355
"13680",354
"14016",353
"12540",353
"14583",353
"12451",351
"18283",351
"14329",349
"17059",349
"16242",348
"15808",348
"16788",347
"12949",347
"17677",346
"17675",345
"13319",345
"17400",345
"15044",343
"17019",343
"12621",343
"16110",343
"15296",342
"14525",339
"14702",337
"16007",337
"16595",337
"15805",337
"14146",337
"14800",336
"18245",336
"14040",335
"16409",335
"14572",335
"16891",335
"17716",334
"14669",334
"15993",334
"16960",333
"14277",332
"15834",332
"15622",331
"17769",330
"17861",329
"13418",328
"12484",328
"14961",328
"13838",328
"15426",327
"12682",326
"17348",325
"13736",325
"17416",324
"12921",322
"17340",322
"14056",320
"13408",320
"14395",320
"18055",320
"13448",320
"12705",319
"16910",318
"14422",317
"14704",317
"16843",317
"14730",317
"17609",316
"17049",316
"15967",316
"15382",315
"15033",314
"16005",314
"16393",313
"13521",312
"17593",311
"18116",310
"14710",310
"15601",310
"13610",308
"15494",307
"12841",307
"15059",307
"13334",307
"14410",306
"16795",306
"12359",305
"18022",305
"15249",304
"17884",304
"14963",304
"16133",303
"15640",302
"16771",302
"14449",301
"16712",300
"13001",300
"18226",299
"18096",298
"17813",297
"13709",296
"17585",295
"12477",295
"17126",294
"12637",294
"13764",294
"16779",293
"14493",292
"13373",292
"15615",292
"17449",291
"13458",290
"15356",290
"13468",290
"13013",289
"16797",289
"17571",289
"16327",288
"15493",288
"16470",286
"14723",286
"17774",285
