"customer_id","distinct_families_purchased"
"14911",2348
"12748",2138
"17841",1923
"14156",1368
"14298",1255
"14606",1160
"14096",1073
"14646",941
"14505",841
"13089",834
"16549",808
"14769",805
"15311",799
"13694",757
"13081",697
"17920",678
"17611",666
"15998",655
"14159",654
"17511",641
"15555",634
"13230",620
"15547",610
"13137",606
"16984",603
"16033",594
"17589",583
"18069",577
"13174",572
"15498",571
"14030",568
"14535",567
"14527",566
"14456",560
"17338",554
"16782",551
"14049",550
"13069",549
"15005",548
"17448",547
"17965",546
"14667",540
"13451",539
"15039",530
"16938",525
"16686",522
"16710",522
"17811",521
"15581",521
"16713",514
"14044",511
"15867",509
"17346",501
"17364",488
"13050",487
"12415",486
"14461",486
"13869",483
"13263",480
"15150",477
"16241",471
"17231",471
"17377",469
"15023",468
"17238",465
"13969",463
"17961",459
"14796",458
"16904",456
"13564",455
"17954",451
"18041",450
"14085",449
"15984",449
"16931",449
"17799",449
"12681",444
"15529",442
"16161",440
"14701",440
"13148",440
"17139",440
"14895",436
"14415",435
"14081",435
"14426",433
"15570",429
"15719",429
"17602",429
"15571",429
"14194",426
"15861",425
"16923",423
"18118",422
"13975",418
"14088",417
"14534",417
"14593",413
"15034",411
"17428",411
"15727",409
"17337",408
"15281",407
"16072",405
"15768",404
"17576",404
"17625",403
"12714",403
"13004",402
"16395",399
"17706",399
"16655",397
"15862",397
"13018",396
"15443",396
"17220",394
"17372",391
"12957",391
"14546",390
"16705",389
"15532",387
"13668",387
"15910",386
"17085",384
"15159",384
"17735",383
"17758",382
"17365",382
"16746",380
"15750",379
"13772",378
"12472",376
"17865",374
"13097",374
"17581",373
"16791",371
"15856",369
"17107",368
"13206",368
"17315",367
"15271",366
"16558",366
"13488",365
"16049",364
"18102",363
"12474",362
"16283",362
"12567",359
"14649",357
"14502",357
"17757",355
"13735",354
"12476",353
"12867",352
"16360",352
"15786",349
"17530",347
"15752",344
"16242",342
"14329",342
"16110",342
"18283",342
"12540",342
"13044",341
"16200",340
"17675",340
"13319",340
"15021",339
"15358",339
"12949",338
"14583",337
"13979",337
"12621",336
"15808",336
"12451",336
"14016",335
"17677",335
"16940",335
"14146",332
"17019",331
"17400",330
"16595",330
"17716",330
"14525",330
"13680",330
"15044",328
"15834",327
"16960",326
"17769",326
"18245",326
"15805",325
"16788",325
"14702",325
"15993",323
"14800",323
"15296",322
"15622",322
"16891",322
"17348",321
"14961",321
"15426",320
"16007",320
"17059",320
"13418",320
"12682",320
"17243",318
"14056",318
"16409",318
"14040",318
"14572",317
"14669",316
"13408",315
"17861",314
"12484",314
"14704",313
"17340",312
"13838",312
"14277",312
"14730",312
"13448",311
"15033",310
"15382",310
"17416",309
"12921",308
"14395",308
"13736",308
"16393",308
"15601",307
"16843",306
"16910",306
"13521",306
"17049",306
"12705",305
"14710",304
"14422",304
"17609",303
"18055",301
"13610",301
"16005",300
"12359",300
"15640",299
"18022",298
"12841",297
"16712",297
"16795",296
"14963",295
"16133",295
"15967",293
"15494",293
"15059",292
"12637",290
"17593",290
"13709",289
"15249",289
"13334",289
"14410",289
"17813",288
"17884",288
"17126",287
"17585",286
"14449",286
"18226",286
"16797",285
"13001",285
"15356",284
"13373",284
"13764",283
"18116",282
"13209",282
"13458",282
"13013",282
"17571",282
"18096",281
"15615",281
"12477",280
"16470",279
"13468",278
"12378",278
"17284",277
"14648",277
"14849",276
"17686",276
"13141",276
"12970",276
"17774",274
"15513",274
"16340",274
"14493",273
"12433",273
"16918",273
"15755",272
"16771",272
"16556",271
"12836",271
"14723",270
"16717",270
"15353",269
"14498",269
"16374",269
"12539",269
"17974",268
"16327",268
"17449",268
"16550",268
"15493",267
"13357",267
"14031",267
"12437",266
"13901",266
"12417",265
"13715",265
"15858",265
"17931",265
"14684",265
"14367",264
"13527",264
"17191",263
"13031",263
"14530",262
"17287",262
"14653",261
"16700",261
"16779",260
"14071",260
"15194",260
"13198",260
"15850",260
"14936",260
"12720",260
"13555",259
"12749",259
"17802",259
"17092",259
"17084",259
"18225",258
"16372",258
"17596",258
"12536",258
"14286",258
"15572",257
"14099",257
"13571",257
"15874",257
"15167",257
"15976",256
"13654",256
"13015",255
"16121",254
"15674",254
"12668",254
"13268",253
"13566",253
"13634",253
"12577",252
"12357",252
"12471",252
"16258",251
"16670",251
"12766",251
"13615",251
"16170",250
"14446",250
"16873",250
"15272",249
"15898",249
"16520",248
"16391",248
"16019",246
"13590",246
"17426",246
"18145",245
"15518",245
"16814",244
"14524",243
"14057",243
"15889",243
"12428",243
"14506",243
"14766",243
"13394",242
"15321",240
"15164",240
"15641",240
"14291",240
"17218",239
"16085",239
"15436",238
"12481",238
"12744",238
"13269",237
"16794",237
"17975",237
"16279",237
"15046",237
"14432",237
"17700",237
"17321",237
"13983",237
"15003",236
"16497",235
"17504",235
"14227",234
"16474",234
"15860",234
"12431",233
"14562",233
"14451",233
"17068",233
"17690",232
"14154",232
"17550",232
"14175",232
"17288",232
"14952",231
"16813",230
"12683",230
"12757",230
"17091",230
"12626",229
"14243",229
"18122",229
"14553",229
"16511",228
"16945",228
"17827",228
"12391",227
"13952",227
"13599",227
"16326",227
"15301",227
"16081",226
"15031",226
"15427",226
"13614",225
"16725",225
"16255",225
"12838",225
"17921",224
"15502",224
"16115",224
"13246",223
"12933",222
"12517",222
"14903",221
"16442",221
"15058",221
"16898",220
"16059",220
"14994",219
"16729",219
"17463",219
"13659",219
"16456",218
"17797",218
"17913",218
"13259",218
"16919",218
"12647",218
"14711",218
"15950",218
"16383",218
"17138",217
"15179",217
"13755",217
"12633",217
"16709",216
"15051",216
"17994",216
"16592",215
"15955",215
"18257",215
"13317",215
"13988",215
"14755",215
"13471",214
"14651",214
"16755",214
"15002",213
"15527",213
"14713",213
"16253",212
"13124",212
"16014",212
"17432",212
"13139",212
"13102",212
"17555",211
"17160",211
"13842",211
"14382",211
"12613",211
"16065",211
"14680",211
"16444",211
"16992",210
"18036",210
"12911",210
"12872",209
"13544",209
"15152",209
"16607",209
"16145",208
"17613",208
"13758",208
"17211",208
"18231",207
"16767",207
"18260",207
"15367",207
"17870",207
"16466",206
"13276",206
"16728",206
"16012",205
"16461",205
"15916",205
"17612",205
"15542",204
"15483",204
"16521",204
"15466",204
"14930",204
"18196",204
"17984",203
"14639",203
"16764",203
"17897",202
"16347",202
"14307",202
"18168",201
"17419",201
"13214",201
"17634",201
"16440",201
"16426",200
"17545",200
"16400",200
"17894",200
"18109",199
"12759",199
"13742",199
"14532",199
"14662",199
"16732",198
"18178",198
"14499",198
"16770",198
"12362",198
"15800",198
"16156",197
"14189",197
"15965",197
"16805",197
"13802",196
"14112",196
"17314",196
"14396",196
"13883",196
"13093",196
"13136",196
"17069",196
"17341",195
"12615",195
"13931",195
"13815",195
"15351",195
"14161",194
"17728",194
