"customer_id","cancelled_line_items","total_line_items","line_item_return_rate_pct"
"16995",1,1,100.0
"13353",3,3,100.0
"14914",1,1,100.0
"16512",1,1,100.0
"17661",1,1,100.0
"17632",2,2,100.0
"14120",1,1,100.0
"13342",2,2,100.0
"16853",2,2,100.0
"17485",6,6,100.0
"15767",9,9,100.0
"17641",1,1,100.0
"14864",2,2,100.0
"13749",2,2,100.0
"14337",36,36,100.0
"12896",1,1,100.0
"16220",1,1,100.0
"16580",2,2,100.0
"14763",1,1,100.0
"17755",9,9,100.0
"17645",1,1,100.0
"15997",1,1,100.0
"14925",1,1,100.0
"15935",22,33,66.7
"13091",77,121,63.6
"13112",3,5,60.0
"15461",3,5,60.0
"15538",18,32,56.3
"16886",8,16,50.0
"12607",101,202,50.0
"12773",6,12,50.0
"13163",2,4,50.0
"12467",9,18,50.0
"13084",2,4,50.0
"14213",5,10,50.0
"17747",1,2,50.0
"13915",2,4,50.0
"16252",21,42,50.0
"12558",11,22,50.0
"16878",3,6,50.0
"12768",10,20,50.0
"14792",2,4,50.0
"13829",1,2,50.0
"15940",1,2,50.0
"17592",13,26,50.0
"18274",11,22,50.0
"14557",16,32,50.0
"16073",1,2,50.0
"13364",10,20,50.0
"17378",1,2,50.0
"13703",36,73,49.3
"18072",16,34,47.1
"17900",5,11,45.5
"12755",52,115,45.2
"12454",31,70,44.3
"16555",49,115,42.6
"15369",40,99,40.4
"16061",2,5,40.0
"17599",2,5,40.0
"15941",4,10,40.0
"17743",2,5,40.0
"12995",2,5,40.0
"16801",45,120,37.5
"13217",3,8,37.5
"16321",13,36,36.1
"14109",5,14,35.7
"13791",6,17,35.3
"14727",24,69,34.8
"13672",9,27,33.3
"12487",1,3,33.3
"15873",3,9,33.3
"14835",1,3,33.3
"16403",5,15,33.3
"16396",4,12,33.3
"17440",3,9,33.3
"15749",5,15,33.3
"15546",6,18,33.3
"14598",40,130,30.8
"15100",7,23,30.4
"17763",6,20,30.0
"18084",3,10,30.0
"14149",12,40,30.0
"14586",8,27,29.6
"15215",46,159,28.9
"15171",2,7,28.6
"14760",2,7,28.6
"12888",2,7,28.6
"18256",4,14,28.6
"13287",21,74,28.4
"13369",5,18,27.8
"12986",39,141,27.7
"14389",31,118,26.3
"12504",6,23,26.1
"15223",12,46,26.1
"17548",12,46,26.1
"16001",10,39,25.6
"15221",10,39,25.6
"14627",10,39,25.6
"14926",1,4,25.0
"15162",4,16,25.0
"14028",3,12,25.0
"15409",3,12,25.0
"15728",4,16,25.0
"16462",1,4,25.0
"15098",1,4,25.0
"16148",3,12,25.0
"14934",61,244,25.0
"14403",8,33,24.2
"12414",7,29,24.1
"12584",30,125,24.0
"14513",6,25,24.0
"14195",5,21,23.8
"14777",5,21,23.8
"15201",31,131,23.7
"14322",4,17,23.5
"13768",10,43,23.3
"17679",24,105,22.9
"15433",12,53,22.6
"12525",17,76,22.4
"16634",24,107,22.4
"13257",2,9,22.2
"12770",8,36,22.2
"12665",4,18,22.2
"16554",47,214,22.0
"18220",7,32,21.9
"15323",8,37,21.6
"16544",3,14,21.4
"15684",3,14,21.4
"14137",3,14,21.4
"18247",10,47,21.3
"14333",4,19,21.1
"13113",101,479,21.1
"17888",42,202,20.8
"15066",11,53,20.8
"13798",189,910,20.8
"12931",57,275,20.7
"12533",18,88,20.5
"13905",3,15,20.0
"16630",1,5,20.0
"14244",4,20,20.0
"16604",3,15,20.0
"14933",1,5,20.0
"13420",2,10,20.0
