"customer_id","order_return_rate_pct","line_item_return_rate_pct","rate_gap_pct"
"12590",75.0,5.6,69.4
"16118",80.0,12.8,67.2
"16476",66.7,7.7,59.0
"16262",66.7,8.0,58.7
"18207",66.7,8.8,57.9
"16297",66.7,9.1,57.6
"14245",60.0,3.6,56.4
"17820",66.7,10.9,55.8
"18187",66.7,11.1,55.6
"17693",66.7,11.1,55.6
"16240",60.0,4.9,55.1
"12479",66.7,11.8,54.9
"14564",60.0,5.3,54.7
"17477",60.0,6.4,53.6
"12809",62.5,9.3,53.2
"17531",62.5,9.4,53.1
"13020",60.0,7.1,52.9
"13109",57.1,5.4,51.7
"13115",56.5,4.8,51.7
"12746",66.7,15.0,51.7
"13768",75.0,23.3,51.7
"16576",60.0,8.3,51.7
"16732",55.6,3.9,51.7
"16822",66.7,15.4,51.3
"13281",66.7,15.4,51.3
"14777",75.0,23.8,51.2
"16481",66.7,15.8,50.9
"18183",66.7,15.9,50.8
"15823",60.0,10.5,49.5
"12770",71.4,22.2,49.2
"13422",50.0,0.8,49.2
"12797",66.7,17.6,49.1
"15880",50.0,1.0,49.0
"13850",50.0,1.1,48.9
"16278",57.1,8.3,48.8
"14339",60.0,11.5,48.5
"12742",50.0,1.5,48.5
"15309",60.0,11.5,48.5
"17727",50.0,1.5,48.5
"14831",57.1,8.9,48.2
"12675",50.0,1.8,48.2
"12616",57.1,8.9,48.2
"16536",50.0,1.8,48.2
"12979",50.0,1.8,48.2
"16269",50.0,1.9,48.1
"15176",50.0,1.9,48.1
"12801",50.0,2.0,48.0
"15468",57.1,9.1,48.0
"12511",50.0,2.1,47.9
"14568",50.0,2.1,47.9
"13337",50.0,2.2,47.8
"16984",50.0,2.3,47.7
"14094",50.0,2.3,47.7
"13660",50.0,2.4,47.6
"13424",50.0,2.4,47.6
"14267",66.7,19.1,47.6
"15275",50.0,2.4,47.6
"14903",50.0,2.5,47.5
"17037",50.0,2.6,47.4
"16541",50.0,2.6,47.4
"16714",50.0,2.7,47.3
"12513",50.0,2.9,47.1
"16116",50.0,2.9,47.1
"17904",50.0,2.9,47.1
"14008",50.0,3.0,47.0
"13371",50.0,3.2,46.8
"13116",50.0,3.2,46.8
"13008",57.1,10.3,46.8
"14875",50.0,3.3,46.7
"13905",66.7,20.0,46.7
"16646",50.0,3.3,46.7
"15746",50.0,3.4,46.6
"12579",50.0,3.4,46.6
"12536",50.0,3.4,46.6
"15147",50.0,3.4,46.6
"14319",50.0,3.7,46.3
"15490",50.0,3.8,46.2
"13612",50.0,3.8,46.2
"12533",66.7,20.5,46.2
"12940",50.0,4.0,46.0
"18164",50.0,4.0,46.0
"16355",50.0,4.0,46.0
"14678",50.0,4.0,46.0
"18248",50.0,4.1,45.9
"13853",50.0,4.2,45.8
"13143",50.0,4.2,45.8
"15558",50.0,4.2,45.8
"16404",50.0,4.2,45.8
"13400",50.0,4.2,45.8
"13981",50.0,4.3,45.7
"13974",50.0,4.4,45.6
"18141",50.0,4.5,45.5
"13365",50.0,4.5,45.5
"15120",50.0,4.5,45.5
"18250",50.0,4.5,45.5
"16289",50.0,4.5,45.5
"16398",50.0,4.7,45.3
"18199",50.0,4.8,45.2
"16908",50.0,4.8,45.2
"17156",50.0,4.9,45.1
"16602",60.0,14.9,45.1
"15830",50.0,4.9,45.1
"16615",50.0,5.0,45.0
"15137",60.0,15.0,45.0
"17688",50.0,5.0,45.0
"15091",50.0,5.0,45.0
"14950",50.0,5.0,45.0
"13745",50.0,5.1,44.9
"13295",55.6,10.7,44.9
"15620",50.0,5.1,44.9
"14359",50.0,5.2,44.8
"14747",50.0,5.3,44.7
"12566",50.0,5.3,44.7
"12544",50.0,5.3,44.7
"15598",50.0,5.3,44.7
"16683",50.0,5.3,44.7
"16909",50.0,5.3,44.7
"17603",50.0,5.4,44.6
"13505",50.0,5.4,44.6
"13271",50.0,5.4,44.6
"13257",66.7,22.2,44.5
"17276",50.0,5.5,44.5
"16961",50.0,5.5,44.5
"16108",50.0,5.6,44.4
"14783",50.0,5.6,44.4
"12632",50.0,5.7,44.3
"13121",50.0,5.7,44.3
"13763",50.0,5.7,44.3
"14288",50.0,5.9,44.1
"13622",50.0,5.9,44.1
"15077",50.0,5.9,44.1
"12666",50.0,6.1,43.9
"15138",50.0,6.1,43.9
"14488",50.0,6.1,43.9
"15302",50.0,6.3,43.7
"12807",50.0,6.3,43.7
