"customer_id","recency_days","frequency_completed","monetary_gross"
"12346",325,3,77352.96
"12347",1,8,4921.53
"12348",74,5,1658.40
"12349",18,3,3678.69
"12350",309,1,294.40
"12351",374,1,300.93
"12352",35,9,1729.54
"12353",203,2,406.76
"12354",231,1,1079.40
"12355",213,2,947.61
"12356",22,6,5611.73
"12357",32,2,17437.66
"12358",1,5,3447.07
"12359",7,10,8873.39
"12360",51,6,3612.89
"12361",286,4,451.25
"12362",2,10,4737.23
"12363",109,2,552.00
"12364",7,4,1208.10
"12365",290,1,320.69
"12366",633,1,500.24
"12367",3,1,150.90
"12368",627,1,917.70
"12369",412,3,1511.15
"12370",50,7,3956.56
"12371",59,4,3347.38
"12372",71,3,1196.04
"12373",310,3,927.65
"12374",24,3,2669.22
"12375",2,2,377.50
"12376",389,2,383.15
"12377",314,4,3266.32
"12378",129,2,5416.32
"12379",81,4,1470.22
"12380",21,8,7210.65
"12381",4,3,1474.81
"12383",184,5,1628.56
"12384",28,2,425.27
"12385",378,1,1668.40
"12386",337,2,401.90
"12387",414,1,143.94
"12388",15,8,3901.11
"12389",402,3,1433.33
"12390",79,1,504.84
"12391",21,6,2724.84
"12392",590,1,234.75
"12393",71,6,2399.45
"12394",63,2,1080.48
"12395",15,15,4241.17
"12396",673,1,931.43
"12397",35,2,2214.90
"12398",45,1,1435.66
"12399",118,7,1842.30
"12400",413,1,205.25
"12401",302,1,69.30
"12402",322,6,1136.90
"12403",49,2,947.36
"12405",148,1,1390.39
"12406",21,5,6390.36
"12407",49,5,1507.12
"12408",32,8,3905.77
"12409",78,7,23419.29
"12410",300,3,773.71
"12411",409,1,346.90
"12412",74,6,2404.93
"12413",66,4,871.45
"12414",216,4,532.41
"12415",23,24,144033.37
"12416",656,1,202.56
"12417",2,20,5998.41
"12418",112,4,2021.20
"12419",385,2,391.01
"12420",63,1,600.39
"12421",15,6,874.60
"12422",95,12,3639.35
"12423",0,10,2301.39
"12424",162,4,3340.03
"12425",77,2,1741.41
"12426",194,2,1201.21
"12427",11,3,699.80
"12428",25,8,6405.26
"12429",8,8,5842.41
"12430",42,1,216.40
"12431",35,25,10102.22
"12432",42,4,4359.32
"12433",0,10,16794.14
"12434",84,3,1103.43
"12435",79,6,13925.93
"12436",99,1,429.01
"12437",1,38,11282.40
"12438",13,2,2466.85
"12439",682,2,1142.88
"12440",456,2,739.20
"12441",366,1,155.55
"12442",2,1,144.06
"12443",731,1,365.31
"12444",20,5,4085.46
"12445",21,2,378.98
"12446",57,1,1002.31
"12447",242,1,431.49
"12448",43,1,365.45
"12449",21,5,4274.89
"12450",155,5,688.20
"12451",10,8,12629.88
"12452",16,1,348.57
"12453",133,1,707.09
"12454",52,4,16459.78
"12455",72,9,5722.95
"12456",43,3,2581.04
"12457",57,7,2555.91
"12458",70,4,1502.49
"12459",604,1,398.36
"12460",455,1,296.65
"12461",154,1,626.88
"12462",1,2,937.59
"12463",45,4,1200.78
"12464",9,8,957.05
"12465",7,2,682.19
"12467",385,1,132.80
"12468",142,5,3238.74
"12469",522,2,3070.54
"12470",689,1,211.95
"12471",1,71,35099.90
"12472",30,19,14971.29
"12473",53,3,2585.73
"12474",16,29,11310.75
"12475",53,2,1065.64
"12476",0,18,12319.91
"12477",22,9,20276.37
"12478",3,1,545.99
"12479",3,1,473.20
"12480",27,7,4834.85
"12481",22,14,11033.51
"12482",575,27,21941.72
"12483",16,19,4069.18
"12484",34,9,5557.10
"12485",528,1,708.10
"12486",431,1,917.28
"12487",730,1,285.30
"12488",9,3,1244.66
"12489",335,1,298.93
"12490",4,20,8764.64
"12491",38,1,424.40
"12492",62,3,607.21
"12493",165,2,379.74
"12494",9,9,1563.27
"12495",634,1,277.40
"12496",619,2,45.34
"12497",81,3,5996.50
"12498",20,3,349.70
"12499",559,1,357.72
"12500",22,18,5559.21
"12501",314,1,2025.39
"12502",95,5,2995.87
"12503",583,1,896.00
"12504",17,4,689.05
"12505",392,1,787.20
"12506",232,1,73.50
"12507",133,4,1508.06
"12508",25,2,397.88
"12509",283,1,158.50
"12510",142,7,3039.03
"12511",414,1,3084.02
"12512",65,2,132.18
"12513",84,1,558.29
"12514",266,2,1597.76
"12515",352,1,278.70
"12516",77,4,2288.62
"12517",27,4,2301.60
"12518",0,5,1840.89
"12519",63,2,626.54
"12520",78,5,2346.26
"12521",142,1,545.68
"12522",38,2,156.72
"12523",1,23,4010.35
"12524",8,17,9794.11
"12525",490,3,883.73
"12526",0,3,1172.66
"12527",81,5,717.51
"12528",8,6,1645.48
"12529",522,1,316.48
"12530",59,9,3381.26
"12531",14,2,1771.20
"12532",29,1,313.83
"12533",618,2,1223.89
"12534",130,1,981.18
"12535",91,2,716.35
"12536",7,1,4279.71
"12537",408,1,612.94
"12538",28,2,640.45
